unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.17894834280014038,0.3431949317455292,-0.1383221447467804,4.670907974243164,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-3.3542375564575195,-10.327901840209961,2.5313570499420166,0.9100000262260437,0.956872932943863,0.0,11.878617096639523
3,2,dend[1]_0,dend[0]_0,dend,-8.013678550720215,-15.01920223236084,3.220327138900757,0.32499998807907104,0.9389695316689217,0.0,19.3128438866946
4,3,dend[2]_0,dend[1]_0,dend,-5.718157768249512,-26.667402267456055,0.30210402607917786,0.14499999582767487,0.8702688321375726,0.025,36.28175843443658
5,4,dend[3]_0,dend[2]_0,dend,6.782982349395752,-28.343101501464844,-5.256982803344727,0.35499998927116394,0.7020271124736688,0.125,50.29870127818538
6,5,dend[4]_0,dend[3]_0,dend,22.293001174926758,-28.10500144958496,-2.362942934036255,0.05999999865889549,0.7001986671395792,0.4,70.824112143831
7,5,dend[5]_0,dend[3]_0,dend,18.58620262145996,-25.75370216369629,-5.3614630699157715,0.26499998569488525,0.7262162681990185,0.275,61.91097926744086
8,4,dend[6]_0,dend[2]_0,dend,5.464572429656982,-19.576601028442383,-12.507002830505371,0.029999999329447746,0.7342150851342021,0.125,55.42956761434861
9,8,dend[6]_1,dend[6]_0,dend,10.74520206451416,-2.219231605529785,-16.747404098510742,0.029999999329447746,0.5956186402376079,0.525,73.32211214334532
10,9,dend[6]_2,dend[6]_1,dend,16.26980209350586,12.544498443603516,-17.809703826904297,0.029999999329447746,0.5783958609872343,0.775,91.21465667234202
11,3,dend[7]_0,dend[1]_0,dend,-15.299198150634766,-18.974502563476562,9.042346954345703,0.17499999701976776,0.8749458423199669,0.025,34.68693978982256
12,11,dend[7]_1,dend[7]_0,dend,-23.2112979888916,-7.9082512855529785,13.466897010803223,0.11999999731779099,0.755879006374064,0.1,51.90037633142186
13,12,dend[7]_2,dend[7]_1,dend,-33.79469680786133,0.45671340823173523,25.498497009277344,0.029999999329447746,0.2706905328361946,0.325,69.11381287302117
14,13,dend[8]_0,dend[7]_2,dend,-44.42909622192383,-0.7195956110954285,38.995094299316406,0.05999999865889549,0.1931974692099592,0.7000000000000001,88.20336808942702
15,13,dend[9]_0,dend[7]_2,dend,-43.670894622802734,3.7790682315826416,39.33069610595703,0.09000000357627869,0.192949843262758,0.7000000000000001,84.6017880492621
16,15,dend[9]_1,dend[9]_0,dend,-45.23019790649414,11.12179946899414,44.4600944519043,0.17499999701976776,0.17414231688356888,0.8500000000000001,98.36430186014462
17,16,dend[9]_2,dend[9]_1,dend,-52.40449523925781,18.12439727783203,37.538795471191406,0.14499999582767487,0.1731995858999068,0.8500000000000001,112.12681567102717
18,2,dend[10]_0,dend[0]_0,dend,5.9029221534729,-6.859351634979248,5.340287208557129,0.11999999731779099,0.8953308100168487,0.0,22.106221891682345
19,18,dend[11]_0,dend[10]_0,dend,19.260601043701172,-3.2608115673065186,5.727847099304199,0.35499998927116394,0.7335394155705939,0.30000000000000004,39.766899113360935
20,19,dend[11]_1,dend[11]_0,dend,35.57160568237305,-2.1519417762756348,9.760196685791016,0.029999999329447746,0.7112501446092594,0.5750000000000001,55.966742282086024
