unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.007007055915892124,1.4460625648498535,-0.12425334751605988,8.468042373657227,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-8.568859100341797,17.910602569580078,-2.93405818939209,1.7949999570846558,0.9455020407528335,0.0,19.97199847017736
3,2,dend[0]_1,dend[0]_0,dend,-22.758399963378906,24.92420196533203,-10.654099464416504,1.5299999713897705,0.8847110877992047,0.0,36.61123868492811
4,3,dend[0]_2,dend[0]_1,dend,-34.58319854736328,33.62730026245117,-18.305097579956055,1.090000033378601,0.7776819624162102,0.05,53.25047889967886
5,4,dend[0]_3,dend[0]_2,dend,-44.726600646972656,40.224098205566406,-23.180498123168945,1.0299999713897705,0.666961782352063,0.1,69.88971911442961
6,5,dend[0]_4,dend[0]_3,dend,-56.07720184326172,43.254798889160156,-29.072797775268555,1.149999976158142,0.529564486149788,0.30000000000000004,86.52895932918037
7,6,dend[1]_0,dend[0]_4,dend,-71.85880279541016,43.03879928588867,-33.604801177978516,1.2949999570846558,0.4857351672866366,0.4,101.68118484181944
8,7,dend[2]_0,dend[1]_0,dend,-93.85810089111328,34.19580078125,-38.843101501464844,1.2350000143051147,0.4328568722356046,0.5,125.53407905934938
9,8,dend[3]_0,dend[2]_0,dend,-108.38999938964844,11.060100555419922,-38.10169982910156,0.824999988079071,0.36085356926499673,0.65,155.6187999001787
10,9,dend[3]_1,dend[3]_0,dend,-120.96900177001953,-12.814099311828613,-44.54629898071289,0.5299999713897705,0.3340840538004299,0.7250000000000001,181.74766395730484
11,10,dend[3]_2,dend[3]_1,dend,-137.86199951171875,-30.103498458862305,-45.45140075683594,0.32499998807907104,0.3018721272248102,0.8500000000000001,207.87652801443102
12,11,dend[4]_0,dend[3]_2,dend,-150.11099243164062,-38.49919891357422,-44.852699279785156,1.090000033378601,0.2992140045106411,0.875,224.2582727910007
13,11,dend[5]_0,dend[3]_2,dend,-148.4709930419922,-32.85110092163086,-42.54779815673828,0.26499998569488525,0.29792805873437533,0.875,224.7807356422876
14,8,dend[6]_0,dend[2]_0,dend,-111.03099822998047,27.243301391601562,-40.16490173339844,1.0299999713897705,0.3605108515177617,0.625,155.09822161360626
15,14,dend[6]_1,dend[6]_0,dend,-130.1490020751953,32.38890075683594,-48.345401763916016,0.6200000047683716,0.2981406956361832,0.75,180.18592909758755
16,15,dend[6]_2,dend[6]_1,dend,-157.65899658203125,42.84600067138672,-47.04439926147461,0.5899999737739563,0.24617812759508276,0.875,205.27363658156884
17,16,dend[7]_0,dend[6]_2,dend,-181.4010009765625,51.26490020751953,-44.767799377441406,0.29499998688697815,0.21195944684436233,1.0,227.95971382404883
18,17,dend[7]_1,dend[7]_0,dend,-202.55599975585938,55.236900329589844,-43.583900451660156,0.35499998927116394,0.18192522174603917,1.125,248.2441608250275
19,18,dend[7]_2,dend[7]_1,dend,-220.57200622558594,54.97520065307617,-42.511199951171875,0.5299999713897705,0.13821439752463094,1.375,268.5286078260062
20,19,dend[7]_3,dend[7]_2,dend,-245.52099609375,57.22439956665039,-42.9922981262207,0.32499998807907104,0.11849330785093333,1.55,288.81305482698485
21,20,dend[7]_4,dend[7]_3,dend,-270.4809875488281,57.76300048828125,-44.22819900512695,0.26499998569488525,0.10091525342288778,1.7750000000000001,309.0975018279636
22,21,dend[7]_5,dend[7]_4,dend,-286.67401123046875,62.8494987487793,-52.58599853515625,0.29499998688697815,0.08636181681687789,2.0,329.38194882894226
23,22,dend[7]_6,dend[7]_5,dend,-301.62701416015625,65.32969665527344,-53.712100982666016,0.38499999046325684,0.07726351323026766,2.15,349.66639582992093
