unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,105,dend[71]_0,dend[69]_2,dend,280.75201416015625,-46.072898864746094,-111.08399963378906,0.26499998569488525,28.78085257477832,9.5,382.1434599430011
2,143,dend[73]_0,dend[65]_4,dend,95.77570343017578,-6.455098628997803,-92.3563003540039,0.38499999046325684,14.464841413861667,7.300000000000001,165.40320379115792
3,5,dend[67]_0,dend[66]_0,dend,126.83599853515625,4.836331367492676,-103.3489990234375,0.5299999713897705,8.208349365204674,5.7,205.31119772729636
4,139,dend[68]_0,dend[67]_4,dend,207.9250030517578,-24.212797164916992,-117.71600341796875,0.35499998927116394,16.441073584445633,8.0,301.91856261844043
5,143,dend[66]_0,dend[65]_4,dend,105.83300018310547,2.5521013736724854,-95.83439636230469,0.7049999833106995,6.746246644894013,5.2,175.78530365672128
6,46,dend[51]_0,dend[17]_0,dend,-22.963199615478516,-5.009308338165283,-4.467848300933838,0.5,1.381233242330808,1.5,52.26600448742655
7,194,dend[62]_0,dend[61]_8,dend,-297.27398681640625,-58.28070068359375,75.13700103759766,0.14499999582767487,42.13099541508282,10.600000000000001,380.27480223534167
8,30,dend[47]_0,dend[45]_0,dend,-249.64700317382812,-67.17259979248047,-52.255401611328125,0.26499998569488525,28.675126215886223,10.200000000000001,347.7241396889952
9,213,dend[60]_0,dend[58]_12,dend,-402.3949890136719,-69.44830322265625,-11.41199779510498,0.14499999582767487,95.84471669608037,12.700000000000001,482.5426158977548
10,109,dend[74]_0,dend[64]_2,dend,38.260398864746094,12.800701141357422,-41.55630111694336,0.9700000286102295,1.5645047167566188,1.8,79.8240427567019
11,109,dend[65]_0,dend[64]_2,dend,43.77909851074219,7.128451347351074,-38.39970016479492,0.9700000286102295,1.6899949434022135,2.2,79.15443315959594
12,170,dend[52]_0,dend[51]_6,dend,-150.1020050048828,-38.7958984375,-9.84850788116455,0.5,6.714486195236117,5.7,198.13746452538845
13,22,dend[38]_0,dend[37]_0,dend,-246.0030059814453,-83.27860260009766,-39.03089904785156,0.23499999940395355,17.534648642136524,8.8,321.951518896626
14,139,dend[69]_0,dend[67]_4,dend,216.41200256347656,-35.37689971923828,-118.1449966430664,0.8550000190734863,15.297949813840958,7.6000000000000005,311.09011867184006
15,27,dend[56]_0,dend[54]_0,dend,-232.29600524902344,-110.65799713134766,-14.35619831085205,0.14499999582767487,31.13744109300304,9.4,317.6900455945274
16,22,dend[39]_0,dend[37]_0,dend,-245.22000122070312,-80.57019805908203,-41.277801513671875,0.5,19.787553624978607,9.1,325.1339427013955
17,48,dend[50]_0,dend[48]_0,dend,-135.51699829101562,-26.077898025512695,-4.220448017120361,0.17499999701976776,7.869254003968034,6.5,187.4112605541546
18,48,dend[49]_0,dend[48]_0,dend,-144.2030029296875,-31.855697631835938,1.6323317289352417,0.8849999904632568,7.25056089664296,6.2,193.3848414559316
19,30,dend[46]_0,dend[45]_0,dend,-247.3780059814453,-70.36070251464844,-52.718299865722656,0.26499998569488525,27.561101614155262,10.100000000000001,343.62898542355515
20,42,dend[58]_0,dend[57]_0,dend,-176.71499633789062,-35.370601654052734,-8.054998397827148,0.6449999809265137,6.934948127761731,5.6000000000000005,217.70057781112394
21,194,dend[63]_0,dend[61]_8,dend,-310.68701171875,-55.98899841308594,75.80490112304688,0.09000000357627869,34.46541365302448,9.9,383.8969285756078
22,181,dend[37]_0,dend[23]_6,dend,-239.94000244140625,-91.41619873046875,-37.95800018310547,0.20499999821186066,12.562305342172305,7.6000000000000005,311.2272408678126
23,5,dend[72]_0,dend[66]_0,dend,120.79399871826172,12.260001182556152,-106.72200012207031,0.6449999809265137,8.20617458921671,5.800000000000001,204.6666465398331
24,213,dend[59]_0,dend[58]_12,dend,-395.343994140625,-70.68299865722656,-10.570298194885254,0.14499999582767487,80.65659576235493,12.4,475.7425438606544
25,42,dend[61]_0,dend[57]_0,dend,-172.375,-31.17129898071289,-1.479498267173767,0.6449999809265137,6.571405659900523,5.4,216.65896321848578
26,40,dend[28]_0,dend[26]_0,dend,-301.6709899902344,-111.37100219726562,-28.349098205566406,0.4099999964237213,18.59663840891958,8.5,379.6992163728292
27,142,dend[54]_0,dend[52]_4,dend,-225.0760040283203,-101.09400177001953,-15.968498229980469,0.5600000023841858,27.582905949459512,9.200000000000001,305.13808464613214
28,16,dend[40]_0,dend[39]_0,dend,-244.06399536132812,-75.3125,-46.21419906616211,0.23499999940395355,22.004640976179786,9.5,333.72305433469637
29,43,dend[44]_0,dend[43]_0,dend,-240.20799255371094,-73.493896484375,-48.52640151977539,0.26499998569488525,23.760072505451884,9.600000000000001,338.7457712142304
30,43,dend[45]_0,dend[43]_0,dend,-244.03700256347656,-72.02330017089844,-48.674800872802734,0.4099999964237213,22.377055842536745,9.5,337.62036123937395
31,60,dend[31]_0,dend[29]_0,dend,-319.2349853515625,-103.75299835205078,-34.150699615478516,0.20499999821186066,24.91411579967204,9.700000000000001,401.91610223329513
32,216,dend[13]_0,dend[12]_12,dend,-274.67401123046875,412.9200134277344,-16.24629783630371,0.4099999964237213,216.17960722736458,14.5,568.1850992825829
33,200,dend[15]_0,dend[11]_8,dend,-158.94000244140625,203.73399353027344,-90.43560028076172,0.17499999701976776,24.8114781511,7.7,304.7777337048543
34,60,dend[30]_0,dend[29]_0,dend,-315.6449890136719,-103.09300231933594,-29.144498825073242,0.23499999940395355,24.925072358668178,9.700000000000001,401.8842855172389
