unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-1.6222106218338013,-1.1368829011917114,0.1936306655406952,7.269939422607422,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,11.241299629211426,-8.69773006439209,-3.468289852142334,2.4700000286102295,0.9494861907692899,0.0,27.230437171285665
3,2,dend[1]_0,dend[0]_0,dend,16.214099884033203,-24.860599517822266,-3.951319694519043,2.119999885559082,0.8383440053979571,0.05,50.87780463446286
4,3,dend[2]_0,dend[1]_0,dend,17.867700576782227,-40.88610076904297,-4.351419925689697,1.5299999713897705,0.791650646291041,0.1,64.76559987860509
5,4,dend[3]_0,dend[2]_0,dend,21.014999389648438,-51.93840026855469,-0.7134218811988831,1.059999942779541,0.7156869323111658,0.15000000000000002,78.66599858999288
6,5,dend[3]_1,dend[3]_0,dend,27.806400299072266,-71.810302734375,4.9282097816467285,0.7649999856948853,0.6212526561502071,0.225,98.62078329934955
7,6,dend[3]_2,dend[3]_1,dend,38.0536994934082,-88.27469635009766,9.28849983215332,0.38499999046325684,0.5213262884289194,0.30000000000000004,118.57556800870623
8,7,dend[4]_0,dend[3]_2,dend,49.79600143432617,-104.28500366210938,3.4916603565216064,0.5899999737739563,0.37776233744776544,0.525,138.3027606907368
9,8,dend[4]_1,dend[4]_0,dend,66.74939727783203,-114.1520004272461,3.411900281906128,0.4399999976158142,0.30684520143044297,0.7000000000000001,157.80236134544123
10,9,dend[4]_2,dend[4]_1,dend,80.81220245361328,-117.58000183105469,2.9283201694488525,0.38499999046325684,0.2618019991891598,0.8500000000000001,177.30196200014566
11,10,dend[4]_3,dend[4]_2,dend,93.77359771728516,-119.22899627685547,3.239610195159912,0.29499998688697815,0.2087133461256553,1.075,196.80156265485013
12,11,dend[4]_4,dend[4]_3,dend,110.73400115966797,-124.40399932861328,5.876359939575195,0.23499999940395355,0.17400252284424975,1.2750000000000001,216.30116330955454
13,12,dend[4]_5,dend[4]_4,dend,125.58200073242188,-133.92799377441406,5.779689788818359,0.23499999940395355,0.13525585302895268,1.6,235.80076396425898
14,13,dend[4]_6,dend[4]_5,dend,138.906005859375,-131.9340057373047,9.470780372619629,0.23499999940395355,0.10100394905038775,2.0,255.3003646189634
15,14,dend[4]_7,dend[4]_6,dend,154.10499572753906,-127.78500366210938,14.166799545288086,0.4099999964237213,0.07482387450158824,2.6750000000000003,274.79996527366785
16,15,dend[4]_8,dend[4]_7,dend,169.69200134277344,-126.43399810791016,17.67099952697754,0.32499998807907104,0.06429835813034676,3.45,294.29956592837226
17,16,dend[4]_9,dend[4]_8,dend,189.0229949951172,-123.69200134277344,19.60260009765625,0.29499998688697815,0.05766620068123165,4.55,313.7991665830768
18,17,dend[4]_10,dend[4]_9,dend,206.843994140625,-128.8800048828125,24.44879913330078,0.4099999964237213,0.05479012511026158,5.2250000000000005,333.2987672377812
19,18,dend[4]_11,dend[4]_10,dend,218.51499938964844,-129.37399291992188,37.417701721191406,0.38499999046325684,0.05262817971499306,5.825,352.7983678924856
20,19,dend[4]_12,dend[4]_11,dend,233.14999389648438,-135.70199584960938,44.463600158691406,0.23499999940395355,0.05158791104774797,6.125,372.2979685471901
21,20,dend[4]_13,dend[4]_12,dend,249.41600036621094,-144.177001953125,52.67340087890625,0.6200000047683716,0.0508217807374227,6.375,391.79756920189453
22,21,dend[4]_14,dend[4]_13,dend,269.36700439453125,-146.24099731445312,56.486900329589844,0.7649999856948853,0.05052998096909397,6.4750000000000005,411.29716985659894
23,7,dend[5]_0,dend[3]_2,dend,35.61840057373047,-103.59100341796875,11.14330005645752,0.26499998569488525,0.3816596455042157,0.525,138.67642514973684
24,23,dend[5]_1,dend[5]_0,dend,24.619300842285156,-118.94000244140625,18.705699920654297,0.7049999833106995,0.2629504260931038,0.775,158.92335472244142
25,24,dend[5]_2,dend[5]_1,dend,8.44299030303955,-125.54100036621094,31.75790023803711,0.5299999713897705,0.21541374268255578,1.0,179.170284295146
26,25,dend[5]_3,dend[5]_2,dend,-10.734999656677246,-133.35899353027344,39.47909927368164,0.17499999701976776,0.1707445915955057,1.4500000000000002,199.41721386785056
27,26,dend[5]_4,dend[5]_3,dend,-26.980600357055664,-131.62100219726562,42.04140090942383,0.14499999582767487,0.1499294475729339,2.15,219.66414344055514
28,27,dend[5]_5,dend[5]_4,dend,-37.573699951171875,-128.44900512695312,50.457000732421875,0.20499999821186066,0.14170420535732056,2.6500000000000004,239.9110730132597
29,28,dend[5]_6,dend[5]_5,dend,-49.23740005493164,-132.66600036621094,61.51430130004883,0.4099999964237213,0.13999076510744096,2.7750000000000004,260.15800258596425
30,4,dend[6]_0,dend[2]_0,dend,23.406400680541992,-47.58039855957031,6.117330074310303,1.090000033378601,0.5894968360223592,0.25,80.70759201339744
31,30,dend[7]_0,dend[6]_0,dend,30.914899826049805,-54.940799713134766,24.94339942932129,0.5299999713897705,0.508659480086619,0.45,101.2538712570116
32,31,dend[7]_1,dend[7]_0,dend,37.256099700927734,-61.80609893798828,42.857200622558594,0.675000011920929,0.472664291695452,0.6000000000000001,118.3084581880741
33,32,dend[7]_2,dend[7]_1,dend,39.83449935913086,-62.438899993896484,56.04330062866211,0.7649999856948853,0.4516061766336285,0.7000000000000001,135.36304511913661
34,33,dend[7]_3,dend[7]_2,dend,37.49169921875,-67.9354019165039,66.35420227050781,0.5299999713897705,0.43680359192216667,0.775,152.41763205019913
35,34,dend[7]_4,dend[7]_3,dend,31.739700317382812,-65.21410369873047,79.44429779052734,0.4099999964237213,0.42516640975223186,0.8250000000000001,169.47221898126162
36,30,dend[8]_0,dend[6]_0,dend,30.24209976196289,-55.999298095703125,14.91510009765625,1.2050000429153442,0.5154048062898485,0.42500000000000004,95.0029364681374
37,36,dend[9]_0,dend[8]_0,dend,39.973201751708984,-57.86360168457031,22.8302001953125,1.149999976158142,0.47838463221117017,0.5,106.96318462889921
38,37,dend[9]_1,dend[9]_0,dend,58.00400161743164,-57.8406982421875,29.22570037841797,0.7649999856948853,0.4288788304154915,0.6000000000000001,126.33096359710866
39,38,dend[9]_2,dend[9]_1,dend,71.72709655761719,-55.347599029541016,36.765098571777344,0.675000011920929,0.3664786046507886,0.7250000000000001,145.6987425653181
40,39,dend[9]_3,dend[9]_2,dend,77.50879669189453,-65.73699951171875,43.17179870605469,0.4699999988079071,0.3056850054935535,0.8500000000000001,165.06652153352755
41,40,dend[9]_4,dend[9]_3,dend,83.94619750976562,-69.10230255126953,53.18550109863281,0.4399999976158142,0.2504099410946001,1.0250000000000001,184.434300501737
42,41,dend[9]_5,dend[9]_4,dend,98.40640258789062,-72.08460235595703,56.932899475097656,0.6200000047683716,0.2182143490109433,1.1500000000000001,203.80207946994645
43,42,dend[9]_6,dend[9]_5,dend,113.88600158691406,-68.26730346679688,50.56990051269531,0.4099999964237213,0.18432777747388202,1.375,223.1698584381559
44,43,dend[9]_7,dend[9]_6,dend,130.51699829101562,-66.6073989868164,50.10029983520508,0.4099999964237213,0.16227794442861807,1.625,242.53763740636532
45,44,dend[9]_8,dend[9]_7,dend,143.76100158691406,-70.68170166015625,64.94110107421875,0.7649999856948853,0.14454695813585805,1.875,261.90541637457477
