unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,176,dend[44]_0,dend[43]_10,dend,-325.5769958496094,-21.545299530029297,38.973201751708984,0.7649999856948853,30.56670938609215,10.4,415.2059573223758
2,176,dend[45]_0,dend[43]_10,dend,-322.614013671875,-15.491600036621094,51.0359001159668,0.32499998807907104,32.90721335050291,10.5,425.51819124033915
3,85,dend[28]_0,dend[27]_2,dend,-20.877500534057617,-36.83729934692383,-10.38640022277832,0.5600000023841858,1.3255824388492357,1.5,70.97245394068024
4,122,dend[32]_0,dend[30]_4,dend,12.453300476074219,-102.625,-90.42400360107422,0.20499999821186066,12.223304443227466,7.5,211.69859747843557
5,36,dend[19]_0,dend[1]_0,dend,29.670900344848633,-32.98609924316406,-15.569899559020996,1.090000033378601,1.2148466416202626,1.1,68.12687492996696
6,86,dend[23]_0,dend[21]_2,dend,118.61799621582031,-96.20379638671875,-93.7113037109375,0.7049999833106995,19.933196887904344,7.5,237.66908864608445
7,5,dend[25]_0,dend[19]_0,dend,41.17020034790039,-45.45750045776367,-19.28339958190918,0.29499998688697815,2.0406195589354184,3.5,89.24184962290185
8,91,dend[36]_0,dend[34]_2,dend,-90.94170379638672,-84.12560272216797,-11.245699882507324,0.17499999701976776,7.750146015570895,6.4,169.23834809190052
9,47,dend[14]_0,dend[13]_0,dend,260.2850036621094,-180.7449951171875,132.29100036621094,0.824999988079071,42.014856524574775,10.8,478.7887861055099
10,39,dend[12]_0,dend[11]_0,dend,233.55999755859375,-186.14599609375,105.73699951171875,0.20499999821186066,28.81417076986522,9.1,437.3349984113023
11,86,dend[22]_0,dend[21]_2,dend,112.8010025024414,-93.53459930419922,-88.3812026977539,0.17499999701976776,19.995584692206734,7.6000000000000005,231.1666667582994
12,27,dend[38]_0,dend[37]_0,dend,-33.50310134887695,-34.0004997253418,5.275909900665283,0.6449999809265137,1.5504485488900672,2.4000000000000004,81.82608250763101
13,29,dend[0]_0,soma[0]_0,dend,11.750499725341797,-6.91465950012207,-3.6873698234558105,2.4700000286102295,1.0099464560607538,0.1,26.208411996714247
14,23,dend[6]_0,dend[2]_0,dend,11.498299598693848,-48.18009948730469,-0.7249948978424072,1.090000033378601,1.4912227947256678,2.1,81.30201930227207
15,27,dend[41]_0,dend[37]_0,dend,-38.55939865112305,-32.358699798583984,-2.734339714050293,0.7649999856948853,1.2974838270850724,1.6,80.31893227093127
16,18,dend[43]_0,dend[42]_0,dend,-166.83999633789062,-59.77199935913086,4.5099101066589355,0.23499999940395355,5.61529962420694,6.800000000000001,219.0317930795089
17,28,dend[30]_0,dend[29]_0,dend,-9.706839561462402,-66.2029037475586,-24.8262996673584,0.5600000023841858,2.258159720932128,3.9000000000000004,110.19525260409307
18,146,dend[42]_0,dend[41]_6,dend,-156.5760040283203,-53.456199645996094,5.6882100105285645,0.4399999976158142,4.329795934964947,5.800000000000001,205.0117454778232
19,95,dend[4]_0,dend[3]_2,dend,46.94110107421875,-89.83869934082031,-19.567699432373047,0.5299999713897705,2.8299916458012313,4.6000000000000005,128.58613890627623
20,91,dend[35]_0,dend[34]_2,dend,-85.03990173339844,-78.71209716796875,-14.475199699401855,0.5,6.011410710458742,6.2,162.1386914682477
21,5,dend[20]_0,dend[19]_0,dend,43.425899505615234,-37.77980041503906,-21.536500930786133,0.5600000023841858,1.7713516617832625,3.0,87.5719976632846
22,28,dend[33]_0,dend[29]_0,dend,-14.795499801635742,-65.03130340576172,-18.947399139404297,0.5,2.8235505866671096,4.7,111.81337072083943
23,36,dend[2]_0,dend[1]_0,dend,17.914400100708008,-32.30950164794922,-12.641400337219238,1.5299999713897705,1.0594386689091906,0.30000000000000004,59.45256010415382
24,95,dend[5]_0,dend[3]_2,dend,32.72209930419922,-91.52880096435547,-8.38286018371582,0.26499998569488525,3.2517628613834595,5.1000000000000005,128.47433896750013
25,146,dend[47]_0,dend[41]_6,dend,-160.44900512695312,-55.864601135253906,10.303099632263184,0.38499999046325684,5.092588091627463,6.4,210.22665181646823
26,29,dend[27]_0,soma[0]_0,dend,-11.021400451660156,-10.234700202941895,0.36052611470222473,1.6799999475479126,1.0157405478022716,0.1,21.16686639282229
27,85,dend[37]_0,dend[27]_2,dend,-25.48419952392578,-29.54560089111328,-4.243020057678223,0.9399999976158142,1.1482633805031892,0.8,65.18080381386511
28,3,dend[29]_0,dend[28]_0,dend,-19.703800201416016,-53.98360061645508,-13.301899909973145,0.5,1.7085347099914765,2.8000000000000003,91.71367925991152
29,-1,soma[0]_0,root,soma,-1.6222106218338013,-1.1368829011917114,0.1936306655406952,7.269939422607422,1.0,0.0,0.0
30,120,dend[21]_0,dend[20]_4,dend,96.97450256347656,-58.73910140991211,-53.242698669433594,0.17499999701976776,6.995437555869646,6.300000000000001,171.32158916680783
31,120,dend[24]_0,dend[20]_4,dend,96.95390319824219,-53.5453987121582,-54.5625,0.23499999940395355,6.842720167420461,6.300000000000001,169.12940223035304
32,10,dend[16]_0,dend[12]_0,dend,244.14500427246094,-183.375,115.52799987792969,0.20499999821186066,31.568435425535462,9.5,452.06165329402626
33,47,dend[15]_0,dend[13]_0,dend,254.4709930419922,-186.15499877929688,140.1540069580078,0.14499999582767487,52.33426953555011,11.700000000000001,487.5909132314484
34,39,dend[17]_0,dend[11]_0,dend,237.0989990234375,-187.6490020751953,108.63899993896484,0.8849999904632568,31.325325499273916,9.600000000000001,441.980197827151
35,3,dend[34]_0,dend[28]_0,dend,-29.50119972229004,-51.640899658203125,-10.28380012512207,0.5299999713897705,2.139108158040763,3.8000000000000003,95.40615455254718
36,13,dend[1]_0,dend[0]_0,dend,16.540000915527344,-20.554899215698242,-6.777450084686279,2.119999885559082,1.042278330626793,0.2,47.78493526275105
37,14,dend[7]_0,dend[6]_0,dend,-2.377620220184326,-72.35320281982422,18.853500366210938,0.824999988079071,2.0751917052188236,3.8000000000000003,113.4602931089842
38,116,dend[40]_0,dend[38]_4,dend,-80.63890075683594,-74.82019805908203,78.606201171875,0.26499998569488525,5.029726913663737,5.9,187.99794287531418
39,201,dend[11]_0,dend[10]_14,dend,233.7449951171875,-180.5449981689453,100.74400329589844,0.29499998688697815,27.005063976048024,8.8,424.33693782867175
40,14,dend[8]_0,dend[6]_0,dend,7.866580009460449,-65.14440155029297,7.993189811706543,1.2050000429153442,1.7109109372522173,2.8000000000000003,101.53639803091313
41,201,dend[18]_0,dend[10]_14,dend,242.968994140625,-181.1840057373047,91.5062026977539,0.4099999964237213,29.081587591802567,9.3,424.54036444549445
42,18,dend[46]_0,dend[42]_0,dend,-166.43299865722656,-61.519500732421875,1.62034010887146,0.5899999737739563,4.777036204662274,6.1000000000000005,219.59012579891706
43,13,dend[26]_0,dend[0]_0,dend,21.11240005493164,-13.852800369262695,-8.556539535522461,0.7649999856948853,1.2828053226284426,1.4000000000000001,47.59813070786227
44,116,dend[39]_0,dend[38]_4,dend,-83.48359680175781,-71.60279846191406,77.06179809570312,0.17499999701976776,6.042420959937604,6.1000000000000005,189.43213076161373
45,23,dend[3]_0,dend[2]_0,dend,19.699499130249023,-42.61859893798828,-11.549400329589844,1.059999942779541,1.2013862766539265,1.0,71.55026669956857
46,122,dend[31]_0,dend[30]_4,dend,-0.8480702638626099,-102.04199981689453,-86.12239837646484,0.20499999821186066,10.46479331286278,7.300000000000001,214.09122624424927
47,10,dend[13]_0,dend[12]_0,dend,249.32000732421875,-186.55799865722656,119.93599700927734,0.17499999701976776,37.0978999501835,10.3,458.27240444788856
48,40,dend[9]_0,dend[8]_0,dend,12.038100242614746,-72.39009857177734,19.94379997253418,1.149999976158142,2.0588232903023744,3.6,113.11357958861143
49,40,dend[10]_0,dend[8]_0,dend,7.959420204162598,-74.93199920654297,10.55270004272461,0.7049999833106995,2.0415604953895357,3.7,113.04612199717991
50,7,dend[25]_1,dend[25]_0,dend,41.813499450683594,-58.212799072265625,-22.652099609375,0.5600000023841858,2.511576864834404,4.1000000000000005,108.61985940406743
51,8,dend[36]_1,dend[36]_0,dend,-112.3489990234375,-90.53959655761719,-7.033269882202148,0.26499998569488525,8.429917532433846,6.5,189.6712146664647
52,12,dend[38]_1,dend[38]_0,dend,-41.6786003112793,-45.6952018737793,20.54759979248047,0.824999988079071,1.9613979205649537,3.3000000000000003,103.27884302588768
53,16,dend[43]_1,dend[43]_0,dend,-184.93899536132812,-61.12689971923828,3.0702602863311768,0.7049999833106995,6.443416803148664,7.0,237.38624245224
54,19,dend[4]_1,dend[4]_0,dend,64.52960205078125,-97.69879913330078,-26.04170036315918,1.149999976158142,3.2401881676043467,4.9,149.19736713093363
55,15,dend[41]_1,dend[41]_0,dend,-51.41749954223633,-29.637300491333008,2.753690242767334,0.32499998807907104,1.5048020775181994,2.3000000000000003,98.75739231578845
56,21,dend[20]_1,dend[20]_0,dend,57.53179931640625,-37.22890090942383,-27.481599807739258,0.8550000190734863,2.0458014233837063,3.4000000000000004,103.61030352521567
57,17,dend[30]_1,dend[30]_0,dend,1.7388197183609009,-68.61000061035156,-36.950801849365234,0.4699999988079071,2.6280752777487053,4.4,129.09704577689902
58,22,dend[33]_1,dend[33]_0,dend,-15.067099571228027,-75.5833969116211,-20.332399368286133,0.29499998688697815,3.433955544496467,5.0,133.9514001271381
59,25,dend[47]_1,dend[47]_0,dend,-177.72000122070312,-60.31869888305664,18.607900619506836,0.5899999737739563,5.7625468429332924,6.6000000000000005,230.34211032439862
60,24,dend[5]_1,dend[5]_0,dend,23.26020050048828,-105.91400146484375,-1.6967298984527588,0.7049999833106995,4.3903361849137905,5.5,148.86196731460535
61,26,dend[27]_1,dend[27]_0,dend,-14.13599967956543,-16.74489974975586,-0.30123889446258545,1.4700000286102295,1.0222907740695013,0.1,36.40488198738439
62,30,dend[21]_1,dend[21]_0,dend,100.87000274658203,-75.85070037841797,-61.76499938964844,0.26499998569488525,9.670186972791607,6.5,194.47601941647457
63,31,dend[24]_1,dend[24]_0,dend,101.27899932861328,-64.13939666748047,-61.22370147705078,0.35499998927116394,8.364378283601383,6.6000000000000005,187.8994586071102
64,34,dend[17]_1,dend[17]_0,dend,243.73199462890625,-198.83299255371094,114.68299865722656,0.6200000047683716,33.69098265777167,9.9,456.3277547950174
65,32,dend[16]_1,dend[16]_0,dend,262.2439880371094,-177.45799255371094,113.56900024414062,0.4099999964237213,35.582619430599934,10.0,476.45780492330505
66,35,dend[34]_1,dend[34]_0,dend,-50.27939987182617,-58.788299560546875,-12.3572998046875,0.4699999988079071,2.8580647686789007,4.5,120.85245865337568
67,37,dend[7]_1,dend[7]_0,dend,-16.827199935913086,-86.34140014648438,32.21870040893555,0.7649999856948853,2.5548498105143045,4.5,139.58123227924986
68,42,dend[46]_1,dend[46]_0,dend,-179.3769989013672,-71.19609832763672,-8.569660186767578,0.5199999809265137,5.116814765944626,6.2,239.06124061046444
69,43,dend[26]_1,dend[26]_0,dend,31.396499633789062,-9.443360328674316,-18.369600296020508,0.7049999833106995,1.5740629197563931,2.4000000000000004,65.05646132781229
70,44,dend[39]_1,dend[39]_0,dend,-103.92400360107422,-69.1146011352539,84.02649688720703,0.9399999976158142,7.045909620888244,6.300000000000001,211.5693826052691
71,45,dend[3]_1,dend[3]_0,dend,24.568700790405273,-61.87120056152344,-9.824419975280762,0.7649999856948853,1.3249721338064386,1.6,90.24236993732015
72,48,dend[9]_1,dend[9]_0,dend,24.470600128173828,-82.42610168457031,35.092899322509766,0.8849999904632568,2.28545788647649,3.9000000000000004,133.99479368988455
73,49,dend[10]_1,dend[10]_0,dend,17.475900650024414,-87.78109741210938,9.164079666137695,0.5,2.3882072843041042,4.2,133.79242091558996
74,50,dend[25]_2,dend[25]_1,dend,42.67679977416992,-69.45159912109375,-27.38010025024414,0.675000011920929,3.0460174310670984,4.4,127.99786918523299
75,51,dend[36]_2,dend[36]_1,dend,-127.90499877929688,-96.85749816894531,-4.744619846343994,0.20499999821186066,9.370112862329895,6.6000000000000005,210.10408124102892
76,52,dend[38]_2,dend[38]_1,dend,-53.82509994506836,-54.939998626708984,37.11429977416992,0.35499998927116394,2.3173593830076884,3.7,124.73160354414435
77,53,dend[43]_2,dend[43]_1,dend,-205.08799743652344,-51.91360092163086,-1.0068098306655884,0.26499998569488525,7.265563842609791,7.300000000000001,255.74069182497112
78,54,dend[4]_2,dend[4]_1,dend,83.10990142822266,-101.92900085449219,-30.327199935913086,1.059999942779541,3.583653623523157,5.0,169.80859535559105
79,55,dend[41]_2,dend[41]_1,dend,-66.52670288085938,-34.54859924316406,4.1780500411987305,0.6200000047683716,1.6634995730237185,2.7,117.19585236064566
80,56,dend[20]_2,dend[20]_1,dend,68.5707015991211,-39.80289840698242,-31.64069938659668,0.4399999976158142,2.3262451284590946,3.8000000000000003,119.64860938714676
81,57,dend[30]_2,dend[30]_1,dend,4.984990119934082,-76.30909729003906,-47.23640060424805,0.5899999737739563,3.056364844368932,4.7,147.99883894970498
82,58,dend[33]_2,dend[33]_1,dend,-10.080300331115723,-88.63739776611328,-23.712099075317383,0.6200000047683716,4.0503893002660245,5.300000000000001,156.0894295334368
83,59,dend[47]_2,dend[47]_1,dend,-198.11199951171875,-60.535099029541016,23.00589942932129,0.9700000286102295,6.275012560465903,6.7,250.457568832329
84,60,dend[5]_2,dend[5]_1,dend,8.820039749145508,-115.15899658203125,13.27299976348877,0.5299999713897705,5.496340744731503,5.9,169.24959566171057
85,61,dend[27]_2,dend[27]_1,dend,-18.225099563598633,-23.632699966430664,-2.3299198150634766,1.7649999856948853,1.0289199385431032,0.1,51.6428975819465
86,62,dend[21]_2,dend[21]_1,dend,104.81199645996094,-88.71289825439453,-75.7677993774414,0.32499998807907104,11.949755817985771,6.800000000000001,217.63044966614135
87,63,dend[24]_2,dend[24]_1,dend,108.71499633789062,-76.00920104980469,-73.80400085449219,0.4099999964237213,9.39814053864365,6.9,206.6695149838674
88,64,dend[17]_2,dend[17]_1,dend,240.49600219726562,-209.91000366210938,120.02999877929688,0.14499999582767487,36.28243107233538,10.3,470.6753117628839
89,65,dend[16]_2,dend[16]_1,dend,287.6199951171875,-173.82200622558594,97.91690063476562,1.0,38.41022646842512,10.5,500.85395655258384
90,67,dend[7]_2,dend[7]_1,dend,-35.0192985534668,-91.02320098876953,34.75170135498047,0.5,3.2383896693185563,5.2,165.70217144951553
91,66,dend[34]_2,dend[34]_1,dend,-69.99810028076172,-67.67040252685547,-12.770500183105469,0.7049999833106995,3.465485243711259,4.800000000000001,146.29876275420418
92,68,dend[46]_2,dend[46]_1,dend,-192.05499267578125,-81.84989929199219,-23.666200637817383,0.3700000047683716,5.556158361150024,6.300000000000001,258.5323554220118
93,69,dend[26]_2,dend[26]_1,dend,41.83290100097656,-7.2347493171691895,-27.29199981689453,0.32499998807907104,2.0264769490594823,3.4000000000000004,82.51479194776232
94,70,dend[39]_2,dend[39]_1,dend,-121.14199829101562,-63.10409927368164,88.31710052490234,0.23499999940395355,7.989842056110865,6.5,233.70663444892452
95,71,dend[3]_2,dend[3]_1,dend,34.00490188598633,-78.45169830322266,-7.465909957885742,0.38499999046325684,1.4624232440948914,2.0,108.93447317507173
