unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.5453628301620483,0.6036592125892639,0.35689714550971985,8.391899108886719,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-11.351896286010742,-8.301633834838867,-5.299928188323975,1.7050000429153442,0.955777928671326,0.025,16.68487181568985
3,2,dend[1]_0,dend[0]_0,dend,-20.41289710998535,-14.220203399658203,-6.5886383056640625,1.1200000047683716,0.93158762898626,0.025,30.355191407914468
4,3,dend[2]_0,dend[1]_0,dend,-31.999696731567383,-24.90830421447754,-7.453678131103516,0.6449999809265137,0.8727590323804801,0.05,49.54255893881746
5,4,dend[2]_1,dend[2]_0,dend,-41.10509490966797,-37.62430191040039,-6.245248317718506,0.5899999737739563,0.779088231367528,0.1,69.49298470795284
6,5,dend[2]_2,dend[2]_1,dend,-49.91919708251953,-52.419403076171875,-7.737257957458496,0.5,0.6999983336046639,0.15000000000000002,89.44341047708824
7,6,dend[2]_3,dend[2]_2,dend,-60.63229751586914,-70.89730072021484,-8.746228218078613,0.7049999833106995,0.625801989635008,0.2,109.3938362462236
8,7,dend[2]_4,dend[2]_3,dend,-63.16099548339844,-88.82230377197266,-9.847317695617676,0.6200000047683716,0.5554928776175261,0.275,129.344262015359
9,8,dend[3]_0,dend[2]_4,dend,-69.97649383544922,-107.81099700927734,-23.167598724365234,0.4699999988079071,0.497267186231892,0.35000000000000003,149.32591091063205
10,9,dend[3]_1,dend[3]_0,dend,-82.33479309082031,-125.69999694824219,-37.221595764160156,0.9700000286102295,0.4642407076807376,0.4,169.33878293204273
11,10,dend[3]_2,dend[3]_1,dend,-81.79878997802734,-146.02099609375,-57.81739807128906,0.7350000143051147,0.44434064074003016,0.45,189.35165495345342
12,11,dend[3]_3,dend[3]_2,dend,-84.88629150390625,-161.7010040283203,-71.27999877929688,1.2350000143051147,0.42468124031872173,0.47500000000000003,209.36452697486413
13,12,dend[3]_4,dend[3]_3,dend,-81.60889434814453,-172.39100646972656,-78.58270263671875,1.1200000047683716,0.3970806838215175,0.55,229.37739899627485
14,13,dend[3]_5,dend[3]_4,dend,-77.69869232177734,-181.19700622558594,-86.45050048828125,1.1200000047683716,0.382074449160626,0.5750000000000001,249.39027101768554
15,14,dend[3]_6,dend[3]_5,dend,-74.85379028320312,-190.75900268554688,-93.3051986694336,0.5,0.36786533304330243,0.6000000000000001,269.4031430390962
16,15,dend[4]_0,dend[3]_6,dend,-73.6032943725586,-191.9320068359375,-103.29199981689453,0.5299999713897705,0.3656902594208089,0.625,285.95068620932375
17,15,dend[5]_0,dend[3]_6,dend,-75.45389556884766,-198.35000610351562,-100.88400268554688,0.5299999713897705,0.366186541306323,0.625,282.38643707781245
18,8,dend[6]_0,dend[2]_4,dend,-74.56848907470703,-104.41600036621094,-8.574607849121094,0.29499998688697815,0.5006435379091049,0.35000000000000003,148.63597335482314
19,18,dend[6]_1,dend[6]_0,dend,-89.7636947631836,-113.375,-5.298647880554199,0.4699999988079071,0.4595940597048676,0.4,167.268970264616
20,19,dend[6]_2,dend[6]_1,dend,-107.35999298095703,-120.89700317382812,-7.873578071594238,0.26499998569488525,0.4184354203241557,0.45,185.90196717440887
21,20,dend[6]_3,dend[6]_2,dend,-124.20899200439453,-125.87200164794922,-8.248778343200684,0.5899999737739563,0.38256317787264016,0.5,204.53496408420176
22,21,dend[6]_4,dend[6]_3,dend,-142.60299682617188,-127.68000030517578,-9.825298309326172,0.4399999976158142,0.3457421250728692,0.5750000000000001,223.16796099399465
23,22,dend[6]_5,dend[6]_4,dend,-163.52099609375,-131.14300537109375,-10.169697761535645,0.26499998569488525,0.3151537057561241,0.675,241.8009579037875
24,23,dend[6]_6,dend[6]_5,dend,-180.59100341796875,-133.62399291992188,-14.244797706604004,0.14499999582767487,0.2960139181377781,0.75,260.4339548135804
25,24,dend[6]_7,dend[6]_6,dend,-193.906005859375,-135.406005859375,-16.784198760986328,0.7649999856948853,0.2730771073892328,0.925,279.0669517233732
26,25,dend[6]_8,dend[6]_7,dend,-204.13299560546875,-144.26300048828125,-25.026498794555664,0.4399999976158142,0.26671202036168157,1.0,297.6999486331661
