unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.6681117415428162,-0.8324105739593506,0.1491815447807312,7.589256763458252,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,1.2356003522872925,-20.17521095275879,-0.9584327936172485,0.7350000143051147,0.9772965016394172,0.0,24.20717771819514
3,2,dend[0]_1,dend[0]_0,dend,3.374560594558716,-23.541610717773438,-3.9890496730804443,0.824999988079071,0.9403529781604639,0.025,41.55253090162721
4,3,dend[0]_2,dend[0]_1,dend,6.425110340118408,-31.796112060546875,-7.748419761657715,0.7049999833106995,0.8654667514541496,0.07500000000000001,58.89788408505928
5,4,dend[1]_0,dend[0]_2,dend,5.94972038269043,-41.19731140136719,-10.15779972076416,0.29499998688697815,0.7667808617242232,0.17500000000000002,76.8139050311114
6,5,dend[1]_1,dend[1]_0,dend,3.2730605602264404,-55.36301040649414,-13.506099700927734,0.4399999976158142,0.6517176732618735,0.30000000000000004,95.3005937397836
7,6,dend[1]_2,dend[1]_1,dend,2.833160400390625,-73.39591217041016,-15.025300025939941,0.38499999046325684,0.5587502587846296,0.42500000000000004,113.78728244845577
8,7,dend[1]_3,dend[1]_2,dend,0.766029417514801,-91.51561737060547,-17.16900062561035,0.5,0.4589833879583113,0.625,132.27397115712796
9,8,dend[1]_4,dend[1]_3,dend,-4.471749305725098,-108.14501190185547,-18.007400512695312,0.4099999964237213,0.377776911735097,0.8,150.76065986580016
10,9,dend[1]_5,dend[1]_4,dend,-6.067409515380859,-128.3570098876953,-17.697200775146484,0.23499999940395355,0.32914350455899954,0.9750000000000001,169.24734857447234
11,10,dend[1]_6,dend[1]_5,dend,-14.454400062561035,-142.67800903320312,-21.4591007232666,0.4399999976158142,0.28663528228539653,1.175,187.73403728314454
12,11,dend[1]_7,dend[1]_6,dend,-19.726999282836914,-156.13601684570312,-26.14069938659668,0.29499998688697815,0.25983081521222035,1.375,206.22072599181672
13,12,dend[1]_8,dend[1]_7,dend,-23.013999938964844,-173.38601684570312,-29.520099639892578,0.5899999737739563,0.2427080959497517,1.675,224.7074147004889
14,13,dend[1]_9,dend[1]_8,dend,-25.4281005859375,-189.06301879882812,-33.22330093383789,0.5299999713897705,0.23542020569991592,1.875,243.1941034091611
15,14,dend[1]_10,dend[1]_9,dend,-27.509700775146484,-200.65301513671875,-38.95439910888672,0.26499998569488525,0.23316846526363152,1.9500000000000002,261.6807921178333
16,4,dend[2]_0,dend[0]_2,dend,9.936039924621582,-41.17551040649414,-13.030500411987305,0.4099999964237213,0.7549684809689582,0.2,76.85776665924281
17,16,dend[2]_1,dend[2]_0,dend,13.922699928283691,-53.49971008300781,-16.559200286865234,0.6200000047683716,0.6617951457129965,0.275,95.43217862417781
18,17,dend[2]_2,dend[2]_1,dend,22.260299682617188,-73.57471466064453,-15.791600227355957,0.5899999737739563,0.5705072078989173,0.35000000000000003,114.00659058911283
19,18,dend[3]_0,dend[2]_2,dend,25.905899047851562,-91.21581268310547,-13.48840045928955,0.38499999046325684,0.42688915808415256,0.55,135.90528395750258
20,19,dend[3]_1,dend[3]_0,dend,31.90959930419922,-112.79300689697266,-15.229499816894531,0.38499999046325684,0.2894238765881568,0.7250000000000001,161.1282587293471
21,20,dend[3]_2,dend[3]_1,dend,33.637298583984375,-136.34201049804688,-18.157899856567383,0.4099999964237213,0.20147520185829842,0.9,186.3512335011916
22,21,dend[4]_0,dend[3]_2,dend,37.28070068359375,-155.81101989746094,-17.532699584960938,0.38499999046325684,0.1516529667673324,1.125,207.18335601897235
23,22,dend[4]_1,dend[4]_0,dend,38.59579849243164,-172.416015625,-18.147499084472656,0.38499999046325684,0.1292008696257289,1.2750000000000001,223.62462628268932
24,23,dend[4]_2,dend[4]_1,dend,36.48569869995117,-183.87802124023438,-16.756000518798828,0.4399999976158142,0.10640666643876286,1.55,240.06589654640632
25,24,dend[5]_0,dend[4]_2,dend,31.981800079345703,-197.20401000976562,-21.982900619506836,0.5,0.09448782095271424,1.9500000000000002,258.2644881509077
26,25,dend[5]_1,dend[5]_0,dend,24.989700317382812,-213.3690185546875,-28.157800674438477,0.4399999976158142,0.09020072911653532,2.325,278.2204010961934
27,26,dend[5]_2,dend[5]_1,dend,18.199399948120117,-228.1710205078125,-28.856399536132812,0.20499999821186066,0.08661008607285862,2.8000000000000003,298.17631404147915
28,27,dend[5]_3,dend[5]_2,dend,1.931640386581421,-229.53102111816406,-28.997499465942383,0.23499999940395355,0.08541575260644312,3.0500000000000003,318.1322269867649
29,28,dend[5]_4,dend[5]_3,dend,-19.831100463867188,-235.76101684570312,-32.82630157470703,0.11999999731779099,0.08501146020185919,3.1500000000000004,338.0881399320507
30,24,dend[6]_0,dend[4]_2,dend,36.2765998840332,-201.42401123046875,-19.530500411987305,0.23499999940395355,0.09290033683461885,1.9000000000000001,257.4836788433437
31,30,dend[6]_1,dend[6]_0,dend,42.9630012512207,-218.14901733398438,-24.634599685668945,0.38499999046325684,0.08190900028495465,2.5500000000000003,275.87797317350135
32,31,dend[6]_2,dend[6]_1,dend,48.13589859008789,-231.43701171875,-30.13610076904297,0.29499998688697815,0.07662717275851465,3.25,294.27226750365907
33,32,dend[6]_3,dend[6]_2,dend,57.06679916381836,-247.46701049804688,-37.58340072631836,0.4399999976158142,0.07395615675811008,3.8000000000000003,312.6665618338168
34,33,dend[6]_4,dend[6]_3,dend,61.59749984741211,-257.8299865722656,-37.48640060424805,0.26499998569488525,0.07297554654170582,4.05,331.0608561639745
35,34,dend[7]_0,dend[6]_4,dend,68.02110290527344,-268.7359924316406,-44.38460159301758,0.14499999582767487,0.07258944903087523,4.175,348.78808021241827
36,34,dend[8]_0,dend[6]_4,dend,62.797401428222656,-268.6440124511719,-44.18550109863281,0.4699999988079071,0.07255866961328401,4.175,346.0362361231871
37,36,dend[9]_0,dend[8]_0,dend,57.97480010986328,-271.468994140625,-46.44300079345703,0.11999999731779099,0.07249578855591954,4.2,353.0611822101325
38,36,dend[10]_0,dend[8]_0,dend,61.88330078125,-276.7170104980469,-49.536800384521484,0.14499999582767487,0.07237682226653064,4.25,358.66967125126683
39,21,dend[11]_0,dend[3]_2,dend,39.46620178222656,-154.38902282714844,-20.159700393676758,0.29499998688697815,0.15163423455877775,1.125,207.92090996343336
40,39,dend[11]_1,dend[11]_0,dend,45.763099670410156,-167.77500915527344,-26.221799850463867,0.29499998688697815,0.12847693420955378,1.2750000000000001,225.8372881160724
