unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.20862069725990295,-0.25082889199256897,0.07741555571556091,6.714271068572998,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-6.361669063568115,-13.300800323486328,0.9293463230133057,1.7949999570846558,0.9599365673000037,0.025,16.521923767886232
3,2,dend[1]_0,dend[0]_0,dend,-2.7862091064453125,-30.32670021057129,-0.7449546456336975,0.675000011920929,0.9049722058929026,0.05,33.74284390148144
4,3,dend[1]_1,dend[1]_0,dend,4.063691139221191,-49.72600173950195,-1.4432106018066406,0.5,0.7918096148334138,0.1,55.97746592719358
5,4,dend[1]_2,dend[1]_1,dend,6.27052116394043,-74.59770202636719,-0.6836146712303162,0.6200000047683716,0.67117461920034,0.25,78.21208795290572
6,5,dend[1]_3,dend[1]_2,dend,6.478140830993652,-94.96099853515625,-2.246910810470581,0.4699999988079071,0.6038866616138912,0.325,100.44670997861785
7,6,dend[1]_4,dend[1]_3,dend,10.418001174926758,-115.71099853515625,-3.5594208240509033,0.4399999976158142,0.4961061947043182,0.4,122.68133200432999
8,7,dend[1]_5,dend[1]_4,dend,13.928001403808594,-132.6999969482422,-3.2302606105804443,0.5600000023841858,0.37844163195806546,0.5,144.91595403004214
9,8,dend[1]_6,dend[1]_5,dend,18.895301818847656,-150.58799743652344,-2.130640745162964,0.4399999976158142,0.27301320830430637,0.65,167.1505760557543
10,9,dend[2]_0,dend[1]_6,dend,20.21510124206543,-168.52499389648438,-1.5252705812454224,0.7049999833106995,0.21533811081947923,0.8250000000000001,188.2354874447405
11,10,dend[2]_1,dend[2]_0,dend,12.149201393127441,-192.45399475097656,-4.331710338592529,0.4399999976158142,0.191941912164384,0.9750000000000001,208.1706881970008
12,11,dend[2]_2,dend[2]_1,dend,6.644240856170654,-211.45899963378906,-3.1840007305145264,1.2350000143051147,0.1710218670763686,1.225,228.1058889492611
13,12,dend[2]_3,dend[2]_2,dend,0.9749740362167358,-228.27499389648438,-2.9635307788848877,0.7049999833106995,0.16394574966996855,1.35,248.04108970152146
14,13,dend[2]_4,dend[2]_3,dend,-2.070099115371704,-250.10800170898438,-5.777420520782471,0.7049999833106995,0.1554194867575061,1.5,267.97629045378176
15,14,dend[2]_5,dend[2]_4,dend,-9.670799255371094,-269.1520080566406,-8.265621185302734,0.4099999964237213,0.14666392566546957,1.725,287.91149120604206
