unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.20862069725990295,-0.25082889199256897,0.07741555571556091,6.714271068572998,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-6.0141191482543945,-10.51159954071045,0.9271823167800903,1.7949999570846558,0.9740909939798098,0.0,14.096142246367998
3,2,dend[1]_0,dend[0]_0,dend,-2.432328939437866,-22.3262996673584,-1.1606305837631226,0.675000011920929,0.8975097309941247,0.05,26.505673769982884
4,3,dend[1]_1,dend[1]_0,dend,3.47062087059021,-37.22700119018555,-2.585120677947998,0.5,0.7809693067478986,0.1,43.96908161877084
5,4,dend[1]_2,dend[1]_1,dend,5.354701042175293,-56.35110092163086,-2.596670627593994,0.6200000047683716,0.6558521017653408,0.25,61.432489467558796
6,5,dend[1]_3,dend[1]_2,dend,5.374600887298584,-71.87870025634766,-4.430360317230225,0.4699999988079071,0.5922275976274205,0.325,78.89589731634675
7,6,dend[1]_4,dend[1]_3,dend,8.68381118774414,-87.75340270996094,-6.260780334472656,0.4399999976158142,0.4897119703406935,0.4,96.35930516513471
8,7,dend[1]_5,dend[1]_4,dend,11.718900680541992,-100.82599639892578,-6.546180248260498,0.5600000023841858,0.3776369279624638,0.5,113.82271301392265
9,8,dend[1]_6,dend[1]_5,dend,16.072002410888672,-114.64299774169922,-6.258160591125488,0.4399999976158142,0.27763117670845844,0.625,131.28612086271062
10,9,dend[2]_0,dend[1]_6,dend,16.93360137939453,-129.16400146484375,-7.6964802742004395,0.675000011920929,0.22983627588646016,0.8,148.60310293427057
11,10,dend[2]_1,dend[2]_0,dend,13.509501457214355,-147.52499389648438,-10.772900581359863,0.4099999964237213,0.20809035858871255,0.9750000000000001,165.77365922860253
12,11,dend[2]_2,dend[2]_1,dend,10.2243013381958,-163.03700256347656,-13.923601150512695,0.6449999809265137,0.19975467523337126,1.075,182.9442155229345
13,12,dend[2]_3,dend[2]_2,dend,6.879991054534912,-179.21800231933594,-18.799699783325195,0.4099999964237213,0.18870441036122035,1.225,200.11477181726647
