unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.6438901424407959,-1.282930850982666,-0.19725073873996735,5.872671127319336,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-2.441431999206543,-16.146711349487305,-2.431469678878784,0.4399999976158142,0.8731503489292401,0.05,22.69021234431201
3,2,dend[0]_1,dend[0]_0,dend,-3.1955418586730957,-23.332611083984375,-5.856689929962158,0.7350000143051147,0.7045780899790888,0.2,39.224179088773724
4,3,dend[0]_2,dend[0]_1,dend,-6.3127217292785645,-27.964811325073242,-6.251840114593506,1.2949999570846558,0.589331922675527,0.375,55.758145833235446
5,4,dend[1]_0,dend[0]_2,dend,-17.528301239013672,-34.75720977783203,-5.07036018371582,0.5299999713897705,0.5381083025806418,0.525,71.03921935888322
6,5,dend[2]_0,dend[1]_0,dend,-21.755102157592773,-34.99351119995117,-7.490049839019775,1.1749999523162842,0.4991437547810512,0.775,80.56826253786106
7,6,dend[3]_0,dend[2]_0,dend,-25.02650260925293,-33.4458122253418,-12.390299797058105,0.7950000166893005,0.4807161360562567,0.8500000000000001,87.91285915521267
8,7,dend[4]_0,dend[3]_0,dend,-33.36650085449219,-34.30900955200195,-15.292900085449219,0.4399999976158142,0.4587004216255944,0.925,102.36823638347397
9,8,dend[4]_1,dend[4]_0,dend,-39.12810134887695,-27.262910842895508,-20.83300018310547,0.6200000047683716,0.41301189851253683,1.075,121.61970365641521
10,9,dend[4]_2,dend[4]_1,dend,-48.09469985961914,-30.406110763549805,-21.02899932861328,0.824999988079071,0.3840783533404616,1.175,140.87117092935645
11,10,dend[4]_3,dend[4]_2,dend,-59.96419906616211,-37.104610443115234,-27.117399215698242,0.7950000166893005,0.36525632832839255,1.25,160.1226382022977
12,11,dend[4]_4,dend[4]_3,dend,-62.85260009765625,-35.02061080932617,-39.87369918823242,0.7649999856948853,0.3460656649661283,1.3250000000000002,179.37410547523893
13,12,dend[4]_5,dend[4]_4,dend,-71.37629699707031,-35.267112731933594,-60.02280044555664,0.32499998807907104,0.3330171220190502,1.375,198.6255727481802
14,13,dend[4]_6,dend[4]_5,dend,-75.37590026855469,-36.11901092529297,-88.19650268554688,0.4099999964237213,0.33000648486438977,1.4000000000000001,217.87704002112142
15,7,dend[5]_0,dend[3]_0,dend,-31.935302734375,-41.3916130065918,-8.954290390014648,0.29499998688697815,0.45349861789126805,0.925,102.20342470269297
16,15,dend[5]_1,dend[5]_0,dend,-47.39580154418945,-48.41381072998047,-9.229769706726074,0.23499999940395355,0.3683679904456161,1.1,121.1252686140722
17,16,dend[5]_2,dend[5]_1,dend,-57.88970184326172,-57.41031265258789,-9.976309776306152,0.23499999940395355,0.3107974174509121,1.225,140.04711252545144
18,17,dend[5]_3,dend[5]_2,dend,-64.04190063476562,-67.34981536865234,-14.65880012512207,0.29499998688697815,0.2718185505570397,1.35,158.96895643683067
19,18,dend[5]_4,dend[5]_3,dend,-66.79820251464844,-85.4066162109375,-17.17140007019043,0.35499998927116394,0.24809376681904113,1.425,177.8908003482099
20,19,dend[5]_5,dend[5]_4,dend,-67.52239990234375,-100.80602264404297,-21.482099533081055,0.29499998688697815,0.21413730810202594,1.55,196.81264425958912
21,20,dend[5]_6,dend[5]_5,dend,-75.02960205078125,-109.2130126953125,-22.980499267578125,0.17499999701976776,0.18296090005018395,1.7000000000000002,215.73448817096832
22,21,dend[5]_7,dend[5]_6,dend,-81.22059631347656,-122.38001251220703,-25.70989990234375,0.5600000023841858,0.15786273407244483,1.85,234.65633208234755
23,22,dend[5]_8,dend[5]_7,dend,-92.78849792480469,-133.7840118408203,-31.28030014038086,0.32499998807907104,0.12766656091588913,2.1750000000000003,253.5781759937268
24,23,dend[5]_9,dend[5]_8,dend,-100.8949966430664,-150.15701293945312,-37.430599212646484,0.32499998807907104,0.11677972050058767,2.375,272.500019905106
25,24,dend[5]_10,dend[5]_9,dend,-116.1500015258789,-168.59901428222656,-43.39789962768555,0.5,0.09912642694323437,3.1,291.42186381648526
26,25,dend[5]_11,dend[5]_10,dend,-127.02100372314453,-184.83502197265625,-51.612701416015625,0.26499998569488525,0.09357958595875208,3.625,310.34370772786446
27,26,dend[5]_12,dend[5]_11,dend,-136.5260009765625,-201.3330078125,-68.43289947509766,0.17499999701976776,0.08849921125419005,4.2250000000000005,329.26555163924377
28,27,dend[6]_0,dend[5]_12,dend,-139.552001953125,-212.8170166015625,-74.8490982055664,0.26499998569488525,0.08707858939117666,4.425,343.13156508339165
29,28,dend[7]_0,dend[6]_0,dend,-139.72900390625,-222.0150146484375,-79.63619995117188,0.5600000023841858,0.08689335880319896,4.45,353.3060199656744
30,28,dend[8]_0,dend[6]_0,dend,-133.7050018310547,-227.84400939941406,-79.78849792480469,0.17499999701976776,0.08589907732484707,4.625,360.2611454647926
31,27,dend[9]_0,dend[5]_12,dend,-154.76600646972656,-222.80201721191406,-78.91809844970703,0.6200000047683716,0.08387579033318973,4.9,357.9876508218499
32,31,dend[10]_0,dend[9]_0,dend,-162.718994140625,-243.3690185546875,-88.75260162353516,0.14499999582767487,0.08306491558997432,5.025,383.24230706822163
33,31,dend[11]_0,dend[9]_0,dend,-159.95199584960938,-245.77700805664062,-84.45040130615234,0.11999999731779099,0.08297257076153156,5.050000000000001,384.8854759410385
34,6,dend[12]_0,dend[2]_0,dend,-19.980302810668945,-25.047611236572266,-5.619040012359619,0.6449999809265137,0.5115844361085093,0.8,92.26762723176262
35,34,dend[12]_1,dend[12]_0,dend,-7.580212116241455,-16.353811264038086,-0.9592849016189575,0.7049999833106995,0.5269150244216614,0.8500000000000001,110.63645056844385
36,35,dend[12]_2,dend[12]_1,dend,3.6526381969451904,-3.281801462173462,5.236690044403076,0.4699999988079071,0.5282487085454044,0.875,129.00527390512508
