unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.6438901424407959,-1.282930850982666,-0.19725073873996735,5.872671127319336,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-2.286602020263672,-16.8430118560791,-2.308459758758545,0.4399999976158142,0.8943595653244049,0.025,22.553951830695333
3,2,dend[0]_1,dend[0]_0,dend,-2.967101812362671,-23.651710510253906,-5.399350166320801,0.7350000143051147,0.7308232753148368,0.15000000000000002,38.8153975479237
4,3,dend[0]_2,dend[0]_1,dend,-5.780022144317627,-28.040712356567383,-5.755929946899414,1.2949999570846558,0.6123935127235915,0.275,55.076843265152064
5,4,dend[1]_0,dend[0]_2,dend,-16.91560173034668,-36.15431213378906,-3.0534398555755615,0.5299999713897705,0.5479001728694842,0.4,71.25521225224226
6,5,dend[2]_0,dend[1]_0,dend,-22.277801513671875,-36.24821090698242,-4.512939929962158,1.1749999523162842,0.4861164191692735,0.65,82.64105837716798
7,6,dend[3]_0,dend[2]_0,dend,-26.671701431274414,-33.98261260986328,-9.645139694213867,0.7950000166893005,0.45926363611237786,0.75,91.37708559670779
8,7,dend[4]_0,dend[3]_0,dend,-35.551998138427734,-34.8740119934082,-11.326700210571289,0.4399999976158142,0.434113001123626,0.8250000000000001,106.24582825833593
9,8,dend[4]_1,dend[4]_0,dend,-41.61949920654297,-27.164112091064453,-15.310099601745605,0.6200000047683716,0.39089210825684184,0.9500000000000001,125.18765913541199
10,9,dend[4]_2,dend[4]_1,dend,-50.40019989013672,-30.11701202392578,-14.46310043334961,0.824999988079071,0.36596286891112734,1.05,144.12949001248808
11,10,dend[4]_3,dend[4]_2,dend,-62.92919921875,-36.21541213989258,-19.140300750732422,0.7950000166893005,0.3491872658883087,1.1,163.07132088956413
12,11,dend[4]_4,dend[4]_3,dend,-67.41609954833984,-33.147010803222656,-30.846200942993164,0.7649999856948853,0.3340958677695258,1.1500000000000001,182.01315176664022
13,12,dend[4]_5,dend[4]_4,dend,-78.44860076904297,-31.801712036132812,-49.040199279785156,0.32499998807907104,0.3232631657404661,1.225,200.95498264371628
14,13,dend[4]_6,dend[4]_5,dend,-86.26429748535156,-30.64651107788086,-75.64140319824219,0.4099999964237213,0.3209167605603592,1.225,219.8968135207924
15,7,dend[5]_0,dend[3]_0,dend,-34.167999267578125,-41.33051300048828,-5.672190189361572,0.29499998688697815,0.4289751682530731,0.8250000000000001,106.3715226377083
16,15,dend[5]_1,dend[5]_0,dend,-46.677398681640625,-48.81561279296875,-5.951509952545166,0.23499999940395355,0.34885261708774196,0.9750000000000001,125.56474227352909
17,16,dend[5]_2,dend[5]_1,dend,-55.26679992675781,-60.7147102355957,-7.746359825134277,0.6449999809265137,0.29752784976750585,1.075,144.7579619093499
18,17,dend[5]_3,dend[5]_2,dend,-63.32469940185547,-73.7755126953125,-9.762680053710938,0.4099999964237213,0.2657906685829037,1.175,163.9511815451707
