unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.2213813215494156,0.638519823551178,0.6909179091453552,5.145153045654297,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-0.2728125751018524,-13.77231502532959,9.14382266998291,0.5149999856948853,0.9768076199061024,0.17500000000000002,23.927591743850545
3,2,dend[0]_1,dend[0]_0,dend,-5.127276420593262,-20.233015060424805,23.46485710144043,0.6650000214576721,0.9668780999260883,0.325,41.56344779638253
4,3,dend[0]_2,dend[0]_1,dend,-7.049645900726318,-31.812314987182617,29.989532470703125,0.5149999856948853,0.9749637856973242,0.42500000000000004,59.199303848914525
5,4,dend[1]_0,dend[0]_2,dend,-0.8266251087188721,-44.970516204833984,40.298973083496094,0.2199999988079071,0.9820461243326576,0.5,79.12905993373714
6,5,dend[1]_1,dend[1]_0,dend,2.3582003116607666,-53.647613525390625,59.2147216796875,0.29499998688697815,0.9803399848255452,0.5750000000000001,101.35271605085036
7,6,dend[1]_2,dend[1]_1,dend,6.127676486968994,-61.094913482666016,79.32881164550781,0.7749999761581421,0.979204664143443,0.625,123.57637216796358
8,7,dend[2]_0,dend[1]_2,dend,5.92309045791626,-71.50591278076172,95.01819610595703,0.10999999940395355,0.9832108309950509,0.675,145.2611714760825
9,8,dend[2]_1,dend[2]_0,dend,11.202573776245117,-79.95401763916016,107.57714080810547,0.14499999582767487,0.9860879709345601,0.675,166.40711397520718
10,9,dend[2]_2,dend[2]_1,dend,15.446032524108887,-90.67161560058594,120.8328628540039,0.33000001311302185,0.9787507054111749,0.675,187.55305647433184
11,7,dend[3]_0,dend[1]_2,dend,7.263342380523682,-72.01041412353516,94.02412414550781,0.29499998688697815,0.9745029669053907,0.65,142.93536130326513
12,11,dend[3]_1,dend[3]_0,dend,9.353814125061035,-84.95671844482422,102.1988296508789,0.14499999582767487,0.9648069842582618,0.675,159.42968345675504
13,12,dend[3]_2,dend[3]_1,dend,11.346460342407227,-95.25591278076172,110.27184295654297,0.9200000166893005,0.9566814685407017,0.7000000000000001,175.92400561024493
14,13,dend[3]_3,dend[3]_2,dend,13.541282653808594,-106.11701202392578,120.00879669189453,0.5899999737739563,0.949364125023189,0.7250000000000001,192.41832776373485
15,14,dend[3]_4,dend[3]_3,dend,13.825423240661621,-116.42401885986328,132.39149475097656,0.5149999856948853,0.9400421071948404,0.7250000000000001,208.91264991722474
16,4,dend[4]_0,dend[0]_2,dend,-3.4870851039886475,-45.98521423339844,40.0989875793457,0.47999998927116394,0.9871193530948967,0.47500000000000003,78.50596885481676
17,16,dend[5]_0,dend[4]_0,dend,-0.18605469167232513,-63.15001678466797,51.127681732177734,0.5149999856948853,0.9918187243456006,0.525,98.92779948632845
18,17,dend[5]_1,dend[5]_0,dend,-0.22604821622371674,-78.07301330566406,62.72842788696289,0.3700000047683716,0.9872945655121939,0.525,118.79398679007934
19,18,dend[5]_2,dend[5]_1,dend,1.1090480089187622,-95.23731231689453,66.20496368408203,0.8100000023841858,0.9755721161440539,0.55,138.66017409383022
20,19,dend[6]_0,dend[5]_2,dend,0.915116012096405,-114.48800659179688,71.57637786865234,0.33000001311302185,0.958618652642216,0.5750000000000001,158.51989942743896
21,20,dend[6]_1,dend[6]_0,dend,1.0429728031158447,-132.48001098632812,80.23847961425781,0.4399999976158142,0.9158323738473805,0.625,178.37316279090558
22,21,dend[6]_2,dend[6]_1,dend,1.314910650253296,-146.47601318359375,87.8208999633789,0.699999988079071,0.8761285065805636,0.7000000000000001,198.22642615437218
23,22,dend[6]_3,dend[6]_2,dend,5.276514530181885,-162.46202087402344,97.13652801513672,0.2199999988079071,0.8543191374499249,0.7250000000000001,218.0796895178388
24,23,dend[6]_4,dend[6]_3,dend,7.583145618438721,-177.72801208496094,105.21251678466797,0.5899999737739563,0.8347497335225759,0.75,237.9329528813054
25,24,dend[6]_5,dend[6]_4,dend,8.862507820129395,-193.2880096435547,114.4664306640625,0.2199999988079071,0.8181293268437733,0.775,257.786216244772
26,25,dend[6]_6,dend[6]_5,dend,7.1628594398498535,-205.94801330566406,125.26612091064453,0.14499999582767487,0.7966902464844102,0.8,277.6394796082387
27,19,dend[7]_0,dend[5]_2,dend,1.4280593395233154,-106.10401153564453,74.1621322631836,0.14499999582767487,0.9738888181736305,0.55,157.19689725615854
28,27,dend[7]_1,dend[7]_0,dend,1.3346011638641357,-109.85501861572266,78.66480255126953,0.625,0.9634744518898065,0.5750000000000001,174.40415627706432
29,28,dend[7]_2,dend[7]_1,dend,1.4496891498565674,-113.85701751708984,85.08695983886719,1.1799999475479126,0.9358230240922785,0.625,191.61141529797007
30,29,dend[7]_3,dend[7]_2,dend,2.317218542098999,-118.90202331542969,91.50143432617188,0.14499999582767487,0.9229897700461918,0.65,208.81867431887582
31,30,dend[7]_4,dend[7]_3,dend,6.439458847045898,-142.08401489257812,121.17926788330078,0.14499999582767487,0.9115332145567887,0.65,226.0259333397816
32,16,dend[8]_0,dend[4]_0,dend,-3.7489185333251953,-64.93831634521484,44.83999252319336,0.625,0.9978775534837591,0.5,99.07538910373033
33,32,dend[9]_0,dend[8]_0,dend,-0.3919100761413574,-81.69501495361328,45.47734069824219,0.25999999046325684,1.0062381419163704,0.525,120.52285669872366
34,33,dend[9]_1,dend[9]_0,dend,0.6724250316619873,-93.72681427001953,47.851192474365234,0.3700000047683716,1.0027579246541938,0.525,143.2564253501556
35,34,dend[9]_2,dend[9]_1,dend,2.2198610305786133,-107.79701232910156,51.48479461669922,0.1850000023841858,0.9887964348331885,0.55,165.9899940015876
36,35,dend[9]_3,dend[9]_2,dend,3.7826881408691406,-121.97801208496094,55.217533111572266,0.3700000047683716,0.9578691952082794,0.6000000000000001,188.72356265301957
37,36,dend[9]_4,dend[9]_3,dend,7.029744625091553,-135.3920135498047,58.03084182739258,0.3700000047683716,0.9386938897460182,0.625,211.45713130445156
38,32,dend[10]_0,dend[8]_0,dend,-2.0164761543273926,-82.96391296386719,47.260467529296875,0.2199999988079071,0.9984334133429277,0.525,117.31394799484003
39,38,dend[10]_1,dend[10]_0,dend,-2.5405797958374023,-97.01801300048828,52.691593170166016,0.4399999976158142,0.9902914338982689,0.525,133.62969923850477
40,39,dend[10]_2,dend[10]_1,dend,-2.809678554534912,-110.9630126953125,58.469276428222656,0.33000001311302185,0.9763072653121346,0.55,149.94545048216955
41,40,dend[11]_0,dend[10]_2,dend,-0.6814113855361938,-128.1400146484375,66.03050994873047,0.3700000047683716,0.9484645839464292,0.5750000000000001,168.49226209649123
42,41,dend[11]_1,dend[11]_0,dend,1.0215915441513062,-142.8620147705078,73.74102783203125,0.2199999988079071,0.9029162276738484,0.65,189.27013408146988
43,42,dend[11]_2,dend[11]_1,dend,3.322838544845581,-159.5120086669922,71.86947631835938,0.14499999582767487,0.8854838263281198,0.7250000000000001,210.04800606644855
44,43,dend[11]_3,dend[11]_2,dend,5.720146179199219,-176.9730224609375,69.58411407470703,0.7350000143051147,0.8730319381973104,0.7250000000000001,230.82587805142717
45,44,dend[11]_4,dend[11]_3,dend,7.819351673126221,-194.15701293945312,71.34793090820312,0.2199999988079071,0.8538542647205535,0.75,251.60375003640584
46,40,dend[12]_0,dend[10]_2,dend,-2.0642433166503906,-126.83202362060547,66.29190063476562,0.1850000023841858,0.9713076676612054,0.55,169.70647229972835
47,1,dend[13]_0,soma[0]_0,dend,1.7558292150497437,-17.534515380859375,3.714616298675537,0.8849999904632568,0.9927682340720856,0.2,26.855883263428066
48,47,dend[14]_0,dend[13]_0,dend,4.733382225036621,-37.678714752197266,-1.222306728363037,0.47999998927116394,1.0077264566890372,0.275,50.69176315954843
49,48,dend[15]_0,dend[14]_0,dend,10.937189102172852,-56.25331497192383,-3.5963542461395264,0.47999998927116394,1.021348192399238,0.275,72.75477511046462
50,49,dend[15]_1,dend[15]_0,dend,18.089916229248047,-72.73551177978516,-10.932353973388672,0.33000001311302185,1.0433350237965684,0.225,92.70147831174329
51,50,dend[15]_2,dend[15]_1,dend,22.788190841674805,-89.24651336669922,-17.01835823059082,0.25999999046325684,1.0539392651936481,0.225,112.64818151302195
52,48,dend[16]_0,dend[14]_0,dend,9.394765853881836,-59.58451461791992,1.8268376588821411,0.33000001311302185,0.9919849049888871,0.42500000000000004,72.42128756254499
53,52,dend[16]_1,dend[16]_0,dend,11.989068984985352,-77.12501525878906,1.3941680192947388,0.5149999856948853,0.9959167452215286,0.525,91.7010156679844
54,53,dend[16]_2,dend[16]_1,dend,16.751314163208008,-96.52071380615234,2.0137691497802734,0.29499998688697815,1.003362510911749,0.55,110.98074377342381
55,54,dend[17]_0,dend[16]_2,dend,16.972888946533203,-111.11300659179688,1.5985218286514282,0.3700000047683716,1.000547813625342,0.5750000000000001,129.79254154862406
56,55,dend[17]_1,dend[17]_0,dend,17.579177856445312,-126.74801635742188,-0.9474525451660156,0.3700000047683716,0.9901132902154692,0.5750000000000001,148.13640899358518
