unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-1.2776460647583008,-0.5567982792854309,0.08606157451868057,9.46135139465332,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-7.738723278045654,-18.081087112426758,2.4672892093658447,1.0,0.9519798695807559,0.0,32.498640788886135
3,2,dend[1]_0,dend[0]_0,dend,-8.971953392028809,-31.976886749267578,1.0601593255996704,0.17499999701976776,0.8137543725986304,0.07500000000000001,62.422631647884764
4,3,dend[1]_1,dend[1]_0,dend,-1.672633409500122,-47.145484924316406,-0.47153571248054504,0.20499999821186066,0.1433209582702473,0.6000000000000001,83.89395494594689
5,4,dend[1]_2,dend[1]_1,dend,-1.500753402709961,-68.4557876586914,-0.3175737261772156,0.14499999582767487,0.10033324501563136,1.0250000000000001,105.36527824400903
6,5,dend[1]_3,dend[1]_2,dend,-3.4561734199523926,-89.48438262939453,-0.9466327428817749,0.17499999701976776,0.07252646457926377,1.4000000000000001,126.83660154207115
7,6,dend[1]_4,dend[1]_3,dend,-5.557523250579834,-112.82498168945312,-2.716090679168701,0.14499999582767487,0.048367372854441086,2.0,148.3079248401333
8,7,dend[1]_5,dend[1]_4,dend,-7.691763401031494,-132.27398681640625,-3.3135106563568115,0.11999999731779099,0.03627409761401903,2.6750000000000003,169.77924813819544
9,8,dend[1]_6,dend[1]_5,dend,-9.109543800354004,-151.91798400878906,-5.409430980682373,0.824999988079071,0.02914641171074485,3.25,191.2505714362576
10,9,dend[1]_7,dend[1]_6,dend,-5.596103191375732,-171.72398376464844,-6.526101112365723,0.17499999701976776,0.023455629002827744,3.6750000000000003,212.7218947343197
11,10,dend[1]_8,dend[1]_7,dend,-2.2331032752990723,-193.15599060058594,-12.089900970458984,0.11999999731779099,0.013378787991388278,4.8500000000000005,234.19321803238185
12,11,dend[1]_9,dend[1]_8,dend,1.792676568031311,-212.67398071289062,-15.249300956726074,0.5600000023841858,0.00923933233861259,6.3500000000000005,255.664541330444
13,12,dend[1]_10,dend[1]_9,dend,5.892936706542969,-234.5819854736328,-20.78179931640625,0.32499998807907104,0.008021495275704563,7.300000000000001,277.1358646285061
14,13,dend[2]_0,dend[1]_10,dend,9.084126472473145,-247.177978515625,-28.899200439453125,0.23499999940395355,0.0078008519247096545,7.5,291.180009261461
15,14,dend[3]_0,dend[2]_0,dend,12.428396224975586,-260.614990234375,-34.242000579833984,0.09000000357627869,0.005455388323373947,9.600000000000001,306.3027691442332
16,15,dend[3]_1,dend[3]_0,dend,23.63489532470703,-277.875,-42.48749923706055,0.11999999731779099,0.004659942054418152,11.100000000000001,329.93132294193
17,16,dend[3]_2,dend[3]_1,dend,39.709896087646484,-295.875,-50.245399475097656,0.14499999582767487,0.004298598080279466,12.075000000000001,353.55987673962676
18,14,dend[4]_0,dend[2]_0,dend,13.67159652709961,-255.61997985839844,-36.83250045776367,0.6200000047683716,0.007645142953134011,7.7,302.47603352812774
19,18,dend[4]_1,dend[4]_0,dend,24.96949577331543,-264.6470031738281,-40.42890167236328,0.09000000357627869,0.007426945582191375,8.075000000000001,318.45111609361356
20,19,dend[4]_2,dend[4]_1,dend,28.30599594116211,-274.2909851074219,-48.717498779296875,0.11999999731779099,0.00732381305347889,8.275,334.42619865909944
21,13,dend[5]_0,dend[1]_10,dend,5.174616813659668,-244.5769805908203,-28.121299743652344,0.029999999329447746,0.007807565164653841,7.550000000000001,289.7960259343389
22,2,dend[6]_0,dend[0]_0,dend,-14.483304023742676,-24.476886749267578,3.61173939704895,0.7950000166893005,0.8635163827606331,0.025,55.32715156980058
23,22,dend[7]_0,dend[6]_0,dend,-22.523303985595703,-30.067886352539062,2.4710893630981445,0.32499998807907104,0.7933415628036827,0.07500000000000001,65.3454500647345
24,23,dend[8]_0,dend[7]_0,dend,-26.948503494262695,-40.94508361816406,-0.9801297187805176,0.35499998927116394,0.6452366388558668,0.2,81.30756604844825
25,24,dend[8]_1,dend[8]_0,dend,-33.83360290527344,-58.920284271240234,0.28601527214050293,0.5600000023841858,0.44018716818168385,0.47500000000000003,100.47556416790172
26,25,dend[8]_2,dend[8]_1,dend,-40.79380416870117,-74.10078430175781,1.3201992511749268,0.6449999809265137,0.2988121285243978,0.7000000000000001,119.64356228735522
27,26,dend[8]_3,dend[8]_2,dend,-48.45730209350586,-90.46768188476562,1.712259292602539,0.5,0.208616658272694,0.9500000000000001,138.8115604068087
28,27,dend[8]_4,dend[8]_3,dend,-55.75930404663086,-110.58598327636719,1.7835092544555664,0.7049999833106995,0.14606284966317779,1.3,157.97955852626217
29,28,dend[8]_5,dend[8]_4,dend,-62.26590347290039,-130.11997985839844,-0.5745657086372375,0.17499999701976776,0.11306063077548957,1.5750000000000002,177.14755664571564
30,29,dend[8]_6,dend[8]_5,dend,-69.78690338134766,-146.8099822998047,-2.2946906089782715,0.14499999582767487,0.06744408763374463,2.1750000000000003,196.31555476516914
31,30,dend[8]_7,dend[8]_6,dend,-78.2406997680664,-162.781982421875,-5.855391025543213,0.5299999713897705,0.05169523041600829,2.7,215.4835528846226
32,31,dend[8]_8,dend[8]_7,dend,-86.93219757080078,-179.7279815673828,-8.920400619506836,0.17499999701976776,0.042850582658013066,3.0250000000000004,234.65155100407608
33,32,dend[9]_0,dend[8]_8,dend,-98.15170288085938,-196.36798095703125,-11.862300872802734,0.4399999976158142,0.01873540370814293,4.4750000000000005,255.80943905025006
34,33,dend[9]_1,dend[9]_0,dend,-107.1240005493164,-216.39898681640625,-20.215599060058594,0.09000000357627869,0.01508492436525563,5.050000000000001,278.9572170231445
