unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.6218692660331726,-0.6322331428527832,0.0,6.9695940017700195,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-5.120987892150879,-13.841399192810059,-0.23297399282455444,0.6200000047683716,0.9912711760004952,0.0,19.3651029127068
3,2,dend[0]_1,dend[0]_0,dend,-6.1642680168151855,-28.588298797607422,-1.1897200345993042,0.4699999988079071,0.9626917775251929,0.025,38.91405925490235
4,3,dend[0]_2,dend[0]_1,dend,-5.124768257141113,-41.15340042114258,-3.819380044937134,0.4099999964237213,0.8965971129938165,0.05,58.4630155970979
5,4,dend[1]_0,dend[0]_2,dend,-5.407748222351074,-56.8484992980957,-7.475790023803711,0.29499998688697815,0.8285163127659293,0.07500000000000001,78.35939476053619
6,5,dend[1]_1,dend[1]_0,dend,-4.836848258972168,-73.06310272216797,-12.059800148010254,0.35499998927116394,0.7087133195810859,0.125,98.60319674521725
7,6,dend[1]_2,dend[1]_1,dend,-3.495518445968628,-86.625,-17.775299072265625,0.26499998569488525,0.6087284310740311,0.17500000000000002,118.84699872989829
8,7,dend[1]_3,dend[1]_2,dend,-2.5088083744049072,-102.78299713134766,-24.385099411010742,0.29499998688697815,0.4814652520834557,0.225,139.09080071457933
9,8,dend[1]_4,dend[1]_3,dend,-1.2709681987762451,-117.96099853515625,-29.725200653076172,0.23499999940395355,0.3863995502902527,0.30000000000000004,159.3346026992604
10,9,dend[1]_5,dend[1]_4,dend,0.6934347152709961,-133.51199340820312,-33.79679870605469,0.26499998569488525,0.32741289940666757,0.375,179.57840468394144
11,10,dend[1]_6,dend[1]_5,dend,1.0404717922210693,-147.69500732421875,-39.72719955444336,0.5,0.2905306965604294,0.45,199.8222066686225
12,11,dend[1]_7,dend[1]_6,dend,1.5855917930603027,-166.4040069580078,-47.41320037841797,0.4399999976158142,0.2614398818268015,0.5,220.06600865330356
13,12,dend[1]_8,dend[1]_7,dend,5.29652214050293,-190.16900634765625,-59.38119888305664,0.35499998927116394,0.2395156766969713,0.55,240.30981063798458
