unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.45382481813430786,0.12171278148889542,0.4561495780944824,6.354846477508545,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,8.079432487487793,-13.309993743896484,-3.072352170944214,1.440000057220459,0.9618705085236028,0.0,20.044370512828834
3,2,dend[0]_1,dend[0]_0,dend,10.3905029296875,-19.131193161010742,-7.1699323654174805,1.440000057220459,0.9447800031610958,0.0,37.452659828548995
4,3,dend[0]_2,dend[0]_1,dend,14.795903205871582,-30.163593292236328,-11.666401863098145,1.1200000047683716,0.8782741099761947,0.025,54.860949144269156
5,4,dend[1]_0,dend[0]_2,dend,10.99940299987793,-40.676292419433594,-19.424001693725586,0.29499998688697815,0.8156594288254355,0.05,72.69166696153576
6,5,dend[1]_1,dend[1]_0,dend,3.107322931289673,-50.860992431640625,-29.37240219116211,0.8550000190734863,0.7298544010313539,0.1,90.94481328034882
7,6,dend[1]_2,dend[1]_1,dend,3.224292755126953,-61.02639389038086,-38.560203552246094,0.675000011920929,0.6593566950571472,0.125,109.19795959916189
8,7,dend[1]_3,dend[1]_2,dend,6.727792739868164,-78.77619171142578,-38.09950256347656,0.7350000143051147,0.5997115342395309,0.17500000000000002,127.45110591797493
9,8,dend[1]_4,dend[1]_3,dend,12.510103225708008,-96.3731918334961,-43.15090560913086,0.4699999988079071,0.5421315145556787,0.225,145.704252236788
10,9,dend[2]_0,dend[1]_4,dend,10.338003158569336,-105.03600311279297,-41.31730270385742,0.26499998569488525,0.5168231409460272,0.25,158.22723556468947
11,9,dend[3]_0,dend[1]_4,dend,12.81660270690918,-110.24999237060547,-44.83050537109375,0.7049999833106995,0.49969100063693644,0.275,162.55451101554792
12,11,dend[4]_0,dend[3]_0,dend,11.247702598571777,-115.88400268554688,-48.618804931640625,0.35499998927116394,0.48715866862699025,0.30000000000000004,171.07424757335946
13,11,dend[5]_0,dend[3]_0,dend,8.289402961730957,-121.29900360107422,-56.441104888916016,0.5899999737739563,0.45334133896811735,0.325,183.05902433021564
14,13,dend[5]_1,dend[5]_0,dend,-9.361837387084961,-133.39599609375,-67.83209991455078,0.7049999833106995,0.4165413074355854,0.375,208.6206797208443
15,14,dend[5]_2,dend[5]_1,dend,-22.57889747619629,-152.4459991455078,-68.64179992675781,0.29499998688697815,0.37253451242486224,0.45,234.18233511147298
16,15,dend[6]_0,dend[5]_2,dend,-28.06039810180664,-172.9720001220703,-62.37730407714844,0.6200000047683716,0.33832230107513905,0.55,255.43813233921242
17,16,dend[6]_1,dend[6]_0,dend,-24.724897384643555,-185.86000061035156,-55.85310363769531,0.17499999701976776,0.3261454997904762,0.6000000000000001,272.38807140406266
18,17,dend[6]_2,dend[6]_1,dend,-19.39139747619629,-197.92100524902344,-50.71770477294922,0.09000000357627869,0.3139358447525473,0.65,289.33801046891296
19,18,dend[7]_0,dend[6]_2,dend,-10.886096954345703,-208.55799865722656,-57.89360427856445,0.26499998569488525,0.3062670707389627,0.7000000000000001,309.60609131268313
20,18,dend[8]_0,dend[6]_2,dend,-19.732398986816406,-202.06300354003906,-59.87250518798828,0.17499999701976776,0.3092903523779629,0.675,301.4283417470269
21,15,dend[9]_0,dend[5]_2,dend,-31.977697372436523,-160.7469940185547,-58.760902404785156,0.38499999046325684,0.335715671458973,0.55,253.7186221575061
22,21,dend[9]_1,dend[9]_0,dend,-44.23689651489258,-164.55499267578125,-52.845603942871094,0.23499999940395355,0.32293723113127376,0.6000000000000001,267.22954085894366
23,22,dend[9]_2,dend[9]_1,dend,-54.53319549560547,-168.73500061035156,-49.332603454589844,0.29499998688697815,0.3113600764255989,0.65,280.7404595603812
24,23,dend[10]_0,dend[9]_2,dend,-60.22859573364258,-173.42599487304688,-46.82610321044922,0.11999999731779099,0.30610112733666206,0.675,288.4346683383552
25,23,dend[11]_0,dend[9]_2,dend,-68.431396484375,-173.9199981689453,-48.88860321044922,0.23499999940395355,0.3012238588813116,0.7000000000000001,295.45016447395443
26,25,dend[11]_1,dend[11]_0,dend,-81.11509704589844,-180.0749969482422,-50.451805114746094,0.17499999701976776,0.2914718423390744,0.775,311.35865559966334
27,26,dend[11]_2,dend[11]_1,dend,-96.69819641113281,-182.9980010986328,-53.56500244140625,0.32499998807907104,0.28813618077116543,0.8,327.2671467253723
28,4,dend[12]_0,dend[0]_2,dend,21.274301528930664,-43.86879348754883,-11.41720199584961,0.8849999904632568,0.7738314926356581,0.07500000000000001,74.3453054495093
29,28,dend[13]_0,dend[12]_0,dend,26.714702606201172,-65.45489501953125,-13.867101669311523,0.675000011920929,0.6817163335876564,0.1,97.34343360567328
30,29,dend[14]_0,dend[13]_0,dend,24.91680145263672,-74.19489288330078,-19.799102783203125,0.7649999856948853,0.6157928718334604,0.15000000000000002,118.80044083255541
31,29,dend[15]_0,dend[13]_0,dend,27.037302017211914,-77.5950927734375,-19.863401412963867,0.7350000143051147,0.5918292064020148,0.15000000000000002,113.46699061207497
32,31,dend[16]_0,dend[15]_0,dend,35.53560256958008,-81.20169067382812,-31.74930191040039,0.7350000143051147,0.4886676199936574,0.25,128.9581090762062
33,32,dend[17]_0,dend[16]_0,dend,48.831504821777344,-82.42699432373047,-43.41990280151367,0.5,0.42941343178939806,0.325,151.62065454021132
34,33,dend[17]_1,dend[17]_0,dend,67.07540130615234,-83.08549499511719,-46.296302795410156,0.6200000047683716,0.38742977866405626,0.375,173.7747895351945
35,34,dend[17]_2,dend[17]_1,dend,88.04029846191406,-82.6493911743164,-45.982704162597656,0.5,0.33343954504390216,0.42500000000000004,195.92892453017768
36,35,dend[17]_3,dend[17]_2,dend,110.83899688720703,-86.02259063720703,-42.029903411865234,0.5,0.29154031769717764,0.5,218.08305952516088
37,36,dend[17]_4,dend[17]_3,dend,134.68299865722656,-87.00889587402344,-40.743003845214844,0.5299999713897705,0.2519960497130533,0.625,240.23719452014407
38,37,dend[18]_0,dend[17]_4,dend,144.25799560546875,-90.60198974609375,-35.81500244140625,0.32499998807907104,0.22883570726253308,0.75,256.02329497059554
39,38,dend[19]_0,dend[18]_0,dend,146.51499938964844,-94.37659454345703,-32.71430206298828,0.20499999821186066,0.2235962099304214,0.775,263.0533337095775
40,38,dend[20]_0,dend[18]_0,dend,153.36500549316406,-91.32769012451172,-35.49590301513672,0.35499998927116394,0.2114775584144214,0.8500000000000001,269.2752087076986
41,40,dend[21]_0,dend[20]_0,dend,166.23500061035156,-95.5409927368164,-31.76350212097168,0.23499999940395355,0.2019985339980359,0.9500000000000001,283.77981911440264
42,40,dend[22]_0,dend[20]_0,dend,172.8699951171875,-88.66669464111328,-37.373504638671875,0.29499998688697815,0.1865593739950603,1.225,289.03902373497743
43,42,dend[23]_0,dend[22]_0,dend,186.74200439453125,-91.47789001464844,-36.851402282714844,0.20499999821186066,0.17601185628012775,1.475,304.0298197624732
44,43,dend[24]_0,dend[23]_0,dend,188.197998046875,-86.7848892211914,-40.67120361328125,0.26499998569488525,0.17305058041019372,1.55,310.6692595995003
45,43,dend[25]_0,dend[23]_0,dend,189.39300537109375,-88.77009582519531,-39.73860549926758,0.32499998807907104,0.1728083136159634,1.55,308.70694065934487
46,45,dend[26]_0,dend[25]_0,dend,189.8820037841797,-86.48429107666016,-41.16850280761719,0.11999999731779099,0.17259589544378723,1.55,311.57515205256976
47,45,dend[27]_0,dend[25]_0,dend,199.08399963378906,-83.80109405517578,-43.66730499267578,0.26499998569488525,0.16974500590649996,1.6500000000000001,320.75260285856217
48,47,dend[28]_0,dend[27]_0,dend,203.6840057373047,-77.86639404296875,-50.3463020324707,0.38499999046325684,0.1678866015914294,1.725,332.2689700194497
49,48,dend[29]_0,dend[28]_0,dend,202.4080047607422,-76.83859252929688,-50.77550506591797,0.20499999821186066,0.16786495407447272,1.725,334.1738881764593
50,48,dend[30]_0,dend[28]_0,dend,205.88800048828125,-76.81959533691406,-51.84690475463867,0.4099999964237213,0.1675458954927149,1.75,335.37519107968797
51,50,dend[31]_0,dend[30]_0,dend,206.0959930419922,-74.57598876953125,-53.94120407104492,0.29499998688697815,0.16746875639498743,1.75,339.06436965281017
52,50,dend[32]_0,dend[30]_0,dend,212.18299865722656,-68.52919006347656,-61.550804138183594,0.20499999821186066,0.1668898313531229,1.7750000000000001,349.94602326692666
53,52,dend[33]_0,dend[32]_0,dend,221.5659942626953,-69.85379028320312,-63.19210433959961,0.20499999821186066,0.16651050850087235,1.8,367.0316509629625
54,52,dend[34]_0,dend[32]_0,dend,227.99600219726562,-61.28219223022461,-71.42559814453125,0.26499998569488525,0.16644874170183194,1.8,370.31812528228863
55,47,dend[35]_0,dend[27]_0,dend,214.88299560546875,-83.26988983154297,-43.08460235595703,0.29499998688697815,0.16582347161692826,1.8250000000000002,344.8395472137029
56,55,dend[36]_0,dend[35]_0,dend,221.0070037841797,-90.09648895263672,-33.652503967285156,0.35499998927116394,0.16385638786821072,1.925,364.3093326712104
57,56,dend[37]_0,dend[36]_0,dend,234.11300659179688,-93.63629150390625,-25.177101135253906,0.4099999964237213,0.16302694547788704,1.975,381.61556416081277
58,57,dend[38]_0,dend[37]_0,dend,248.10800170898438,-94.68019104003906,-16.099401473999023,0.4099999964237213,0.16275308125445875,1.975,399.06441523607907
59,57,dend[39]_0,dend[37]_0,dend,240.21499633789062,-96.94329071044922,-17.051002502441406,0.20499999821186066,0.16284858391889204,1.975,395.59490479164566
60,56,dend[40]_0,dend[36]_0,dend,224.66400146484375,-91.46629333496094,-29.668701171875,0.26499998569488525,0.16365349984843025,1.925,373.24588223420125
61,55,dend[41]_0,dend[35]_0,dend,222.66600036621094,-90.11479187011719,-35.113502502441406,0.11999999731779099,0.16419148459455962,1.9000000000000001,363.14064729910734
62,42,dend[42]_0,dend[22]_0,dend,182.2689971923828,-96.09368896484375,-32.61860275268555,0.20499999821186066,0.17776131228366202,1.425,307.375298774595
63,62,dend[43]_0,dend[42]_0,dend,183.2100067138672,-107.28500366210938,-21.396202087402344,0.17499999701976776,0.1761456145755382,1.5,327.6056993851484
64,63,dend[44]_0,dend[43]_0,dend,185.06399536132812,-117.13098907470703,-9.843941688537598,0.09000000357627869,0.17589044354564226,1.5250000000000001,343.2745358886477
65,63,dend[45]_0,dend[43]_0,dend,189.2550048828125,-118.8389892578125,-8.152031898498535,0.38499999046325684,0.17585789403412927,1.5250000000000001,346.49101027638415
66,62,dend[46]_0,dend[42]_0,dend,179.5800018310547,-100.07099151611328,-29.72770118713379,0.23499999940395355,0.17713000328570608,1.4500000000000002,316.04181109409757
67,37,dend[47]_0,dend[17]_4,dend,140.44700622558594,-95.89159393310547,-35.00800323486328,0.17499999701976776,0.22415873768614908,0.8250000000000001,258.65382130760116
