unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,120,dend[72]_0,dend[68]_2,dend,-8.29065990447998,325.6440124511719,-3.8699798583984375,0.23499999940395355,9.409257017813937,8.9,371.7599111613061
2,112,dend[67]_0,dend[65]_2,dend,-37.10609817504883,279.8479919433594,-12.2524995803833,0.32499998807907104,6.708412993138652,7.4,308.4292377568065
3,130,dend[70]_0,dend[69]_2,dend,-22.048500061035156,361.3760070800781,6.370830059051514,0.26499998569488525,11.581327493210551,9.9,411.9897011551126
4,105,dend[62]_0,dend[54]_2,dend,-42.40610122680664,273.8269958496094,-29.327899932861328,0.23499999940395355,7.8705998629792715,8.3,304.4506530513001
5,2,dend[68]_0,dend[67]_0,dend,-27.60260009765625,287.3659973144531,-9.806670188903809,0.35499998927116394,7.194573819779669,7.800000000000001,321.75725981585856
6,2,dend[73]_0,dend[67]_0,dend,-26.357999801635742,273.73699951171875,-9.173100471496582,0.23499999940395355,8.10508304009806,8.4,323.92851484379906
7,105,dend[55]_0,dend[54]_2,dend,-41.42660140991211,273.8500061035156,-24.86009979248047,0.4099999964237213,7.242861583762775,7.9,300.89337140516614
8,130,dend[71]_0,dend[69]_2,dend,-15.573699951171875,373.83099365234375,9.082779884338379,0.17499999701976776,13.695802630124055,10.600000000000001,420.5183994058625
9,18,dend[59]_0,dend[57]_0,dend,-41.69879913330078,287.1759948730469,-27.622400283813477,0.38499999046325684,7.840746221683087,8.3,318.288330701361
10,190,dend[45]_0,dend[44]_4,dend,79.94930267333984,388.3210144042969,-48.727901458740234,0.26499998569488525,12.66590622031321,8.5,459.24521070876074
11,272,dend[53]_0,soma[0]_0,dend,-3.6454694271087646,29.119888305664062,0.9818862080574036,0.6449999809265137,1.0197219727495632,0.1,26.14093388947629
12,39,dend[51]_0,dend[49]_0,dend,-66.38619995117188,366.9519958496094,-72.15129852294922,0.17499999701976776,10.75628088635039,8.3,440.9383672946859
13,9,dend[61]_0,dend[59]_0,dend,-47.32469940185547,300.322998046875,-29.211999893188477,0.32499998807907104,8.736914648690814,8.700000000000001,336.56698160077127
14,245,dend[54]_0,dend[53]_10,dend,-37.06380081176758,232.37698364257812,-17.983999252319336,0.29499998688697815,4.992858952535372,6.4,256.84655942602654
