unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.6681117415428162,-0.8324105739593506,0.1491815447807312,7.589256763458252,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,1.2771503925323486,-22.288711547851562,-1.005599856376648,0.7350000143051147,0.9713601095871471,0.025,24.931633373661896
3,2,dend[0]_1,dend[0]_0,dend,3.548170566558838,-26.203411102294922,-4.223330020904541,0.824999988079071,0.9434837901644876,0.025,43.72589786802749
4,3,dend[0]_2,dend[0]_1,dend,6.787060260772705,-35.80221176147461,-8.214799880981445,0.7049999833106995,0.8856824462251444,0.07500000000000001,62.52016236239308
5,4,dend[1]_0,dend[0]_2,dend,3.8463504314422607,-43.980812072753906,-12.244999885559082,0.6200000047683716,0.8080640808213571,0.1,81.84062301505845
6,5,dend[1]_1,dend[1]_0,dend,1.146220326423645,-62.747013092041016,-14.450599670410156,0.38499999046325684,0.7130338144593104,0.17500000000000002,101.68727982602367
7,6,dend[1]_2,dend[1]_1,dend,1.3090304136276245,-78.47721862792969,-16.076499938964844,0.5,0.6376611987088298,0.25,121.53393663698887
8,7,dend[1]_3,dend[1]_2,dend,-0.35451456904411316,-97.43011474609375,-17.687700271606445,0.4099999964237213,0.5697496901495422,0.325,141.38059344795406
9,8,dend[1]_4,dend[1]_3,dend,0.5916294455528259,-117.75401306152344,-19.000999450683594,0.5899999737739563,0.5005814511509867,0.42500000000000004,161.22725025891927
10,9,dend[1]_5,dend[1]_4,dend,-3.3703794479370117,-138.40000915527344,-18.882200241088867,0.38499999046325684,0.4453600116542071,0.525,181.07390706988448
11,10,dend[1]_6,dend[1]_5,dend,-8.796609878540039,-157.6630096435547,-18.23940086364746,0.38499999046325684,0.3916951288740429,0.625,200.9205638808497
12,11,dend[1]_7,dend[1]_6,dend,-9.280529975891113,-177.97702026367188,-18.777099609375,0.4699999988079071,0.35764673399999425,0.7250000000000001,220.76722069181486
13,12,dend[1]_8,dend[1]_7,dend,-12.59160041809082,-198.89102172851562,-16.671300888061523,0.23499999940395355,0.32923031787302387,0.8250000000000001,240.61387750278007
14,13,dend[1]_9,dend[1]_8,dend,-19.93779945373535,-213.65000915527344,-17.11240005493164,0.23499999940395355,0.3054781085582788,0.9500000000000001,260.46053431374526
15,14,dend[1]_10,dend[1]_9,dend,-27.72570037841797,-232.0700225830078,-20.469100952148438,0.4399999976158142,0.28850219211240163,1.075,280.30719112471047
16,15,dend[1]_11,dend[1]_10,dend,-34.200199127197266,-244.7440185546875,-24.584699630737305,0.4099999964237213,0.27480134280911056,1.2000000000000002,300.1538479356757
17,16,dend[1]_12,dend[1]_11,dend,-36.50519943237305,-263.60101318359375,-26.974199295043945,0.32499998807907104,0.2613932419927611,1.4000000000000001,320.0005047466409
18,17,dend[1]_13,dend[1]_12,dend,-40.497100830078125,-283.9179992675781,-31.947900772094727,0.35499998927116394,0.25515370173009283,1.5250000000000001,339.84716155760606
19,18,dend[1]_14,dend[1]_13,dend,-44.00640106201172,-299.6919860839844,-32.274200439453125,0.5,0.25191412512866324,1.6,359.6938183685712
20,19,dend[1]_15,dend[1]_14,dend,-45.477298736572266,-316.9469909667969,-37.5807991027832,0.23499999940395355,0.24986135027446987,1.6500000000000001,379.54047517953643
21,20,dend[1]_16,dend[1]_15,dend,-51.85260009765625,-324.97900390625,-42.2047004699707,0.29499998688697815,0.24909842892159015,1.675,399.38713199050164
22,4,dend[2]_0,dend[0]_2,dend,10.540800094604492,-45.75440979003906,-12.914299964904785,0.4099999964237213,0.7942304710569554,0.1,81.25350624804847
23,22,dend[2]_1,dend[2]_0,dend,14.380200386047363,-58.48891067504883,-16.038700103759766,0.6200000047683716,0.7078660891701878,0.15000000000000002,99.92592952499369
24,23,dend[2]_2,dend[2]_1,dend,21.629100799560547,-79.3817138671875,-14.831500053405762,0.5899999737739563,0.6292560914050918,0.2,118.59835280193892
25,24,dend[3]_0,dend[2]_2,dend,23.71310043334961,-93.13851165771484,-14.418899536132812,0.38499999046325684,0.5283431822724032,0.30000000000000004,135.84516610618422
26,25,dend[3]_1,dend[3]_0,dend,27.211000442504883,-106.87901306152344,-15.303600311279297,0.38499999046325684,0.44147542869086553,0.42500000000000004,151.66636943772963
27,26,dend[3]_2,dend[3]_1,dend,28.22130012512207,-121.88802337646484,-16.853599548339844,0.4099999964237213,0.38367501837447276,0.55,167.48757276927503
28,27,dend[4]_0,dend[3]_2,dend,30.662399291992188,-137.84600830078125,-16.632299423217773,0.38499999046325684,0.347774574699664,0.7000000000000001,183.66084938177627
29,28,dend[5]_0,dend[4]_0,dend,22.89229965209961,-151.65000915527344,-21.78019905090332,0.32499998807907104,0.33187775843279665,0.8500000000000001,205.24242105084372
30,29,dend[5]_1,dend[5]_0,dend,16.456899642944336,-174.791015625,-26.678499221801758,0.20499999821186066,0.3246183286241964,0.9500000000000001,231.88021449552141
31,30,dend[5]_2,dend[5]_1,dend,-6.846139430999756,-177.47601318359375,-30.962200164794922,0.35499998927116394,0.3212728152141113,0.9750000000000001,258.5180079401991
32,28,dend[6]_0,dend[4]_0,dend,29.731300354003906,-155.84201049804688,-18.309499740600586,0.23499999940395355,0.3247487394814472,0.8500000000000001,202.05621976853743
33,32,dend[6]_1,dend[6]_0,dend,37.74399948120117,-176.23301696777344,-23.225200653076172,0.38499999046325684,0.29834602708819846,1.05,222.32161064860256
34,33,dend[6]_2,dend[6]_1,dend,44.225799560546875,-192.38002014160156,-28.745399475097656,0.29499998688697815,0.28516688719045247,1.175,242.58700152866768
35,34,dend[6]_3,dend[6]_2,dend,55.15230178833008,-211.8970184326172,-35.7963981628418,0.4399999976158142,0.2758156097665669,1.3250000000000002,262.8523924087328
36,35,dend[6]_4,dend[6]_3,dend,60.0630989074707,-221.59201049804688,-37.60369873046875,0.26499998569488525,0.272302580197553,1.4000000000000001,283.11778328879797
37,36,dend[7]_0,dend[6]_4,dend,64.7886962890625,-233.2860107421875,-44.055198669433594,0.14499999582767487,0.27072090065383475,1.425,302.3852752758025
38,36,dend[8]_0,dend[6]_4,dend,59.852298736572266,-230.9230194091797,-41.893001556396484,0.4699999988079071,0.2708614799324451,1.425,297.7396669839193
39,38,dend[9]_0,dend[8]_0,dend,55.890499114990234,-233.55001831054688,-40.86709976196289,0.11999999731779099,0.2706566246314821,1.425,303.575239805349
40,38,dend[10]_0,dend[8]_0,dend,58.40739822387695,-239.6110076904297,-44.516998291015625,0.14499999582767487,0.2702144868521994,1.4500000000000002,309.12124375235834
41,27,dend[11]_0,dend[3]_2,dend,32.659000396728516,-139.06800842285156,-20.356599807739258,0.4399999976158142,0.33787970766502207,0.7250000000000001,187.37674300369522
42,41,dend[11]_1,dend[11]_0,dend,39.64289855957031,-156.1850128173828,-25.82939910888672,0.5,0.28803873265535873,0.9,211.33388014099032
43,42,dend[11]_2,dend[11]_1,dend,44.65230178833008,-175.37701416015625,-36.285499572753906,0.35499998927116394,0.2618548267293381,1.05,235.2910172782854
44,43,dend[11]_3,dend[11]_2,dend,56.1885986328125,-194.6120147705078,-43.80609893798828,0.26499998569488525,0.24004404880077831,1.225,259.2481544155805
45,44,dend[11]_4,dend[11]_3,dend,69.19999694824219,-212.0010223388672,-52.707401275634766,0.5899999737739563,0.21785891559514356,1.4500000000000002,283.20529155287556
46,45,dend[12]_0,dend[11]_4,dend,72.96399688720703,-229.99801635742188,-65.23719787597656,0.23499999940395355,0.20704922328218017,1.625,305.1109049388524
47,46,dend[12]_1,dend[12]_0,dend,82.84500122070312,-237.18601989746094,-72.13459777832031,0.20499999821186066,0.19694729637060068,1.8250000000000002,324.9649945735111
48,47,dend[12]_2,dend[12]_1,dend,94.19280242919922,-246.35101318359375,-81.79540252685547,0.32499998807907104,0.19121613032571783,2.0,344.8190842081697
49,48,dend[12]_3,dend[12]_2,dend,104.0780029296875,-259.9070129394531,-93.05269622802734,0.17499999701976776,0.18688162057007632,2.1750000000000003,364.6731738428284
50,49,dend[12]_4,dend[12]_3,dend,110.71099853515625,-272.0010070800781,-102.16500091552734,0.9700000286102295,0.18457380094316853,2.3000000000000003,384.5272634774871
51,50,dend[12]_5,dend[12]_4,dend,120.62699890136719,-282.1659851074219,-113.38999938964844,0.17499999701976776,0.1836931880503746,2.375,404.3813531121458
52,51,dend[12]_6,dend[12]_5,dend,128.552001953125,-289.2359924316406,-124.98300170898438,0.26499998569488525,0.18324507567476744,2.4000000000000004,424.2354427468045
53,45,dend[13]_0,dend[11]_4,dend,90.73059844970703,-225.0480194091797,-63.596900939941406,0.17499999701976776,0.21075363822406146,1.6,313.8939817714904
54,24,dend[14]_0,dend[2]_2,dend,26.978099822998047,-94.97171783447266,-13.723099708557129,0.26499998569488525,0.5352771241441859,0.325,138.8256256825482
55,54,dend[14]_1,dend[14]_0,dend,37.32509994506836,-113.9720230102539,-12.980899810791016,0.5,0.45469360388199315,0.525,160.60774816682155
56,55,dend[14]_2,dend[14]_1,dend,45.52519989013672,-137.57701110839844,-9.678420066833496,0.20499999821186066,0.41516678753562575,0.625,182.38987065109487
57,56,dend[14]_3,dend[14]_2,dend,58.1078987121582,-161.3710174560547,-7.113920211791992,0.20499999821186066,0.37626599179017833,0.7250000000000001,204.17199313536818
58,57,dend[14]_4,dend[14]_3,dend,76.60099792480469,-173.74700927734375,-10.217399597167969,0.09000000357627869,0.34154384253180425,0.8,225.95411561964156
59,58,dend[14]_5,dend[14]_4,dend,93.75460052490234,-179.4440155029297,-13.53439998626709,0.14499999582767487,0.2852387599391848,0.9750000000000001,247.73623810391487
60,59,dend[14]_6,dend[14]_5,dend,112.38999938964844,-187.48501586914062,-19.805400848388672,0.11999999731779099,0.23421973163821638,1.35,269.51836058818816
61,60,dend[14]_7,dend[14]_6,dend,127.96700286865234,-195.6000213623047,-27.10770034790039,0.38499999046325684,0.21951408719072013,1.6500000000000001,291.3004830724615
62,61,dend[14]_8,dend[14]_7,dend,138.64100646972656,-205.0650177001953,-37.23040008544922,0.17499999701976776,0.21546206343578284,1.8,313.08260555673485
63,62,dend[14]_9,dend[14]_8,dend,148.48800659179688,-212.90602111816406,-51.45240020751953,0.17499999701976776,0.21336631303438436,1.9000000000000001,334.86472804100816
64,63,dend[14]_10,dend[14]_9,dend,153.23800659179688,-221.6380157470703,-66.345703125,0.20499999821186066,0.2126247957414131,1.925,356.64685052528154
65,1,dend[15]_0,soma[0]_0,dend,-6.885199546813965,-22.24281120300293,0.03996986523270607,1.590000033378601,0.9738495001798524,0.025,23.823884506387994
66,65,dend[15]_1,dend[15]_0,dend,-10.626899719238281,-32.3126106262207,0.4231221377849579,0.9700000286102295,0.9520302150687767,0.025,40.40265126620577
67,66,dend[15]_2,dend[15]_1,dend,-13.321900367736816,-40.68551254272461,-1.0114399194717407,0.7950000166893005,0.9217292956667411,0.05,56.981418026023555
68,67,dend[15]_3,dend[15]_2,dend,-16.090999603271484,-48.3573112487793,-1.2913799285888672,0.824999988079071,0.8586167759989336,0.07500000000000001,73.56018478584133
69,68,dend[15]_4,dend[15]_3,dend,-18.66819953918457,-57.52680969238281,-1.8966598510742188,0.675000011920929,0.7746902249479223,0.1,90.13895154565911
70,69,dend[16]_0,dend[15]_4,dend,-21.467899322509766,-71.50031280517578,0.48810315132141113,0.6200000047683716,0.7048746684943894,0.17500000000000002,105.36319708151865
71,70,dend[17]_0,dend[16]_0,dend,-28.414499282836914,-88.85051727294922,4.930480003356934,0.5600000023841858,0.6275134867521809,0.275,126.20286358112436
