unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,26,dend[91]_0,dend[90]_0,dend,-100.62300109863281,-3.416379928588867,-94.34629821777344,0.38499999046325684,12.268808086936236,8.200000000000001,189.8464357360387
2,105,dend[93]_0,dend[92]_2,dend,-97.93170166015625,54.952598571777344,-87.06520080566406,0.20499999821186066,38.097677879264204,10.4,248.28456431778056
3,53,dend[85]_0,dend[84]_0,dend,1.4739810228347778,30.50200080871582,-20.062599182128906,0.5299999713897705,2.217600265363336,4.7,64.7529887908059
4,165,dend[89]_0,dend[87]_6,dend,-102.3550033569336,-8.90548038482666,-67.27140045166016,0.26499998569488525,8.805317412079525,7.4,160.3999141333502
5,140,dend[97]_0,dend[95]_4,dend,-31.198898315429688,-40.034000396728516,-103.86399841308594,0.20499999821186066,42.38780551309868,10.200000000000001,260.8489030611896
6,45,dend[64]_0,dend[63]_0,dend,20.713001251220703,-46.743499755859375,-0.07836904376745224,0.38499999046325684,2.54245431274945,5.4,75.4438185342144
7,5,dend[98]_0,dend[97]_0,dend,-23.97349739074707,-48.94390106201172,-104.4260025024414,0.17499999701976776,49.22340248619531,10.8,274.36422081000364
8,53,dend[86]_0,dend[84]_0,dend,-2.8823089599609375,26.22949981689453,-26.104900360107422,0.5299999713897705,2.16247554117819,4.6000000000000005,65.19274677738109
9,20,dend[79]_0,dend[77]_0,dend,28.45720100402832,-209.02699279785156,59.88079833984375,0.26499998569488525,23.280574695918087,9.8,266.5849223206996
10,99,dend[76]_0,dend[75]_2,dend,37.206600189208984,-172.9199981689453,60.822898864746094,0.20499999821186066,20.27344928140046,9.700000000000001,223.48086881653475
11,105,dend[94]_0,dend[92]_2,dend,-103.0510025024414,54.7135009765625,-85.43910217285156,0.4399999976158142,40.69594714424088,10.5,247.4536558755174
12,98,dend[101]_0,dend[99]_2,dend,31.06460189819336,-44.28219985961914,-115.69999694824219,0.29499998688697815,77.91870940610087,12.4,332.5738027864104
13,5,dend[99]_0,dend[97]_0,dend,-16.987197875976562,-43.139198303222656,-110.9010009765625,0.20499999821186066,45.53169026492706,10.4,275.4749341877102
14,22,dend[75]_0,dend[74]_0,dend,24.852901458740234,-138.8800048828125,45.72489929199219,0.5600000023841858,10.922811976228008,8.5,178.41964124570666
15,4,dend[95]_0,dend[89]_0,dend,-95.44049835205078,-12.77239990234375,-73.02890014648438,0.17499999701976776,15.56847474870617,8.6,177.45059570816107
16,140,dend[96]_0,dend[95]_4,dend,-33.72159957885742,-44.74399948120117,-112.45999908447266,0.23499999940395355,44.459540707530465,10.4,263.11731494454546
17,48,dend[68]_0,dend[66]_0,dend,50.18989944458008,-197.60899353027344,83.15460205078125,0.26499998569488525,18.805445405724548,9.5,269.39311090456306
18,253,dend[87]_0,soma[0]_0,dend,-13.020298957824707,-1.0780401229858398,-6.727700710296631,0.6200000047683716,1.1131704959436783,0.8,20.52510073695322
19,20,dend[78]_0,dend[77]_0,dend,34.24089813232422,-210.50399780273438,70.57279968261719,0.20499999821186066,24.235841953471496,9.9,264.78435751372905
20,99,dend[77]_0,dend[75]_2,dend,31.922801971435547,-186.593994140625,66.3563003540039,0.5899999737739563,19.143929500516943,9.4,237.85157255308454
21,194,dend[41]_0,dend[39]_10,dend,-172.25799560546875,79.92669677734375,54.60820007324219,0.6200000047683716,43.42070939603247,10.9,329.5570805593069
22,94,dend[74]_0,dend[64]_2,dend,21.752002716064453,-112.59100341796875,37.49340057373047,0.26499998569488525,8.131925525006283,7.9,152.5343865834483
23,94,dend[65]_0,dend[64]_2,dend,21.2981014251709,-106.72100067138672,37.336700439453125,0.5,5.951433056747463,7.2,146.26545474971732
24,26,dend[92]_0,dend[90]_0,dend,-97.33540344238281,0.4359728991985321,-84.69429779052734,0.17499999701976776,16.490931351793137,8.8,190.85114644965333
25,41,dend[73]_0,dend[69]_0,dend,48.86050033569336,-197.36500549316406,100.00599670410156,0.17499999701976776,24.582291361422822,10.100000000000001,269.5487981142963
26,4,dend[90]_0,dend[89]_0,dend,-99.0979995727539,-8.10593032836914,-80.72959899902344,0.38499999046325684,10.491462141589581,7.800000000000001,175.3680029207315
27,46,dend[57]_0,dend[55]_0,dend,130.822998046875,66.78179931640625,-71.46710205078125,0.32499998807907104,25.245118662134356,10.0,240.72322247923245
28,253,dend[82]_0,soma[0]_0,dend,8.306000709533691,5.631730079650879,-8.580941200256348,1.0,1.1449219009928322,1.0,22.83040714183186
29,28,dend[83]_0,dend[82]_0,dend,15.81610107421875,7.471129894256592,-12.584100723266602,0.6449999809265137,1.5775461264497166,3.1,44.58420557251358
30,165,dend[88]_0,dend[87]_6,dend,-109.28600311279297,-13.996700286865234,-65.75650024414062,0.5299999713897705,8.679082200294127,7.300000000000001,160.6159663294627
31,62,dend[51]_0,dend[50]_0,dend,39.16310119628906,-0.4738820791244507,-28.431400299072266,0.5899999737739563,3.8823399941149237,6.5,88.57244503368078
32,47,dend[71]_0,dend[70]_0,dend,56.106300354003906,-200.78599548339844,96.8895034790039,0.32499998807907104,21.783685790334435,9.700000000000001,274.3364997948679
33,171,dend[61]_0,dend[59]_6,dend,191.6750030517578,114.11900329589844,-119.80699920654297,0.17499999701976776,41.11343038600915,11.0,334.72083192648824
34,98,dend[100]_0,dend[99]_2,dend,24.900102615356445,-50.25669860839844,-127.19499969482422,0.32499998807907104,67.0339961722362,11.8,330.18363819794536
35,22,dend[80]_0,dend[74]_0,dend,25.941402435302734,-128.47799682617188,44.72650146484375,0.20499999821186066,10.674622828505093,8.5,171.69497131201135
36,47,dend[72]_0,dend[70]_0,dend,63.92490005493164,-203.70399475097656,101.53299713134766,0.14499999582767487,29.48783000277696,10.5,284.8665034572235
37,171,dend[60]_0,dend[59]_6,dend,186.89999389648438,114.177001953125,-119.25599670410156,0.17499999701976776,37.339842727494464,10.700000000000001,331.8362419698925
38,151,dend[49]_0,dend[45]_4,dend,69.8395004272461,-93.2428970336914,1.168899416923523,0.17499999701976776,10.957450671068258,8.6,159.00219804080294
39,45,dend[81]_0,dend[63]_0,dend,21.79850196838379,-45.1781005859375,-6.4111504554748535,0.7350000143051147,2.028852277558315,4.5,73.69026368859977
40,151,dend[46]_0,dend[45]_4,dend,83.81929779052734,-99.43450164794922,5.0028395652771,0.7649999856948853,7.65569176493405,7.4,159.24686246004018
41,142,dend[69]_0,dend[65]_4,dend,46.767799377441406,-190.80299377441406,90.23249816894531,0.23499999940395355,16.570817518120748,9.1,255.88120122920017
42,117,dend[39]_0,dend[38]_2,dend,-23.828798294067383,53.52939987182617,48.057701110839844,0.26499998569488525,5.783990974230454,7.0,106.36429539201097
43,185,dend[47]_0,dend[46]_8,dend,161.4949951171875,-236.68800354003906,67.83719635009766,0.20499999821186066,19.84381167392447,9.700000000000001,345.72961578668986
44,48,dend[67]_0,dend[66]_0,dend,46.7932014465332,-206.0500030517578,86.40699768066406,0.20499999821186066,19.240894518511343,9.600000000000001,270.6724839708591
45,56,dend[63]_0,dend[43]_0,dend,11.437101364135742,-24.940799713134766,1.712719440460205,0.5600000023841858,1.3781590057968267,2.4000000000000004,47.85430448370616
46,59,dend[55]_0,dend[54]_0,dend,124.24600219726562,61.659400939941406,-61.41569900512695,0.4399999976158142,20.818113722925986,9.5,225.4532175879595
47,41,dend[70]_0,dend[69]_0,dend,50.102901458740234,-194.0399932861328,95.00769805908203,0.5600000023841858,18.133825470913955,9.200000000000001,263.2143990876435
48,142,dend[66]_0,dend[65]_4,dend,46.945098876953125,-192.28700256347656,87.68289947509766,0.29499998688697815,16.093007791124958,9.1,258.3034809866563
49,108,dend[52]_0,dend[51]_2,dend,75.77269744873047,38.4286003112793,-43.42850112915039,0.09000000357627869,9.100086360764447,8.200000000000001,155.6378555182579
50,185,dend[48]_0,dend[46]_8,dend,169.67300415039062,-233.5989990234375,64.39240264892578,0.5299999713897705,17.79206748583924,9.4,341.9654811330534
51,117,dend[42]_0,dend[38]_2,dend,-29.94519805908203,49.911598205566406,45.65510177612305,0.35499998927116394,5.572148236966937,7.0,105.83967431262059
52,119,dend[59]_0,dend[53]_2,dend,123.07499694824219,43.17770004272461,-57.54439926147461,0.6200000047683716,13.009251589684517,8.3,203.13506695810028
53,28,dend[84]_0,dend[82]_0,dend,5.346351146697998,14.123499870300293,-13.781801223754883,0.5899999737739563,1.5364389602424198,3.0,45.352248125592624
54,217,dend[38]_0,dend[23]_0,dend,1.0120710134506226,14.534700393676758,17.633699417114258,0.5600000023841858,1.879484768064675,4.1000000000000005,40.55445138730871
55,59,dend[58]_0,dend[54]_0,dend,119.2300033569336,67.87979888916016,-54.30970001220703,0.29499998688697815,21.509642468664335,9.600000000000001,223.05561641154105
