unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,30,dend[92]_0,dend[90]_0,dend,-77.83489990234375,2.8572499752044678,-83.93170166015625,0.17499999701976776,22.305415072478795,7.9,173.63198518547017
2,143,dend[97]_0,dend[95]_4,dend,7.1464409828186035,-32.23160171508789,-105.9729995727539,0.20499999821186066,77.3567968357303,9.8,263.8166913629727
3,2,dend[99]_0,dend[97]_0,dend,22.631301879882812,-34.00379943847656,-114.9229965209961,0.20499999821186066,84.14459065954883,10.200000000000001,279.9549027987522
4,138,dend[88]_0,dend[87]_4,dend,-90.97789764404297,-9.1356201171875,-55.512298583984375,0.4099999964237213,9.961207900989974,6.0,134.82783320824387
5,94,dend[93]_0,dend[92]_2,dend,-79.24420166015625,49.1343994140625,-88.72319793701172,0.20499999821186066,53.13977918861737,9.5,224.25900999747938
6,25,dend[70]_0,dend[69]_0,dend,28.132902145385742,-189.53199768066406,34.37649917602539,0.5600000023841858,22.09816323749872,8.3,242.3015374649203
7,95,dend[100]_0,dend[99]_2,dend,59.42599868774414,-33.42359924316406,-131.26699829101562,0.32499998807907104,124.19668694930978,11.9,328.3690180118085
8,109,dend[64]_0,dend[63]_2,dend,30.345701217651367,-64.46859741210938,-12.098501205444336,0.38499999046325684,3.830780598501415,5.2,99.77295397331139
9,239,dend[87]_0,soma[0]_0,dend,-13.913899421691895,-0.8130631446838379,-7.665920257568359,0.9399999976158142,1.1773415777883147,1.0,21.919524717821837
10,24,dend[79]_0,dend[77]_0,dend,21.563201904296875,-209.6820068359375,8.578679084777832,0.26499998569488525,32.007380368036856,9.0,262.25269489742743
11,30,dend[91]_0,dend[90]_0,dend,-79.39320373535156,-2.233690023422241,-93.3644027709961,0.38499999046325684,17.224851121803514,7.5,173.7132556908415
12,163,dend[60]_0,dend[59]_6,dend,205.05099487304688,76.14689636230469,47.74150085449219,0.17499999701976776,49.61172691945788,9.5,295.0526186453091
13,6,dend[72]_0,dend[70]_0,dend,38.499900817871094,-200.60299682617188,44.816001892089844,0.14499999582767487,39.91149805411884,9.700000000000001,263.9794274790484
14,143,dend[96]_0,dend[95]_4,dend,3.6215410232543945,-39.98550033569336,-117.76899719238281,0.23499999940395355,83.49463917824939,10.3,266.6305149724461
15,118,dend[76]_0,dend[75]_2,dend,33.418800354003906,-185.3000030517578,12.722099304199219,0.20499999821186066,31.28025544766222,9.1,232.03373092646072
