unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.07914081960916519,0.4690301716327667,-0.09549129754304886,4.2357001304626465,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-4.254769802093506,16.247100830078125,-0.5860750675201416,0.5,0.963849227937793,0.0,27.712783877488164
3,2,dend[1]_0,dend[0]_0,dend,-11.77750015258789,30.701799392700195,-2.8428099155426025,0.14499999582767487,0.7790533093348816,0.05,54.27041638282485
4,3,dend[1]_1,dend[1]_0,dend,-19.733299255371094,55.535301208496094,-8.083410263061523,0.20499999821186066,0.5911459395675532,0.2,73.59736993088052
5,4,dend[1]_2,dend[1]_1,dend,-26.336599349975586,75.96620178222656,-12.721699714660645,0.20499999821186066,0.48726242428081495,0.30000000000000004,92.92432347893616
6,5,dend[1]_3,dend[1]_2,dend,-30.527999877929688,97.79149627685547,-10.68179988861084,0.4399999976158142,0.3903175613123706,0.4,112.25127702699183
7,6,dend[1]_4,dend[1]_3,dend,-34.92729949951172,118.0469970703125,-7.499420166015625,0.38499999046325684,0.31853407105988363,0.47500000000000003,131.57823057504748
8,7,dend[1]_5,dend[1]_4,dend,-38.49760055541992,133.9669952392578,-3.5945401191711426,0.35499998927116394,0.2853561225523961,0.525,150.90518412310317
9,8,dend[1]_6,dend[1]_5,dend,-41.7056999206543,154.7530059814453,0.4674639105796814,0.32499998807907104,0.2538391245884154,0.55,170.2321376711588
10,9,dend[1]_7,dend[1]_6,dend,-43.38800048828125,173.38499450683594,0.06967151910066605,0.32499998807907104,0.22105056048489183,0.6000000000000001,189.55909121921448
11,10,dend[1]_8,dend[1]_7,dend,-45.502201080322266,194.69400024414062,-3.1431000232696533,0.4099999964237213,0.1920396444372555,0.675,208.88604476727014
12,11,dend[1]_9,dend[1]_8,dend,-50.89680099487305,216.0850067138672,-4.208829879760742,0.4099999964237213,0.17162108789220565,0.7250000000000001,228.2129983153258
