unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,97,dend[120]_0,dend[119]_2,dend,44.44240188598633,-52.97051239013672,10.08430004119873,0.824999988079071,5.8387564266385565,6.2,119.09039999314666
2,11,dend[116]_0,dend[115]_0,dend,193.35699462890625,-186.20901489257812,-130.3090057373047,0.20499999821186066,46.19585827351329,11.3,366.4957920017245
3,130,dend[126]_0,dend[125]_4,dend,50.897098541259766,-156.05201721191406,22.827899932861328,0.20499999821186066,25.4253682210714,8.3,226.7025978701951
4,105,dend[118]_0,dend[106]_2,dend,185.05999755859375,-167.0360107421875,-120.3030014038086,0.29499998688697815,47.50336565900693,11.600000000000001,359.2477385431691
5,130,dend[127]_0,dend[125]_4,dend,59.33769989013672,-152.40301513671875,26.889299392700195,0.4399999976158142,22.615284941488888,7.7,226.16973820127663
6,93,dend[114]_0,dend[112]_2,dend,225.00799560546875,-224.32501220703125,-141.15499877929688,0.4399999976158142,65.27223157747605,13.200000000000001,430.33295955884364
7,97,dend[125]_0,dend[119]_2,dend,34.64289855957031,-57.41761016845703,8.575889587402344,0.20499999821186066,6.124908074317808,6.2,119.53291518987592
8,155,dend[128]_0,dend[127]_6,dend,65.97969818115234,-266.65399169921875,82.9000015258789,0.8550000190734863,41.18626001675509,10.600000000000001,361.58603778718964
9,96,dend[101]_0,dend[100]_2,dend,43.062801361083984,-34.76681137084961,-27.225900650024414,0.26499998569488525,6.669559472689592,6.5,103.3709916414621
10,105,dend[107]_0,dend[106]_2,dend,178.7220001220703,-179.20701599121094,-121.3219985961914,1.059999942779541,36.760454677563075,10.100000000000001,345.563968158125
11,27,dend[115]_0,dend[109]_0,dend,188.28799438476562,-186.34701538085938,-128.8679962158203,0.23499999940395355,41.207864217045945,10.700000000000001,359.4701755779428
12,93,dend[113]_0,dend[112]_2,dend,216.4929962158203,-220.35801696777344,-136.39999389648438,0.26499998569488525,63.05355456098508,13.0,422.6926670708452
13,51,dend[93]_0,dend[91]_0,dend,222.21499633789062,268.8760070800781,-10.109199523925781,0.20499999821186066,31.473238417980685,10.5,404.23136020169244
14,156,dend[124]_0,dend[122]_6,dend,35.097198486328125,-303.4649963378906,113.6520004272461,0.26499998569488525,81.43192629157932,12.0,459.98101889355
15,55,dend[90]_0,dend[89]_0,dend,191.41200256347656,258.6600036621094,12.928099632263184,0.5600000023841858,22.37581508318219,9.200000000000001,362.2518101943372
16,43,dend[112]_0,dend[110]_0,dend,182.7169952392578,-198.84400939941406,-122.22599792480469,0.26499998569488525,48.12418666066389,11.5,375.8940746597236
17,177,dend[86]_0,dend[85]_8,dend,125.13600158691406,186.7039794921875,19.249900817871094,0.38499999046325684,14.526441106567315,8.3,262.7528675877897
18,183,dend[122]_0,dend[120]_10,dend,-4.668161869049072,-235.5460205078125,71.62149810791016,0.23499999940395355,53.16998561305137,9.8,343.69978182277725
19,155,dend[129]_0,dend[127]_6,dend,69.9823989868164,-267.4960021972656,83.05570220947266,0.20499999821186066,40.09240200968109,10.4,360.86310289607883
20,38,dend[99]_0,dend[98]_0,dend,26.690298080444336,-17.214611053466797,-2.8016998767852783,0.7950000166893005,2.817453386746476,4.6000000000000005,71.92100010841277
