unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.9592254757881165,2.542203426361084,-0.13473249971866608,6.886794090270996,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,13.047401428222656,-14.91141414642334,0.25069108605384827,0.7649999856948853,0.9500105725853836,0.025,23.966959721259485
3,2,dend[1]_0,dend[0]_0,dend,18.274202346801758,-26.51691436767578,-3.330350875854492,0.5299999713897705,0.7922777393622429,0.1,45.09226126478407
4,3,dend[2]_0,dend[1]_0,dend,37.540000915527344,-36.31901550292969,-6.847870826721191,0.4399999976158142,0.6513586254901483,0.35000000000000003,69.36455706910358
5,4,dend[2]_1,dend[2]_0,dend,55.94990158081055,-35.53801345825195,-7.786870956420898,0.7049999833106995,0.5690315900049276,0.5,90.4457348229355
6,5,dend[2]_2,dend[2]_1,dend,72.4093017578125,-39.72231674194336,-3.5892510414123535,0.26499998569488525,0.49364566105284574,0.625,111.52691257676743
7,6,dend[2]_3,dend[2]_2,dend,91.01090240478516,-40.034515380859375,-0.16149191558361053,0.7049999833106995,0.409587433364231,0.8,132.60809033059934
8,7,dend[2]_4,dend[2]_3,dend,111.22699737548828,-46.19781494140625,0.16813109815120697,0.23499999940395355,0.35529829497838467,0.925,153.68926808443126
9,8,dend[2]_5,dend[2]_4,dend,129.9250030517578,-52.48341369628906,3.137598991394043,0.23499999940395355,0.29471696394848373,1.125,174.77044583826319
10,9,dend[2]_6,dend[2]_5,dend,150.86900329589844,-59.37401580810547,2.5609090328216553,0.5899999737739563,0.2688674885395925,1.3,195.85162359209508
11,10,dend[2]_7,dend[2]_6,dend,174.197998046875,-70.03671264648438,3.2502291202545166,0.23499999940395355,0.25656108716249615,1.4500000000000002,216.932801345927
12,11,dend[2]_8,dend[2]_7,dend,190.0850067138672,-78.54681396484375,5.296779155731201,0.5600000023841858,0.2519116517054681,1.5250000000000001,238.01397909975893
13,3,dend[3]_0,dend[1]_0,dend,31.397302627563477,-42.87251663208008,-7.8832807540893555,0.17499999701976776,0.6591517193088126,0.30000000000000004,67.93103089077982
14,13,dend[3]_1,dend[3]_0,dend,38.4640007019043,-53.33861541748047,-11.68440055847168,0.23499999940395355,0.5314188970565079,0.55,86.14515628796423
15,14,dend[3]_2,dend[3]_1,dend,45.71770095825195,-68.38371276855469,-12.2110013961792,0.23499999940395355,0.47918252198848776,0.775,104.35928168514863
16,15,dend[3]_3,dend[3]_2,dend,49.45800018310547,-82.56471252441406,-13.049800872802734,0.4699999988079071,0.44086332667188577,0.9,122.57340708233303
17,16,dend[3]_4,dend[3]_3,dend,58.32270050048828,-98.78541564941406,-13.707700729370117,0.26499998569488525,0.39676959670358747,1.0250000000000001,140.7875324795174
18,17,dend[3]_5,dend[3]_4,dend,68.37439727783203,-117.8470230102539,-17.27739906311035,0.20499999821186066,0.3495715783286299,1.1500000000000001,159.0016578767018
19,18,dend[3]_6,dend[3]_5,dend,75.30870056152344,-134.7890167236328,-17.898500442504883,0.29499998688697815,0.31990506677956754,1.25,177.21578327388622
20,19,dend[3]_7,dend[3]_6,dend,83.09040069580078,-150.94601440429688,-18.469999313354492,0.17499999701976776,0.2707695257222711,1.5250000000000001,195.42990867107062
21,20,dend[3]_8,dend[3]_7,dend,91.40270233154297,-168.47702026367188,-20.37459945678711,0.9700000286102295,0.2624973624138232,1.625,213.644034068255
22,2,dend[4]_0,dend[0]_0,dend,14.416101455688477,-23.598915100097656,6.370789051055908,0.29499998688697815,0.7962322531380697,0.15000000000000002,41.478120733188135
23,22,dend[5]_0,dend[4]_0,dend,32.06639862060547,-34.4608154296875,5.966109275817871,0.23499999940395355,0.7418351715793823,0.225,60.98995823651438
24,23,dend[5]_1,dend[5]_0,dend,49.717201232910156,-41.499916076660156,3.7854089736938477,0.23499999940395355,0.6408778086725202,0.325,79.77850045155164
25,24,dend[5]_2,dend[5]_1,dend,63.68410110473633,-51.46631622314453,2.9931089878082275,0.4399999976158142,0.5385022971743614,0.47500000000000003,98.56704266658888
26,25,dend[5]_3,dend[5]_2,dend,70.39679718017578,-64.076416015625,4.878718852996826,0.23499999940395355,0.44964193933158436,0.65,117.35558488162611
27,26,dend[5]_4,dend[5]_3,dend,81.27860260009766,-75.75141906738281,4.129179000854492,0.5899999737739563,0.3876644080274957,0.775,136.14412709666337
28,27,dend[5]_5,dend[5]_4,dend,94.59490203857422,-89.73151397705078,2.4350390434265137,0.6449999809265137,0.30012549670558936,0.925,154.9326693117006
29,28,dend[5]_6,dend[5]_5,dend,107.05699920654297,-101.2440185546875,2.1639490127563477,0.14499999582767487,0.23439894400591801,1.1,173.72121152673787
30,29,dend[5]_7,dend[5]_6,dend,118.94499969482422,-118.50501251220703,6.5873188972473145,0.6200000047683716,0.19824357171037413,1.2750000000000001,192.50975374177509
31,30,dend[5]_8,dend[5]_7,dend,127.26699829101562,-133.77700805664062,11.970799446105957,0.29499998688697815,0.17555368572792987,1.55,211.29829595681235
32,31,dend[5]_9,dend[5]_8,dend,144.36599731445312,-147.0170135498047,20.355300903320312,0.5600000023841858,0.16643384966254043,1.8,230.0868381718496
33,32,dend[5]_10,dend[5]_9,dend,153.92100524902344,-157.843017578125,26.64929962158203,0.5299999713897705,0.1579128068784677,2.15,248.87538038688686
34,33,dend[5]_11,dend[5]_10,dend,165.51600646972656,-168.17501831054688,32.913299560546875,0.38499999046325684,0.15563327381029612,2.275,267.66392260192407
35,34,dend[5]_12,dend[5]_11,dend,174.531005859375,-185.11302185058594,38.456298828125,0.5299999713897705,0.154760752045315,2.325,286.45246481696137
36,22,dend[6]_0,dend[4]_0,dend,29.65900230407715,-28.941015243530273,14.444198608398438,0.5,0.7061496790992572,0.25,60.61776020162365
37,36,dend[6]_1,dend[6]_0,dend,42.07600021362305,-32.76651382446289,19.879100799560547,0.5600000023841858,0.6055993550477855,0.375,78.66190634687945
38,37,dend[6]_2,dend[6]_1,dend,50.820899963378906,-44.40491485595703,28.95560073852539,0.23499999940395355,0.513603089707191,0.5750000000000001,96.70605249213524
39,38,dend[6]_3,dend[6]_2,dend,60.3494987487793,-55.96891403198242,35.990699768066406,0.26499998569488525,0.4542030378696808,0.7000000000000001,114.75019863739102
40,39,dend[6]_4,dend[6]_3,dend,73.12249755859375,-70.0765151977539,37.44279861450195,0.4399999976158142,0.40203381943579725,0.775,132.79434478264682
41,40,dend[6]_5,dend[6]_4,dend,83.78389739990234,-85.98131561279297,45.139400482177734,0.4099999964237213,0.33794848579831027,0.875,150.8384909279026
42,41,dend[6]_6,dend[6]_5,dend,90.8541030883789,-99.65021514892578,51.16510009765625,0.7049999833106995,0.272863856894348,0.9750000000000001,168.8826370731584
43,42,dend[6]_7,dend[6]_6,dend,101.00299835205078,-113.8110122680664,58.91590118408203,0.32499998807907104,0.23122005996069053,1.075,186.9267832184142
44,43,dend[6]_8,dend[6]_7,dend,108.96099853515625,-123.67601776123047,64.13069915771484,0.35499998927116394,0.1905879764259704,1.25,204.97092936366997
45,44,dend[7]_0,dend[6]_8,dend,121.4800033569336,-135.37301635742188,69.41529846191406,0.5,0.16204852637735995,1.4500000000000002,223.7589190897079
46,45,dend[7]_1,dend[7]_0,dend,129.05299377441406,-145.33901977539062,73.99019622802734,0.26499998569488525,0.13805881785398694,2.0500000000000003,243.29075239652786
47,46,dend[7]_2,dend[7]_1,dend,142.48899841308594,-154.85501098632812,82.03970336914062,0.29499998688697815,0.1342702419979526,2.275,262.82258570334784
48,47,dend[7]_3,dend[7]_2,dend,158.42999267578125,-164.2680206298828,94.73979949951172,0.32499998807907104,0.1309540346287613,2.5250000000000004,282.3544190101679
49,48,dend[7]_4,dend[7]_3,dend,170.79200744628906,-176.67601013183594,95.59870147705078,0.5600000023841858,0.12983303159505305,2.625,301.8862523169879
50,44,dend[8]_0,dend[6]_8,dend,120.22200012207031,-130.5180206298828,67.86519622802734,0.5299999713897705,0.1645504111438408,1.425,222.57448653952244
51,50,dend[8]_1,dend[8]_0,dend,132.91099548339844,-136.89901733398438,72.49729919433594,0.38499999046325684,0.1484621794740349,1.6500000000000001,239.73745474597158
52,51,dend[8]_2,dend[8]_1,dend,145.9669952392578,-139.28501892089844,79.0615005493164,0.5,0.13602768921792305,2.025,256.90042295242074
53,52,dend[8]_3,dend[8]_2,dend,159.7209930419922,-147.59901428222656,86.94450378417969,0.20499999821186066,0.13011417899411892,2.375,274.0633911588699
54,53,dend[8]_4,dend[8]_3,dend,173.54100036621094,-152.68101501464844,91.98300170898438,0.5899999737739563,0.1262860393204243,2.6500000000000004,291.226359365319
55,54,dend[8]_5,dend[8]_4,dend,186.94700622558594,-154.09400939941406,99.4115982055664,0.17499999701976776,0.12458484288069042,2.8000000000000003,308.38932757176815
56,55,dend[8]_6,dend[8]_5,dend,198.0970001220703,-141.5010223388672,98.68180084228516,0.14499999582767487,0.12370739171703876,2.9000000000000004,325.55229577821734
