unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.9592254757881165,2.542203426361084,-0.13473249971866608,6.886794090270996,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,12.752901077270508,-13.915314674377441,0.2643470764160156,0.7649999856948853,0.9688444978075756,0.0,23.6895944987259
3,2,dend[1]_0,dend[0]_0,dend,18.832801818847656,-25.69121551513672,-4.0746307373046875,0.5299999713897705,0.8193827507230391,0.1,46.01668698101663
4,3,dend[2]_0,dend[1]_0,dend,37.937801361083984,-36.2296142578125,-7.821691036224365,0.4399999976158142,0.6671450549215057,0.30000000000000004,70.41136579398133
5,4,dend[2]_1,dend[2]_0,dend,54.09600067138672,-35.68411636352539,-8.107041358947754,0.7049999833106995,0.5951912234789596,0.42500000000000004,88.77899724250416
6,5,dend[2]_2,dend[2]_1,dend,68.37100219726562,-39.4885139465332,-4.1462507247924805,0.26499998569488525,0.5316450665302707,0.525,107.14662869102699
7,6,dend[2]_3,dend[2]_2,dend,84.56849670410156,-40.053916931152344,-0.6493309140205383,0.7049999833106995,0.4616256324194914,0.675,125.51426013954982
8,7,dend[2]_4,dend[2]_3,dend,102.22899627685547,-45.357513427734375,-0.04570911452174187,0.23499999940395355,0.41455364406849377,0.75,143.88189158807265
9,8,dend[2]_5,dend[2]_4,dend,118.48600006103516,-50.87161636352539,2.820518970489502,0.23499999940395355,0.3609974227467961,0.9,162.24952303659546
10,9,dend[2]_6,dend[2]_5,dend,136.80499267578125,-56.74451446533203,2.6230690479278564,0.5899999737739563,0.33575368728478117,1.0,180.6171544851183
11,10,dend[2]_7,dend[2]_6,dend,157.15499877929688,-65.83231353759766,3.451678991317749,0.23499999940395355,0.32157230617667776,1.075,198.98478593364115
12,11,dend[2]_8,dend[2]_7,dend,170.96099853515625,-73.13211822509766,5.346879005432129,0.5600000023841858,0.3153868183233309,1.125,217.35241738216394
13,3,dend[3]_0,dend[1]_0,dend,33.46839904785156,-44.81611633300781,-10.547500610351562,0.4099999964237213,0.6687899395977694,0.275,71.97316476239156
14,13,dend[3]_1,dend[3]_0,dend,43.50130081176758,-57.354915618896484,-13.4389009475708,0.4099999964237213,0.5330893667080523,0.55,93.46439414773484
15,14,dend[3]_2,dend[3]_1,dend,48.622501373291016,-73.88511657714844,-14.774500846862793,0.35499998927116394,0.47350704679938693,0.7250000000000001,114.95562353307812
16,15,dend[3]_3,dend[3]_2,dend,58.392398834228516,-92.67831420898438,-16.33300018310547,0.26499998569488525,0.42326174802138594,0.875,136.4468529184214
17,16,dend[3]_4,dend[3]_3,dend,68.24590301513672,-113.80502319335938,-20.39240074157715,0.26499998569488525,0.37660662759112734,0.9750000000000001,157.9380823037647
18,17,dend[3]_5,dend[3]_4,dend,79.02200317382812,-133.07101440429688,-22.351999282836914,0.23499999940395355,0.3363460118786366,1.1,179.42931168910792
19,18,dend[3]_6,dend[3]_5,dend,88.19599914550781,-152.8970184326172,-24.399200439453125,0.35499998927116394,0.30363602783670485,1.3,200.92054107445125
20,2,dend[4]_0,dend[0]_0,dend,13.844901084899902,-21.205215454101562,5.530979156494141,0.29499998688697815,0.8391306359106375,0.1,39.128138756037615
21,20,dend[5]_0,dend[4]_0,dend,28.667001724243164,-31.06651496887207,5.044518947601318,0.23499999940395355,0.7748861176989452,0.17500000000000002,57.15168087182158
