unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.42978009581565857,-0.002283572917804122,-0.3521181643009186,7.100135803222656,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,0.2824152708053589,-13.865500450134277,-2.822981119155884,2.065000057220459,0.9797884709682252,0.05,30.513682074342622
3,2,dend[1]_0,dend[0]_0,dend,-1.5983459949493408,-21.23110008239746,3.3870129585266113,0.699999988079071,0.9524572600551624,0.125,51.355929701335725
4,3,dend[2]_0,dend[1]_0,dend,6.067018032073975,-27.774200439453125,9.797812461853027,0.5149999856948853,0.9235305424370992,0.2,63.76300752015534
5,4,dend[2]_1,dend[2]_0,dend,9.875264167785645,-39.7588005065918,18.30668830871582,0.625,0.8911524746641103,0.325,79.02665652024841
6,5,dend[2]_2,dend[2]_1,dend,13.62493896484375,-52.197200775146484,20.527894973754883,0.625,0.8790577732828452,0.45,94.2903055203415
7,6,dend[3]_0,dend[2]_2,dend,18.759902954101562,-66.13159942626953,16.364778518676758,0.33000001311302185,0.8665375985676327,0.6000000000000001,111.55563376210695
8,7,dend[3]_1,dend[3]_0,dend,27.80022430419922,-83.635498046875,16.422218322753906,0.25999999046325684,0.8612332014843861,0.775,130.8226412455448
9,8,dend[3]_2,dend[3]_1,dend,32.047454833984375,-101.34400177001953,23.192520141601562,0.2199999988079071,0.8668591829250708,0.8500000000000001,150.0896487289826
10,9,dend[3]_3,dend[3]_2,dend,36.96881103515625,-118.7040023803711,24.63094139099121,0.3700000047683716,0.8746092144356042,0.9,169.35665621242046
11,10,dend[3]_4,dend[3]_3,dend,44.63016891479492,-135.26300048828125,25.442079544067383,0.5550000071525574,0.8757614020493872,0.925,188.6236636958583
12,11,dend[3]_5,dend[3]_4,dend,52.22956466674805,-150.97799682617188,24.715051651000977,0.29499998688697815,0.8727219940846589,0.925,207.89067117929613
13,12,dend[3]_6,dend[3]_5,dend,58.055580139160156,-169.8000030517578,19.191303253173828,0.2199999988079071,0.8654084501796154,0.925,227.15767866273399
14,6,dend[4]_0,dend[2]_2,dend,22.139659881591797,-66.9406967163086,15.676054000854492,0.5149999856948853,0.8794698026397808,0.525,111.82601942940968
15,14,dend[4]_1,dend[4]_0,dend,31.188541412353516,-82.99089813232422,18.52045440673828,0.8450000286102295,0.8783205930870798,0.6000000000000001,131.633798247453
16,15,dend[4]_2,dend[4]_1,dend,34.120384216308594,-102.48799896240234,26.278865814208984,0.3700000047683716,0.8711747589744979,0.625,151.44157706549632
17,16,dend[4]_3,dend[4]_2,dend,41.517913818359375,-124.03199768066406,30.060476303100586,0.699999988079071,0.8557651633131482,0.675,171.24935588353964
18,17,dend[4]_4,dend[4]_3,dend,49.983558654785156,-141.9219970703125,32.00986099243164,0.25999999046325684,0.8283899682474477,0.7250000000000001,191.05713470158298
19,18,dend[4]_5,dend[4]_4,dend,61.02694320678711,-158.18600463867188,32.88963317871094,0.2199999988079071,0.797109979928544,0.75,210.8649135196263
20,19,dend[4]_6,dend[4]_5,dend,71.7142562866211,-172.91200256347656,34.62873458862305,0.9599999785423279,0.7440540276931487,0.8500000000000001,230.67269233766964
21,20,dend[4]_7,dend[4]_6,dend,84.27579498291016,-186.85699462890625,34.97307205200195,0.14499999582767487,0.6769919222714951,0.9750000000000001,250.48047115571293
22,21,dend[4]_8,dend[4]_7,dend,92.604248046875,-201.06900024414062,37.06666564941406,0.2199999988079071,0.6459604960312032,1.125,270.2882499737563
23,22,dend[4]_9,dend[4]_8,dend,108.17916107177734,-209.69200134277344,37.701229095458984,0.4399999976158142,0.6495004758399949,1.2000000000000002,290.0960287917996
24,23,dend[4]_10,dend[4]_9,dend,123.62506866455078,-222.52499389648438,37.210628509521484,0.3700000047683716,0.6510826854443574,1.225,309.903807609843
25,3,dend[5]_0,dend[1]_0,dend,-3.733527898788452,-27.736900329589844,9.455810546875,0.5550000071525574,0.9017196072109904,0.225,62.604867399087595
26,25,dend[6]_0,dend[5]_0,dend,-9.593120574951172,-43.2218017578125,11.704669952392578,0.3700000047683716,0.8773332565193956,0.4,78.38606279691913
27,26,dend[6]_1,dend[6]_0,dend,-17.87586212158203,-64.83660125732422,13.597049713134766,0.7350000143051147,0.8854263194913311,0.5750000000000001,97.00108483462462
28,27,dend[6]_2,dend[6]_1,dend,-24.04326629638672,-82.86389923095703,17.300416946411133,0.4050000011920929,0.8971340286372121,0.65,115.61610687233008
