unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.45224079489707947,0.36724549531936646,0.1477213054895401,7.958840370178223,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-5.013275146484375,-22.619882583618164,1.4971121549606323,0.5299999713897705,0.9129144903031128,0.025,24.01237467564271
3,2,dend[0]_1,dend[0]_0,dend,-15.831904411315918,-32.89958190917969,4.371612548828125,0.7950000166893005,0.7890236110423341,0.125,43.357347039491344
4,3,dend[0]_2,dend[0]_1,dend,-25.196605682373047,-41.814781188964844,7.50673246383667,0.29499998688697815,0.6687405254396996,0.25,62.702319403339985
5,4,dend[0]_3,dend[0]_2,dend,-32.69700241088867,-54.95608139038086,3.290072202682495,0.5,0.5496852708378749,0.47500000000000003,82.04729176718861
6,5,dend[0]_4,dend[0]_3,dend,-38.095703125,-72.8100814819336,7.495782375335693,0.6200000047683716,0.47433074997842883,0.6000000000000001,101.39226413103725
7,6,dend[0]_5,dend[0]_4,dend,-42.75010299682617,-87.91608428955078,7.548142433166504,0.5,0.3910500738589407,0.75,120.73723649488589
8,7,dend[0]_6,dend[0]_5,dend,-45.55250549316406,-103.19698333740234,9.373401641845703,0.4699999988079071,0.31462285481520474,0.875,140.08220885873453
9,8,dend[0]_7,dend[0]_6,dend,-50.600303649902344,-114.79498291015625,9.036992073059082,0.8550000190734863,0.2487946555522306,1.0,159.4271812225832
10,9,dend[0]_8,dend[0]_7,dend,-55.273502349853516,-131.7329864501953,10.938901901245117,0.5899999737739563,0.19653204296605062,1.1500000000000001,178.7721535864318
11,10,dend[1]_0,dend[0]_8,dend,-56.6671028137207,-145.09197998046875,7.602402210235596,0.4699999988079071,0.1599617935093834,1.3250000000000002,196.87725586581263
12,11,dend[1]_1,dend[1]_0,dend,-59.004703521728516,-162.7679901123047,4.669562339782715,0.6200000047683716,0.13014499841942687,1.5750000000000002,213.74248806072563
13,12,dend[1]_2,dend[1]_1,dend,-62.59380340576172,-179.3809814453125,3.4996421337127686,0.32499998807907104,0.11258830416422196,1.975,230.60772025563864
14,13,dend[1]_3,dend[1]_2,dend,-66.71400451660156,-195.5579833984375,2.4075121879577637,0.5600000023841858,0.10199675199757327,2.6500000000000004,247.47295245055165
15,14,dend[1]_4,dend[1]_3,dend,-71.87651062011719,-210.5059814453125,-0.16481781005859375,0.6200000047683716,0.09830332749756722,3.0500000000000003,264.33818464546465
16,15,dend[2]_0,dend[1]_4,dend,-72.2245101928711,-225.80398559570312,-0.8779568076133728,0.20499999821186066,0.09726642999161872,3.1750000000000003,278.2067885094391
17,15,dend[3]_0,dend[1]_4,dend,-74.63280487060547,-220.24398803710938,-1.9531078338623047,0.4399999976158142,0.09689295928718948,3.225,275.09080307345073
18,17,dend[4]_0,dend[3]_0,dend,-74.18830871582031,-229.739990234375,-4.541537761688232,0.20499999821186066,0.09637648904151408,3.3000000000000003,285.10085531014624
19,17,dend[5]_0,dend[3]_0,dend,-79.42860412597656,-227.79598999023438,-2.1711578369140625,0.23499999940395355,0.09597048234413104,3.35,284.40455029797056
20,19,dend[6]_0,dend[5]_0,dend,-82.21210479736328,-233.87599182128906,-1.7165778875350952,0.35499998927116394,0.09457995252869014,3.5250000000000004,293.72062485755384
21,19,dend[7]_0,dend[5]_0,dend,-86.42760467529297,-247.75099182128906,-11.72099781036377,0.4699999988079071,0.09309969371057189,3.75,308.41017768487717
22,10,dend[8]_0,dend[0]_8,dend,-57.45030212402344,-148.97398376464844,9.155141830444336,0.29499998688697815,0.16047228238065878,1.3250000000000002,197.4609409212752
23,22,dend[8]_1,dend[8]_0,dend,-60.91960525512695,-167.90098571777344,8.017682075500488,0.38499999046325684,0.13524680289757587,1.55,215.49354322711335
24,23,dend[8]_2,dend[8]_1,dend,-65.08050537109375,-187.57498168945312,9.92212200164795,0.32499998807907104,0.11896870637890236,1.8250000000000002,233.52614553295152
25,24,dend[8]_3,dend[8]_2,dend,-69.75230407714844,-202.66098022460938,9.898712158203125,0.38499999046325684,0.10417756027817571,2.35,251.55874783878966
26,25,dend[8]_4,dend[8]_3,dend,-77.44690704345703,-219.4349822998047,7.021052360534668,0.38499999046325684,0.09828057349479605,2.85,269.5913501446278
27,26,dend[8]_5,dend[8]_4,dend,-83.62001037597656,-233.50698852539062,4.737722396850586,0.6200000047683716,0.09441013478998797,3.2750000000000004,287.62395245046594
28,27,dend[8]_6,dend[8]_5,dend,-93.00230407714844,-247.8109893798828,5.211222171783447,0.5600000023841858,0.09159611806056739,3.6750000000000003,305.6565547563041
29,28,dend[9]_0,dend[8]_6,dend,-101.07301330566406,-250.24598693847656,9.371941566467285,0.23499999940395355,0.09098898346605645,3.75,317.14281817249014
30,28,dend[10]_0,dend[8]_6,dend,-110.3590087890625,-260.6939697265625,6.879552364349365,0.6449999809265137,0.08992238267322297,3.9250000000000003,330.5981621021472
