unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.6218692660331726,-0.6322331428527832,0.0,6.9695940017700195,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-5.120987892150879,-16.148298263549805,-0.23297399282455444,0.6200000047683716,0.9911204106662135,0.0,20.571239650900296
3,2,dend[0]_1,dend[0]_0,dend,-6.1642680168151855,-33.35300064086914,-1.1897200345993042,0.4699999988079071,0.9542721856134329,0.0,42.53246946948284
4,3,dend[0]_2,dend[0]_1,dend,-5.124768257141113,-48.012298583984375,-3.819380044937134,0.4099999964237213,0.8789779422181485,0.025,64.49369928806539
5,4,dend[1]_0,dend[0]_2,dend,-5.411238193511963,-65.40239715576172,-7.266880035400391,0.29499998688697815,0.810602094886323,0.07500000000000001,85.59279708722599
6,5,dend[1]_1,dend[1]_0,dend,-4.973308086395264,-82.9093017578125,-11.613699913024902,0.23499999940395355,0.6953031527946514,0.1,105.82976286696467
7,6,dend[1]_2,dend[1]_1,dend,-3.458618402481079,-98.42389678955078,-17.04960060119629,0.35499998927116394,0.6127473801491182,0.15000000000000002,126.06672864670335
8,7,dend[1]_3,dend[1]_2,dend,-2.41066837310791,-114.19499969482422,-21.916099548339844,0.32499998807907104,0.4883819185601223,0.2,146.30369442644204
9,8,dend[1]_4,dend[1]_3,dend,-1.919128179550171,-128.76800537109375,-27.658700942993164,0.23499999940395355,0.38722869896060724,0.275,166.54066020618072
10,9,dend[1]_5,dend[1]_4,dend,-0.4650762677192688,-147.58099365234375,-31.466400146484375,0.26499998569488525,0.3122184519820138,0.35000000000000003,186.7776259859194
11,10,dend[1]_6,dend[1]_5,dend,0.8740617036819458,-159.9040069580078,-35.9921989440918,0.35499998927116394,0.27566698688865526,0.42500000000000004,207.01459176565808
12,11,dend[1]_7,dend[1]_6,dend,1.2198318243026733,-178.218994140625,-41.90359878540039,0.32499998807907104,0.24507589523780926,0.47500000000000003,227.25155754539676
13,12,dend[1]_8,dend[1]_7,dend,2.1023616790771484,-200.11300659179688,-50.222198486328125,0.5299999713897705,0.22049500887669285,0.55,247.48852332513545
14,13,dend[1]_9,dend[1]_8,dend,5.677551746368408,-223.1479949951172,-59.983299255371094,0.35499998927116394,0.20327143105439846,0.6000000000000001,267.72548910487416
15,14,dend[1]_10,dend[1]_9,dend,7.576241970062256,-239.36399841308594,-66.19170379638672,0.38499999046325684,0.18150347786973078,0.675,287.9624548846128
16,15,dend[1]_11,dend[1]_10,dend,14.305702209472656,-259.9729919433594,-73.98249816894531,0.5899999737739563,0.1674186818950218,0.7250000000000001,308.1994206643515
17,16,dend[1]_12,dend[1]_11,dend,22.389501571655273,-282.7869873046875,-80.90480041503906,0.5600000023841858,0.15150083105062764,0.8,328.43638644409015
18,17,dend[1]_13,dend[1]_12,dend,27.421802520751953,-296.197998046875,-96.48690032958984,0.26499998569488525,0.131602598574378,0.9,348.6733522238289
19,18,dend[1]_14,dend[1]_13,dend,41.58580017089844,-310.2279968261719,-106.77200317382812,0.5,0.12304107106396228,0.9500000000000001,368.9103180035675
20,19,dend[1]_15,dend[1]_14,dend,56.657501220703125,-322.50299072265625,-113.93599700927734,0.29499998688697815,0.11238184904469059,1.05,389.14728378330625
21,20,dend[1]_16,dend[1]_15,dend,69.75299835205078,-333.2669982910156,-125.56900024414062,0.35499998927116394,0.10310727752361325,1.125,409.3842495630449
22,21,dend[1]_17,dend[1]_16,dend,81.11910247802734,-348.4700012207031,-125.07099914550781,0.5299999713897705,0.09356810483375386,1.25,429.6212153427836
23,22,dend[1]_18,dend[1]_17,dend,98.09130096435547,-357.4150085449219,-123.53700256347656,0.38499999046325684,0.08619552901755582,1.35,449.85818112252224
24,23,dend[1]_19,dend[1]_18,dend,109.77300262451172,-373.1700134277344,-117.96600341796875,0.35499998927116394,0.08066980637038551,1.425,470.095146902261
25,24,dend[1]_20,dend[1]_19,dend,122.9800033569336,-385.6440124511719,-112.76300048828125,0.35499998927116394,0.07508920313024343,1.5250000000000001,490.3321126819996
26,25,dend[2]_0,dend[1]_20,dend,134.74000549316406,-403.35400390625,-106.94100189208984,0.23499999940395355,0.07072429757827177,1.625,510.14075338621416
27,26,dend[2]_1,dend[2]_0,dend,144.61900329589844,-424.90899658203125,-104.12300109863281,0.26499998569488525,0.0659276176470144,1.7750000000000001,529.5210690149046
28,27,dend[2]_2,dend[2]_1,dend,158.73599243164062,-440.468994140625,-101.43900299072266,0.14499999582767487,0.06356982629085434,1.8250000000000002,548.901384643595
29,28,dend[2]_3,dend[2]_2,dend,170.65199279785156,-458.8869934082031,-101.86399841308594,0.17499999701976776,0.06155365248973932,1.9000000000000001,568.2817002722853
30,29,dend[2]_4,dend[2]_3,dend,184.4510040283203,-477.0469970703125,-99.20459747314453,0.6200000047683716,0.059279913237786704,1.975,587.6620159009757
31,30,dend[2]_5,dend[2]_4,dend,199.37399291992188,-488.8219909667969,-104.08899688720703,0.11999999731779099,0.05708322297694961,2.025,607.0423315296661
32,31,dend[2]_6,dend[2]_5,dend,213.8979949951172,-499.1700134277344,-105.91100311279297,0.029999999329447746,0.0541370667804954,2.1,626.4226471583567
33,32,dend[2]_7,dend[2]_6,dend,225.9810028076172,-509.95001220703125,-107.97000122070312,0.5600000023841858,0.039888873745884124,2.5500000000000003,645.802962787047
34,33,dend[2]_8,dend[2]_7,dend,242.31500244140625,-515.291015625,-108.80699920654297,0.05999999865889549,0.036136280430432134,2.725,665.1832784157374
35,34,dend[2]_9,dend[2]_8,dend,257.6809997558594,-516.5900268554688,-111.18299865722656,0.05999999865889549,0.0314510211885085,2.975,684.5635940444278
36,35,dend[2]_10,dend[2]_9,dend,273.31201171875,-519.7260131835938,-112.38600158691406,0.05999999865889549,0.025302818164023765,3.4250000000000003,703.9439096731181
