unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.007007055915892124,1.4460625648498535,-0.12425334751605988,8.468042373657227,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-8.568859100341797,14.499100685119629,-2.93405818939209,1.7949999570846558,0.9712517487398549,0.025,19.759129386600854
3,2,dend[0]_1,dend[0]_0,dend,-22.758399963378906,20.176801681518555,-10.654099464416504,1.5299999713897705,0.9483631274558678,0.05,35.97263143419858
4,3,dend[0]_2,dend[0]_1,dend,-34.58319854736328,27.22210121154785,-18.305097579956055,1.090000033378601,0.9028368773139459,0.07500000000000001,52.18613348179632
5,4,dend[0]_3,dend[0]_2,dend,-44.726600646972656,32.562400817871094,-23.180498123168945,1.0299999713897705,0.8612880568674606,0.125,68.39963552939405
6,5,dend[0]_4,dend[0]_3,dend,-56.07720184326172,35.01580047607422,-29.072797775268555,1.149999976158142,0.8097415137150873,0.17500000000000002,84.61313757699179
7,6,dend[1]_0,dend[0]_4,dend,-71.85880279541016,34.84090042114258,-33.604801177978516,1.2949999570846558,0.7845109429106578,0.2,99.53983884901132
8,7,dend[2]_0,dend[1]_0,dend,-93.85810089111328,27.682302474975586,-38.843101501464844,1.2350000143051147,0.7533467641234921,0.25,121.98535441814228
9,8,dend[3]_0,dend[2]_0,dend,-108.38999938964844,8.953451156616211,-38.10169982910156,0.824999988079071,0.7176171372138547,0.275,149.29211819199082
10,9,dend[3]_1,dend[3]_0,dend,-120.96900177001953,-10.373298645019531,-44.54629898071289,0.5299999713897705,0.7061221523913265,0.30000000000000004,172.65451509786732
11,10,dend[3]_2,dend[3]_1,dend,-137.86199951171875,-24.369497299194336,-45.45140075683594,0.32499998807907104,0.6880745469833562,0.325,196.01691200374378
12,11,dend[4]_0,dend[3]_2,dend,-150.11099243164062,-31.165998458862305,-44.852699279785156,1.090000033378601,0.6865217237079523,0.325,210.78890988449686
13,11,dend[5]_0,dend[3]_2,dend,-148.4709930419922,-26.593698501586914,-42.54779815673828,0.26499998569488525,0.6857162303862535,0.325,210.99537152443557
14,8,dend[6]_0,dend[2]_0,dend,-111.03099822998047,22.054101943969727,-40.16490173339844,1.0299999713897705,0.7042083421277271,0.275,149.88428464015283
15,14,dend[6]_1,dend[6]_0,dend,-130.1490020751953,26.219602584838867,-48.345401763916016,0.6200000047683716,0.6421814171502604,0.325,174.43101444235333
16,15,dend[6]_2,dend[6]_1,dend,-157.65899658203125,34.684898376464844,-47.04439926147461,0.5899999737739563,0.5807056562083828,0.375,198.97774424455383
17,16,dend[7]_0,dend[6]_2,dend,-181.4010009765625,41.500099182128906,-44.767799377441406,0.29499998688697815,0.5327622704257695,0.42500000000000004,221.10954263822222
18,17,dend[7]_1,dend[7]_0,dend,-202.55599975585938,44.715599060058594,-43.583900451660156,0.35499998927116394,0.4859790292390284,0.47500000000000003,240.82640962335853
19,18,dend[7]_2,dend[7]_1,dend,-220.57200622558594,44.50379943847656,-42.511199951171875,0.5299999713897705,0.4089336853934825,0.5750000000000001,260.54327660849486
20,19,dend[7]_3,dend[7]_2,dend,-245.52099609375,46.324501037597656,-42.9922981262207,0.32499998807907104,0.3716068515494007,0.625,280.26014359363114
21,20,dend[7]_4,dend[7]_3,dend,-270.4809875488281,46.760501861572266,-44.22819900512695,0.26499998569488525,0.33644144775841267,0.7000000000000001,299.9770105787674
22,21,dend[7]_5,dend[7]_4,dend,-286.67401123046875,50.87810134887695,-52.58599853515625,0.29499998688697815,0.30508164779616675,0.775,319.69387756390375
23,22,dend[7]_6,dend[7]_5,dend,-301.62701416015625,52.88600158691406,-53.712100982666016,0.38499999046325684,0.2828084817140899,0.8250000000000001,339.41074454904003
24,23,dend[7]_7,dend[7]_6,dend,-316.2919921875,53.91709899902344,-54.471099853515625,0.17499999701976776,0.2571595341972898,0.9,359.12761153417637
25,24,dend[7]_8,dend[7]_7,dend,-332.15301513671875,55.5265007019043,-57.647300720214844,0.20499999821186066,0.22790694504662587,1.0,378.8444785193127
26,25,dend[7]_9,dend[7]_8,dend,-344.65399169921875,57.09130096435547,-53.523101806640625,0.17499999701976776,0.2072274604282812,1.05,398.5613455044489
27,26,dend[7]_10,dend[7]_9,dend,-359.5830078125,55.96820068359375,-55.44770050048828,0.11999999731779099,0.16786983654787882,1.225,418.27821248958526
28,27,dend[7]_11,dend[7]_10,dend,-375.1940002441406,53.76060104370117,-59.9364013671875,0.17499999701976776,0.145548262547515,1.375,437.9950794747216
29,28,dend[7]_12,dend[7]_11,dend,-388.06201171875,54.90800094604492,-62.94219970703125,0.38499999046325684,0.1178027570456336,1.7750000000000001,457.7119464598578
30,29,dend[7]_13,dend[7]_12,dend,-402.7919921875,55.88949966430664,-56.49089813232422,0.5,0.11070703572617097,1.975,477.42881344499415
31,30,dend[7]_14,dend[7]_13,dend,-418.7309875488281,56.36249923706055,-46.560001373291016,0.7350000143051147,0.10605270679834962,2.125,497.1456804301305
32,31,dend[7]_15,dend[7]_14,dend,-435.0719909667969,61.41360092163086,-31.57779884338379,0.26499998569488525,0.10257344282490624,2.275,516.8625474152668
33,32,dend[7]_16,dend[7]_15,dend,-449.7640075683594,65.62889862060547,-19.073898315429688,0.29499998688697815,0.1005452791730364,2.375,536.579414400403
34,33,dend[7]_17,dend[7]_16,dend,-466.29400634765625,56.587100982666016,-7.436697959899902,0.29499998688697815,0.09922058523638551,2.45,556.2962813855394
35,34,dend[7]_18,dend[7]_17,dend,-483.06201171875,42.8661994934082,-3.5781381130218506,0.38499999046325684,0.09831153134764557,2.5,576.0131483706756
36,35,dend[7]_19,dend[7]_18,dend,-499.39801025390625,34.45050048828125,1.4769717454910278,0.23499999940395355,0.0977011260892572,2.5250000000000004,595.7300153558119
37,36,dend[7]_20,dend[7]_19,dend,-512.926025390625,22.613101959228516,3.1939518451690674,0.14499999582767487,0.09696136342055728,2.575,615.4468823409483
38,16,dend[8]_0,dend[6]_2,dend,-174.01100158691406,35.8296012878418,-37.45240020751953,0.32499998807907104,0.5431834146399521,0.42500000000000004,220.61126456807676
39,38,dend[8]_1,dend[8]_0,dend,-185.5290069580078,33.934200286865234,-27.48139762878418,0.26499998569488525,0.49827209143021406,0.47500000000000003,239.33157541292215
40,39,dend[8]_2,dend[8]_1,dend,-201.1060028076172,31.568401336669922,-13.072998046875,0.29499998688697815,0.45420693334033957,0.55,258.05188625776753
41,40,dend[8]_3,dend[8]_2,dend,-214.9040069580078,28.862802505493164,2.3992919921875,0.20499999821186066,0.42019703231217165,0.6000000000000001,276.77219710261295
42,41,dend[8]_4,dend[8]_3,dend,-229.38900756835938,24.365602493286133,15.351302146911621,0.23499999940395355,0.3861604641533251,0.675,295.4925079474583
43,42,dend[8]_5,dend[8]_4,dend,-242.60000610351562,15.955700874328613,24.65940284729004,0.29499998688697815,0.3548378478781355,0.775,314.21281879230366
44,43,dend[8]_6,dend[8]_5,dend,-258.4670104980469,12.567601203918457,35.68080139160156,0.32499998807907104,0.3394905551351295,0.8,332.9331296371491
45,44,dend[8]_7,dend[8]_6,dend,-272.760009765625,9.83733081817627,43.464599609375,0.38499999046325684,0.30400814883451843,0.925,351.6534404819945
46,45,dend[8]_8,dend[8]_7,dend,-290.88299560546875,3.9027915000915527,52.61040115356445,0.5299999713897705,0.25916516590149297,1.075,370.37375132683985
47,46,dend[8]_9,dend[8]_8,dend,-305.3609924316406,-2.2001185417175293,58.174598693847656,0.17499999701976776,0.17798818734244795,1.5,389.0940621716852
48,47,dend[8]_10,dend[8]_9,dend,-318.0270080566406,-8.976478576660156,62.42150115966797,0.35499998927116394,0.14221999309901265,1.9000000000000001,407.8143730165307
49,48,dend[9]_0,dend[8]_10,dend,-338.8919982910156,-14.209098815917969,73.02079772949219,0.029999999329447746,0.10544421679271493,2.7750000000000004,435.84463765770295
50,48,dend[10]_0,dend[8]_10,dend,-326.4540100097656,-8.633829116821289,65.1760025024414,0.17499999701976776,0.1290621703015536,2.1,420.539022499657
51,7,dend[11]_0,dend[1]_0,dend,-87.31729888916016,44.667999267578125,-36.41699981689453,0.6200000047683716,0.7595905208465411,0.225,117.50858328270056
52,51,dend[11]_1,dend[11]_0,dend,-102.96499633789062,61.1598014831543,-41.227699279785156,0.6200000047683716,0.7087610246355693,0.25,139.80617165363768
53,52,dend[11]_2,dend[11]_1,dend,-118.5999984741211,76.33699798583984,-51.674400329589844,0.4699999988079071,0.6513789644547916,0.30000000000000004,162.10376002457483
54,53,dend[11]_3,dend[11]_2,dend,-135.3300018310547,89.87259674072266,-60.47819900512695,0.4699999988079071,0.5918344652403289,0.325,184.40134839551195
55,54,dend[11]_4,dend[11]_3,dend,-136.91600036621094,106.96099853515625,-68.72470092773438,0.35499998927116394,0.496942975282832,0.4,206.6989367664491
56,55,dend[11]_5,dend[11]_4,dend,-147.21099853515625,119.86000061035156,-76.63960266113281,0.38499999046325684,0.4090454384585951,0.5,228.99652513738621
57,56,dend[11]_6,dend[11]_5,dend,-156.07699584960938,135.843994140625,-84.96489715576172,0.38499999046325684,0.3549208471368549,0.5750000000000001,251.29411350832336
58,57,dend[12]_0,dend[11]_6,dend,-166.8300018310547,148.3280029296875,-86.8407974243164,0.4099999964237213,0.31899003524792097,0.65,272.2839373430047
59,58,dend[12]_1,dend[12]_0,dend,-177.3990020751953,163.03700256347656,-84.79959869384766,0.29499998688697815,0.2888444037098201,0.7250000000000001,291.96599664143037
60,59,dend[12]_2,dend[12]_1,dend,-184.08799743652344,179.55299377441406,-77.28060150146484,0.23499999940395355,0.2523182637881011,0.8500000000000001,311.64805593985596
61,60,dend[12]_3,dend[12]_2,dend,-188.6750030517578,197.10800170898438,-69.82530212402344,0.35499998927116394,0.22693281185803382,0.9500000000000001,331.33011523828156
62,61,dend[12]_4,dend[12]_3,dend,-197.97999572753906,214.66200256347656,-59.52069854736328,0.20499999821186066,0.20469393969500047,1.1,351.0121745367072
63,62,dend[12]_5,dend[12]_4,dend,-201.51600646972656,230.14999389648438,-48.65330123901367,0.5600000023841858,0.18430875618099324,1.3,370.69423383513276
64,63,dend[12]_6,dend[12]_5,dend,-212.0240020751953,245.9770050048828,-42.61579895019531,0.5299999713897705,0.17757002724452334,1.375,390.3762931335584
65,64,dend[12]_7,dend[12]_6,dend,-224.91700744628906,260.37799072265625,-34.281898498535156,0.26499998569488525,0.17194736916659456,1.4500000000000002,410.0583524319841
66,65,dend[12]_8,dend[12]_7,dend,-235.89700317382812,272.16900634765625,-28.022798538208008,0.35499998927116394,0.16408669596569328,1.5250000000000001,429.7404117304096
67,66,dend[12]_9,dend[12]_8,dend,-246.5240020751953,283.9809875488281,-22.449697494506836,0.20499999821186066,0.15258560905772015,1.675,449.4224710288353
68,67,dend[12]_10,dend[12]_9,dend,-255.71800231933594,294.2049865722656,-20.890798568725586,0.4399999976158142,0.13241046412439095,2.075,469.10453032726093
69,68,dend[13]_0,dend[12]_10,dend,-274.67401123046875,305.2019958496094,-16.24629783630371,0.4099999964237213,0.12486319774832644,2.3000000000000003,489.34654500576244
70,69,dend[13]_1,dend[13]_0,dend,-291.1600036621094,315.5660095214844,-15.126498222351074,0.7350000143051147,0.12073240022853324,2.475,510.1485150643398
71,70,dend[13]_2,dend[13]_1,dend,-304.29400634765625,326.1619873046875,-10.919597625732422,0.14499999582767487,0.1191550964859069,2.5500000000000003,530.9504851229173
72,68,dend[14]_0,dend[12]_10,dend,-262.3179931640625,303.906005859375,-12.432098388671875,0.38499999046325684,0.12934995215096562,2.15,486.00938354109996
73,57,dend[15]_0,dend[11]_6,dend,-159.3350067138672,151.69900512695312,-89.95800018310547,0.29499998688697815,0.3103136139801126,0.7000000000000001,272.05893515015237
74,73,dend[15]_1,dend[15]_0,dend,-157.9149932861328,170.35800170898438,-90.81649780273438,0.23499999940395355,0.28500676506834677,0.775,291.2909900628731
75,74,dend[15]_2,dend[15]_1,dend,-159.1540069580078,188.82699584960938,-89.89360046386719,0.4099999964237213,0.2628583791789775,0.875,310.52304497559385
76,75,dend[15]_3,dend[15]_2,dend,-161.17599487304688,208.25,-88.45800018310547,0.17499999701976776,0.23852692741865092,0.9750000000000001,329.7550998883146
77,76,dend[15]_4,dend[15]_3,dend,-161.1739959716797,228.77699279785156,-85.5947036743164,0.4699999988079071,0.2177449174598453,1.1,348.98715480103544
78,77,dend[15]_5,dend[15]_4,dend,-157.94700622558594,246.69000244140625,-84.98519897460938,0.11999999731779099,0.1950050238032103,1.25,368.2192097137562
79,78,dend[15]_6,dend[15]_5,dend,-160.50999450683594,264.5830078125,-84.71109771728516,0.35499998927116394,0.174053050478659,1.425,387.4512646264769
80,79,dend[15]_7,dend[15]_6,dend,-161.1230010986328,282.49700927734375,-82.83190155029297,0.11999999731779099,0.1510863897991598,1.675,406.6833195391978
81,80,dend[15]_8,dend[15]_7,dend,-160.83099365234375,298.989990234375,-81.94889831542969,0.17499999701976776,0.13799238875157616,1.875,425.9153744519185
82,81,dend[15]_9,dend[15]_8,dend,-160.85400390625,316.27099609375,-82.44730377197266,0.20499999821186066,0.12036608109946483,2.225,445.14742936463927
83,82,dend[15]_10,dend[15]_9,dend,-161.79800415039062,330.4880065917969,-81.34410095214844,0.05999999865889549,0.11304128348774767,2.45,464.37948427736
84,83,dend[15]_11,dend[15]_10,dend,-158.68899536132812,347.2460021972656,-83.80010223388672,0.23499999940395355,0.10535525263742473,2.725,483.61153919008086
85,84,dend[15]_12,dend[15]_11,dend,-150.6540069580078,363.53399658203125,-78.26349639892578,0.11999999731779099,0.09846541364623256,3.0500000000000003,502.8435941028016
86,6,dend[16]_0,dend[0]_4,dend,-65.3635025024414,31.186201095581055,-40.089500427246094,0.6449999809265137,0.7901930114992004,0.2,102.09268127307087
87,86,dend[16]_1,dend[16]_0,dend,-68.83609771728516,24.86140251159668,-58.31119918823242,1.4149999618530273,0.7829497659737509,0.225,120.83826661763132
88,87,dend[16]_2,dend[16]_1,dend,-69.64649963378906,22.466501235961914,-81.96179962158203,0.5899999737739563,0.771506411984944,0.225,139.58385196219177
89,88,dend[16]_3,dend[16]_2,dend,-67.87860107421875,26.745101928710938,-98.06800079345703,0.38499999046325684,0.759055988990774,0.25,158.3294373067522
90,89,dend[16]_4,dend[16]_3,dend,-67.25150299072266,32.64690017700195,-99.91680145263672,0.26499998569488525,0.7334515150679398,0.275,177.07502265131265
91,90,dend[16]_5,dend[16]_4,dend,-66.8843002319336,32.11320114135742,-111.81300354003906,0.5899999737739563,0.7088854544062051,0.30000000000000004,195.82060799587308
92,91,dend[16]_6,dend[16]_5,dend,-68.81529998779297,20.819902420043945,-139.61500549316406,0.2199999988079071,0.6819049178810717,0.35000000000000003,214.56619334043353
93,1,dend[17]_0,soma[0]_0,dend,-10.713998794555664,-6.826768398284912,-0.28862622380256653,1.3849999904632568,0.9571492372670726,0.025,25.702590342877535
94,93,dend[18]_0,dend[17]_0,dend,-24.042800903320312,-12.326398849487305,-3.9100680351257324,1.2350000143051147,0.9076630730263943,0.07500000000000001,51.80164116367668
95,94,dend[19]_0,dend[18]_0,dend,-42.736900329589844,-27.669797897338867,-4.27128791809082,0.5899999737739563,0.8181308216790214,0.125,75.58182944181742
96,95,dend[19]_1,dend[19]_0,dend,-48.95909881591797,-43.68960189819336,-6.235958099365234,0.8849999904632568,0.71865491787229,0.25,99.04452831665171
97,96,dend[19]_2,dend[19]_1,dend,-59.41579818725586,-60.155799865722656,-4.102618217468262,0.7649999856948853,0.6601464930329295,0.35000000000000003,122.507227191486
98,97,dend[19]_3,dend[19]_2,dend,-77.07830047607422,-70.30419921875,7.21395206451416,0.7649999856948853,0.6163282600791279,0.42500000000000004,145.96992606632028
99,98,dend[19]_4,dend[19]_3,dend,-92.98249816894531,-85.06279754638672,25.674001693725586,0.675000011920929,0.5912892627502911,0.45,169.4326249411546
100,99,dend[20]_0,dend[19]_4,dend,-103.77200317382812,-83.69529724121094,31.46590232849121,0.17499999701976776,0.5812076005956083,0.47500000000000003,186.7048359595148
101,99,dend[21]_0,dend[19]_4,dend,-109.98300170898438,-91.76809692382812,36.032100677490234,1.2949999570846558,0.5648871487645911,0.47500000000000003,190.98318518600627
102,101,dend[21]_1,dend[21]_0,dend,-128.12899780273438,-96.68099975585938,48.29330062866211,0.7350000143051147,0.5469749725845052,0.5,210.62160680087538
