unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,78,dend[47]_0,dend[41]_2,dend,-102.23999786376953,-73.70010375976562,21.654199600219727,0.5,3.6958663184336507,6.2,168.94173831484255
2,185,dend[45]_0,dend[43]_10,dend,-264.74700927734375,-32.318599700927734,113.8949966430664,0.32499998807907104,28.960871543237783,11.0,419.2707440154463
3,78,dend[42]_0,dend[41]_2,dend,-100.88300323486328,-69.90879821777344,18.016300201416016,0.4399999976158142,3.098289591397651,5.4,164.83704030719736
4,13,dend[41]_0,dend[37]_0,dend,-42.77389907836914,-49.45949935913086,1.894430160522461,0.6449999809265137,1.427976727622569,2.1,99.37186073543668
5,3,dend[46]_0,dend[42]_0,dend,-111.8740005493164,-79.09510040283203,15.517499923706055,0.5899999737739563,3.4905056536449015,5.800000000000001,179.5510604482095
6,3,dend[43]_0,dend[42]_0,dend,-111.802001953125,-79.02770233154297,18.719499588012695,0.23499999940395355,4.214105483364158,6.6000000000000005,180.7384422578175
7,185,dend[44]_0,dend[43]_10,dend,-271.25799560546875,-39.52190017700195,102.34400177001953,0.7649999856948853,26.85741640210043,10.700000000000001,407.8115682194294
8,171,dend[40]_0,dend[38]_8,dend,-100.81999969482422,-138.73699951171875,117.58799743652344,0.26499998569488525,7.485268002051761,7.1000000000000005,270.6552378517498
9,84,dend[36]_0,dend[34]_2,dend,-63.278900146484375,-115.75900268554688,4.600339889526367,0.17499999701976776,6.186112710527589,6.9,173.1795262654063
10,19,dend[33]_0,dend[29]_0,dend,-15.003399848937988,-98.29029846191406,-18.69339942932129,0.5,3.262102959297551,5.6000000000000005,142.95839035644025
11,84,dend[35]_0,dend[34]_2,dend,-62.56570053100586,-109.03299713134766,-0.8448358774185181,0.5,5.346168397780121,6.7,168.76344599533473
12,171,dend[39]_0,dend[38]_8,dend,-95.91069793701172,-130.5800018310547,110.86699676513672,0.5899999737739563,7.352375034842796,6.9,260.81327809374267
13,89,dend[37]_0,dend[27]_2,dend,-28.942399978637695,-46.08580017089844,-5.043560028076172,0.9399999976158142,1.2017733338268366,1.0,80.69959379916145
14,23,dend[34]_0,dend[28]_0,dend,-28.07830047607422,-76.81659698486328,-11.293600082397461,0.5299999713897705,2.230516184990127,4.3,115.76592076494262
15,19,dend[30]_0,dend[29]_0,dend,-10.724499702453613,-102.68399810791016,-26.523799896240234,0.5600000023841858,2.7975503410041433,5.0,143.9778266993515
16,13,dend[38]_0,dend[37]_0,dend,-35.02220153808594,-53.054100036621094,4.019440174102783,0.6449999809265137,1.4741876198053736,2.4000000000000004,96.42458298121474
17,123,dend[32]_0,dend[30]_4,dend,13.319299697875977,-155.4250030517578,-94.04229736328125,0.20499999821186066,13.394891694344533,8.5,258.3980412100505
18,126,dend[24]_0,dend[20]_4,dend,93.02410125732422,-66.568603515625,-61.51490020751953,0.23499999940395355,7.3557501637562055,6.800000000000001,179.7470590634935
19,23,dend[29]_0,dend[28]_0,dend,-22.913400650024414,-82.7333984375,-14.758399963378906,0.5,2.027378306805983,3.7,119.3933359545684
20,47,dend[26]_0,dend[0]_0,dend,20.678499221801758,-19.19969940185547,-10.139599800109863,0.7649999856948853,1.3126657570615077,1.7000000000000002,52.62382382070717
21,123,dend[31]_0,dend[30]_4,dend,6.377130031585693,-152.20199584960938,-90.99649810791016,0.5299999713897705,10.687250519383737,8.1,255.02101332661755
22,41,dend[27]_0,soma[0]_0,dend,-11.337599754333496,-14.145099639892578,0.41388511657714844,1.6799999475479126,1.0215607106325884,0.1,23.632344704779005
23,89,dend[28]_0,dend[27]_2,dend,-24.139299392700195,-56.95289993286133,-12.241499900817871,0.5600000023841858,1.475268292964798,2.2,90.07937209848521
24,42,dend[14]_0,dend[13]_0,dend,192.87100219726562,-227.69500732421875,139.3820037841797,0.824999988079071,33.54826279897384,11.3,475.14804341739773
25,36,dend[20]_0,dend[19]_0,dend,42.3583984375,-45.785099029541016,-23.340299606323242,0.5600000023841858,1.8119990408506932,3.4000000000000004,94.0174856698749
26,36,dend[25]_0,dend[19]_0,dend,39.188499450683594,-55.751399993896484,-20.886899948120117,0.5299999713897705,1.9723381576222296,3.7,95.15746255867191
27,126,dend[21]_0,dend[20]_4,dend,94.86630249023438,-71.40760040283203,-56.77510070800781,0.17499999701976776,7.450171065199826,6.800000000000001,181.501332801741
28,29,dend[17]_0,dend[11]_0,dend,183.49099731445312,-231.58399963378906,114.76399993896484,0.8849999904632568,27.348330220324605,10.3,447.03350424003054
29,212,dend[11]_0,dend[10]_14,dend,181.9080047607422,-220.53900146484375,108.43299865722656,0.29499998688697815,23.674358624530385,9.5,426.37899565784033
30,42,dend[15]_0,dend[13]_0,dend,184.1540069580078,-234.84800720214844,143.18499755859375,0.14499999582767487,41.7661702107773,12.5,484.827770471654
31,29,dend[12]_0,dend[11]_0,dend,180.01199340820312,-229.2169952392578,112.45500183105469,0.20499999821186066,25.51600323615733,9.8,442.18852265139174
32,31,dend[16]_0,dend[12]_0,dend,183.91900634765625,-228.83099365234375,125.22599792480469,0.20499999821186066,27.456663975856802,10.100000000000001,455.3276594211015
33,91,dend[22]_0,dend[21]_2,dend,109.23200225830078,-118.97100067138672,-78.52130126953125,0.17499999701976776,21.159216620445722,8.1,243.48657783268044
34,45,dend[9]_0,dend[8]_0,dend,0.8071687817573547,-92.84400177001953,10.070799827575684,1.149999976158142,2.1728966300227364,4.1000000000000005,129.31071141222932
35,91,dend[23]_0,dend[21]_2,dend,114.68099975585938,-123.00199890136719,-82.39869689941406,0.7049999833106995,20.673974241175443,8.1,248.26853793635115
36,39,dend[19]_0,dend[1]_0,dend,29.51919937133789,-40.14289855957031,-16.61240005493164,1.090000033378601,1.2318698061821045,1.3,74.1739286212651
37,212,dend[18]_0,dend[10]_14,dend,196.5229949951172,-224.74200439453125,101.98799896240234,0.4099999964237213,26.515530119767533,10.3,431.767754189243
38,100,dend[4]_0,dend[3]_2,dend,38.9723014831543,-108.82499694824219,-27.082799911499023,0.9399999976158142,3.1939649770749314,5.4,143.65960362380503
39,47,dend[1]_0,dend[0]_0,dend,16.83880043029785,-26.19890022277832,-7.707749843597412,2.119999885559082,1.0541959123976818,0.2,53.00269347363994
40,99,dend[7]_0,dend[6]_2,dend,-4.4438700675964355,-91.20249938964844,8.369400024414062,0.824999988079071,2.1482192868243852,4.1000000000000005,128.1255476260541
41,-1,soma[0]_0,root,soma,-1.6222106218338013,-1.1368829011917114,0.1936306655406952,7.269939422607422,1.0,0.0,0.0
42,31,dend[13]_0,dend[12]_0,dend,187.76100158691406,-231.4340057373047,127.12100219726562,0.17499999701976776,30.878999822903268,10.8,459.15765539174686
43,45,dend[10]_0,dend[8]_0,dend,2.811339855194092,-95.62069702148438,1.872400164604187,0.7049999833106995,2.1856587452580447,4.2,129.52501955105927
44,39,dend[2]_0,dend[1]_0,dend,17.369800567626953,-43.07849884033203,-14.614399909973145,1.5299999713897705,1.079227440737294,0.4,68.52622904959162
45,99,dend[8]_0,dend[6]_2,dend,3.4750096797943115,-84.93219757080078,0.959537148475647,1.2050000429153442,1.8548152189234035,3.4000000000000004,118.80439156134324
46,44,dend[6]_0,dend[2]_0,dend,12.873900413513184,-52.15869903564453,-10.67020034790039,0.5299999713897705,1.3457751530058526,1.7000000000000002,81.57844815130947
47,41,dend[0]_0,soma[0]_0,dend,12.007699966430664,-9.26593017578125,-3.797999858856201,2.4700000286102295,1.0132863843222633,0.0,28.409526395232266
48,44,dend[3]_0,dend[2]_0,dend,17.659000396728516,-55.96009826660156,-15.342399597167969,1.059999942779541,1.2471727032311988,1.3,84.18590084798296
49,100,dend[5]_0,dend[3]_2,dend,24.02039909362793,-110.51899719238281,-20.08060073852539,0.26499998569488525,3.3359806323845826,5.5,143.71856587737886
50,1,dend[47]_1,dend[47]_0,dend,-115.89700317382812,-82.29620361328125,31.185100555419922,0.9100000262260437,4.246026709818867,6.300000000000001,187.807009592838
51,5,dend[46]_1,dend[46]_0,dend,-126.08999633789062,-90.40059661865234,8.427289962768555,1.2599999904632568,3.829533614670508,6.0,198.3232254675289
52,4,dend[41]_1,dend[41]_0,dend,-60.20859909057617,-57.89310073852539,6.533780097961426,1.1200000047683716,1.6828215269112712,2.6,123.42675751159993
