unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-1.6222106218338013,-1.1368829011917114,0.1936306655406952,7.269939422607422,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,12.891200065612793,-9.886110305786133,-4.178080081939697,2.4700000286102295,0.9402085061788059,0.0,29.718190707369413
3,2,dend[1]_0,dend[0]_0,dend,18.510700225830078,-26.62299919128418,-7.208380222320557,2.119999885559082,0.8316126183303088,0.07500000000000001,53.60141611627809
4,3,dend[2]_0,dend[1]_0,dend,19.334800720214844,-38.34049987792969,-11.332799911499023,1.5299999713897705,0.7963004110439083,0.07500000000000001,64.38965239570034
5,4,dend[3]_0,dend[2]_0,dend,21.18269920349121,-49.18090057373047,-10.153499603271484,1.059999942779541,0.7279018205015667,0.15000000000000002,77.00458189597099
6,5,dend[3]_1,dend[3]_0,dend,26.096099853515625,-69.16719818115234,-8.215120315551758,0.7649999856948853,0.6375189659052478,0.2,96.08375493182884
7,6,dend[3]_2,dend[3]_1,dend,34.91550064086914,-86.07150268554688,-6.254940032958984,0.38499999046325684,0.5383546743720629,0.275,115.16292796768667
8,7,dend[4]_0,dend[3]_2,dend,45.7776985168457,-99.91320037841797,-16.9335994720459,1.149999976158142,0.3587762582177261,0.525,134.76178179243857
9,8,dend[4]_1,dend[4]_0,dend,63.14500045776367,-111.59300231933594,-23.33289909362793,0.6200000047683716,0.28538645990893574,0.7250000000000001,154.88031640608457
10,9,dend[4]_2,dend[4]_1,dend,81.3687973022461,-116.44999694824219,-25.75349998474121,0.5,0.24787494589181103,0.875,174.99885101973055
11,10,dend[4]_3,dend[4]_2,dend,95.85530090332031,-118.39800262451172,-28.946800231933594,0.38499999046325684,0.20514518436395715,1.1,195.11738563337653
12,11,dend[4]_4,dend[4]_3,dend,110.69000244140625,-121.9010009765625,-31.877300262451172,0.32499998807907104,0.17397394475710556,1.35,215.2359202470225
13,12,dend[4]_5,dend[4]_4,dend,125.39399719238281,-124.68900299072266,-34.16529846191406,0.26499998569488525,0.14783151370983694,1.6500000000000001,235.35445486066854
14,13,dend[4]_6,dend[4]_5,dend,144.97999572753906,-128.5399932861328,-32.868099212646484,0.5899999737739563,0.12478433341536016,1.9500000000000002,255.47298947431452
15,14,dend[4]_7,dend[4]_6,dend,159.5780029296875,-138.01499938964844,-36.33290100097656,0.23499999940395355,0.09968288472024256,2.325,275.59152408796047
16,15,dend[4]_8,dend[4]_7,dend,175.0500030517578,-138.22999572753906,-35.91450119018555,0.29499998688697815,0.07650845817036271,2.85,295.7100587016065
17,16,dend[4]_9,dend[4]_8,dend,188.93600463867188,-134.19500732421875,-32.38349914550781,0.26499998569488525,0.06188350542277114,3.325,315.8285933152525
18,17,dend[4]_10,dend[4]_9,dend,204.89999389648438,-131.5489959716797,-28.582000732421875,0.4099999964237213,0.04715274278777474,4.1000000000000005,335.94712792889845
19,18,dend[4]_11,dend[4]_10,dend,218.53399658203125,-130.26400756835938,-27.148000717163086,0.32499998807907104,0.04005601114502291,4.8500000000000005,356.0656625425445
20,19,dend[4]_12,dend[4]_11,dend,240.22799682617188,-128.20899963378906,-27.413400650024414,0.23499999940395355,0.03531759160122096,5.65,376.18419715619046
21,20,dend[4]_13,dend[4]_12,dend,259.39898681640625,-123.49800109863281,-24.567399978637695,0.8550000190734863,0.03169910013775362,6.625,396.30273176983644
22,21,dend[4]_14,dend[4]_13,dend,281.36199951171875,-129.33399963378906,-23.957599639892578,1.149999976158142,0.030060326326782717,7.2,416.4212663834824
23,22,dend[4]_15,dend[4]_14,dend,294.20098876953125,-136.7050018310547,-17.4773006439209,1.090000033378601,0.02812283389838467,8.075000000000001,436.53980099712845
24,23,dend[4]_16,dend[4]_15,dend,309.177001953125,-138.93099975585938,-5.051400184631348,1.2350000143051147,0.026893906938875473,8.700000000000001,456.65833561077443
25,24,dend[4]_17,dend[4]_16,dend,325.8059997558594,-146.32899475097656,-1.3564398288726807,0.23499999940395355,0.02609514926987049,9.175,476.7768702244204
26,25,dend[4]_18,dend[4]_17,dend,343.60699462890625,-155.5780029296875,2.717750310897827,0.7049999833106995,0.025473074106616374,9.575000000000001,496.8954048380664
27,26,dend[4]_19,dend[4]_18,dend,367.3080139160156,-161.23399353027344,9.136549949645996,0.29499998688697815,0.025169879533631402,9.775,517.0139394517123
28,27,dend[4]_20,dend[4]_19,dend,383.7650146484375,-161.61500549316406,6.370530128479004,0.20499999821186066,0.024982949978363783,9.9,537.1324740653583
29,7,dend[5]_0,dend[3]_2,dend,32.3838996887207,-101.44599914550781,-6.553719997406006,0.5899999737739563,0.3874034927670919,0.5,136.5211911007039
30,29,dend[5]_1,dend[5]_0,dend,16.606399536132812,-117.45999908447266,3.7854602336883545,0.23499999940395355,0.276347204266469,0.775,160.15854433088057
31,30,dend[5]_2,dend[5]_1,dend,-2.311720132827759,-127.53299713134766,16.946500778198242,0.17499999701976776,0.21005181789161434,1.175,183.79589756105722
32,31,dend[5]_3,dend[5]_2,dend,-20.384199142456055,-126.46600341796875,22.77090072631836,0.675000011920929,0.17867809952464717,1.925,207.43325079123386
33,32,dend[5]_4,dend[5]_3,dend,-31.844200134277344,-130.9709930419922,36.52909851074219,0.23499999940395355,0.1740904421663212,2.15,231.0706040214105
34,4,dend[6]_0,dend[2]_0,dend,16.915300369262695,-50.785099029541016,-1.2271199226379395,1.090000033378601,0.5699391872031453,0.25,82.23507412913551
35,34,dend[7]_0,dend[6]_0,dend,9.815930366516113,-68.01629638671875,13.790800094604492,0.5299999713897705,0.4778468482254131,0.5,105.3395092331732
36,35,dend[7]_1,dend[7]_0,dend,2.5246896743774414,-81.44429779052734,26.05900001525879,0.675000011920929,0.44834214595108846,0.65,122.00822193906164
37,36,dend[7]_2,dend[7]_1,dend,-4.959479808807373,-87.33820343017578,35.38010025024414,0.7649999856948853,0.43021055665645647,0.75,138.67693464495008
38,37,dend[7]_3,dend[7]_2,dend,-13.030400276184082,-95.21949768066406,37.63159942626953,0.5299999713897705,0.41653611268736723,0.8250000000000001,155.34564735083853
39,38,dend[7]_4,dend[7]_3,dend,-26.682300567626953,-96.80390167236328,42.392398834228516,0.4099999964237213,0.4066143106327149,0.9,172.01436005672699
