unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-1.6222106218338013,-1.1368829011917114,0.1936306655406952,7.269939422607422,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,14.114800453186035,-10.249500274658203,-4.704480171203613,2.4700000286102295,0.9511582968582081,0.0,31.06324883713615
3,2,dend[1]_0,dend[0]_0,dend,21.0846004486084,-28.6466007232666,-7.783760070800781,2.119999885559082,0.8549565914492101,0.025,56.96805200428226
4,3,dend[2]_0,dend[1]_0,dend,22.41160011291504,-41.49290084838867,-11.084099769592285,1.5299999713897705,0.8238152866326688,0.05,68.75752439645834
5,4,dend[3]_0,dend[2]_0,dend,27.614099502563477,-53.679298400878906,-7.8371901512146,1.059999942779541,0.7501741223546766,0.1,84.31508774337456
6,5,dend[3]_1,dend[3]_0,dend,39.44060134887695,-76.3905029296875,-2.481369733810425,0.7649999856948853,0.6496909311827278,0.15000000000000002,108.63009550395728
7,6,dend[3]_2,dend[3]_1,dend,55.39630126953125,-95.10790252685547,-0.3941788673400879,0.38499999046325684,0.5463596244968748,0.225,132.94510326453997
8,7,dend[4]_0,dend[3]_2,dend,63.7760009765625,-111.63800048828125,-11.596699714660645,1.149999976158142,0.3952467306269014,0.375,154.6562373957012
9,8,dend[4]_1,dend[4]_0,dend,78.57420349121094,-122.29499816894531,-21.0856990814209,0.6200000047683716,0.3355006602454364,0.47500000000000003,173.76349789744097
10,9,dend[4]_2,dend[4]_1,dend,94.60320281982422,-126.21199798583984,-28.894800186157227,0.5,0.30257224034598806,0.55,192.87075839918074
11,10,dend[4]_3,dend[4]_2,dend,106.64900207519531,-128.03700256347656,-36.60319900512695,0.38499999046325684,0.2618652080964544,0.675,211.9780189009205
12,11,dend[4]_4,dend[4]_3,dend,119.30400085449219,-131.0850067138672,-43.88460159301758,0.32499998807907104,0.23207788010046823,0.775,231.0852794026603
13,12,dend[4]_5,dend[4]_4,dend,131.97000122070312,-133.38099670410156,-50.71379852294922,0.26499998569488525,0.20429960832661448,0.9,250.19253990440004
14,13,dend[4]_6,dend[4]_5,dend,150.36599731445312,-135.47900390625,-56.026798248291016,0.5899999737739563,0.17692954625965235,1.05,269.2998004061398
15,14,dend[4]_7,dend[4]_6,dend,163.42300415039062,-143.67599487304688,-62.42100143432617,0.23499999940395355,0.14376582903677207,1.25,288.40706090787955
16,15,dend[4]_8,dend[4]_7,dend,177.3679962158203,-143.11399841308594,-67.73899841308594,0.29499998688697815,0.11545797071704016,1.4500000000000002,307.5143214096193
17,16,dend[4]_9,dend[4]_8,dend,190.41299438476562,-138.28399658203125,-70.67859649658203,0.26499998569488525,0.09538621439348421,1.6500000000000001,326.62158191135916
18,17,dend[4]_10,dend[4]_9,dend,205.58599853515625,-134.46499633789062,-73.8595962524414,0.4099999964237213,0.07435186118683636,1.975,345.7288424130989
19,18,dend[4]_11,dend[4]_10,dend,218.04600524902344,-132.47000122070312,-77.93659973144531,0.32499998807907104,0.06433424537604412,2.25,364.8361029148387
20,19,dend[4]_12,dend[4]_11,dend,236.98800659179688,-129.91700744628906,-86.62740325927734,0.23499999940395355,0.057342094687954225,2.6,383.94336341657845
21,20,dend[4]_13,dend[4]_12,dend,254.4080047607422,-124.47100067138672,-92.25689697265625,0.8550000190734863,0.0521163328996242,3.0,403.05062391831825
22,21,dend[4]_14,dend[4]_13,dend,274.9469909667969,-128.30499267578125,-98.62419891357422,1.149999976158142,0.04961460510004976,3.3000000000000003,422.157884420058
23,22,dend[4]_15,dend[4]_14,dend,289.60699462890625,-132.35000610351562,-96.21849822998047,1.090000033378601,0.04686519708818174,3.7,441.26514492179774
24,23,dend[4]_16,dend[4]_15,dend,307.54400634765625,-130.52099609375,-90.55269622802734,1.2350000143051147,0.04543391706575425,3.975,460.3724054235375
25,24,dend[4]_17,dend[4]_16,dend,324.614990234375,-135.12100219726562,-91.95030212402344,0.23499999940395355,0.04450744913706904,4.175,479.4796659252773
26,25,dend[4]_18,dend[4]_17,dend,343.10699462890625,-141.1300048828125,-93.06330108642578,0.7049999833106995,0.04377846481805725,4.3500000000000005,498.58692642701703
27,26,dend[4]_19,dend[4]_18,dend,367.1830139160156,-143.30299377441406,-95.09200286865234,0.29499998688697815,0.043414208280523836,4.45,517.6941869287568
28,27,dend[4]_20,dend[4]_19,dend,380.9219970703125,-143.6269989013672,-103.49099731445312,0.20499999821186066,0.043204609350437635,4.5,536.8014474304966
29,7,dend[5]_0,dend[3]_2,dend,55.861000061035156,-110.58699798583984,2.4566502571105957,0.26499998569488525,0.41371868151275715,0.35000000000000003,155.186684397026
30,29,dend[5]_1,dend[5]_0,dend,51.02009963989258,-123.36100006103516,15.575900077819824,0.7049999833106995,0.3205306561064321,0.5,175.3548389014154
31,30,dend[5]_2,dend[5]_1,dend,43.61600112915039,-128.2310028076172,35.980499267578125,0.5299999713897705,0.2654786927117888,0.675,195.52299340580478
32,31,dend[5]_3,dend[5]_2,dend,30.8612003326416,-134.83700561523438,53.18230056762695,0.17499999701976776,0.2343777241523147,0.875,215.6911479101942
33,32,dend[5]_4,dend[5]_3,dend,17.349199295043945,-133.69000244140625,63.83789825439453,0.14499999582767487,0.21339939353660423,1.2000000000000002,235.8593024145836
34,33,dend[5]_5,dend[5]_4,dend,11.835100173950195,-130.46200561523438,76.78579711914062,0.20499999821186066,0.20367068357064885,1.4000000000000001,256.0274569189729
35,34,dend[5]_6,dend[5]_5,dend,7.297329902648926,-133.32899475097656,92.96070098876953,0.4099999964237213,0.20170565837250723,1.4500000000000002,276.1956114233623
36,4,dend[6]_0,dend[2]_0,dend,22.784099578857422,-47.027198791503906,-2.9661498069763184,0.5299999713897705,0.6750718414071432,0.125,79.40179663751368
37,36,dend[6]_1,dend[6]_0,dend,25.34000015258789,-55.316001892089844,7.666759967803955,1.090000033378601,0.5587332974281075,0.225,93.89022218637463
38,37,dend[6]_2,dend[6]_1,dend,28.577800750732422,-65.8989028930664,18.32080078125,1.2350000143051147,0.4900674126781207,0.375,108.37864773523557
39,38,dend[7]_0,dend[6]_2,dend,28.15690040588379,-74.5551986694336,36.84260177612305,0.824999988079071,0.46994467733350587,0.45,127.50821002068733
40,39,dend[7]_1,dend[7]_0,dend,25.483299255371094,-83.54100036621094,56.67430114746094,0.7649999856948853,0.4507629247330765,0.525,151.2789090427299
41,40,dend[7]_2,dend[7]_1,dend,13.64840030670166,-87.32250213623047,68.26339721679688,0.5,0.4346997080622873,0.5750000000000001,175.0496080647725
42,38,dend[8]_0,dend[6]_2,dend,30.374799728393555,-71.8593978881836,22.911399841308594,1.2050000429153442,0.4744017739961194,0.4,117.73121009843237
43,42,dend[9]_0,dend[8]_0,dend,39.02669906616211,-75.64569854736328,33.657501220703125,1.149999976158142,0.4383590770567825,0.47500000000000003,130.4540482119985
44,43,dend[9]_1,dend[9]_0,dend,57.94499969482422,-79.18659973144531,44.81949996948242,0.7649999856948853,0.3966205878729264,0.55,151.68302526159812
45,44,dend[9]_2,dend[9]_1,dend,72.19779968261719,-79.70610046386719,56.71649932861328,0.675000011920929,0.3482105198011173,0.625,172.91200231119774
46,45,dend[9]_3,dend[9]_2,dend,75.22219848632812,-91.01920318603516,63.832000732421875,0.4699999988079071,0.3029943067719061,0.7000000000000001,194.1409793607974
47,46,dend[9]_4,dend[9]_3,dend,79.50740051269531,-96.00830078125,76.19200134277344,0.4399999976158142,0.26392330829368366,0.8250000000000001,215.36995641039695
