unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.6681117415428162,-0.8324105739593506,0.1491815447807312,7.589256763458252,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,1.151930332183838,-16.046411514282227,-0.8634397983551025,0.7350000143051147,0.9554270924105601,0.0,22.85471001790856
3,2,dend[0]_1,dend[0]_0,dend,3.024960517883301,-18.432811737060547,-3.5172598361968994,0.824999988079071,0.8967389917396743,0.0,37.49512780076746
4,3,dend[0]_2,dend[0]_1,dend,5.696240425109863,-24.284212112426758,-6.809239864349365,0.7049999833106995,0.8067445280381877,0.025,52.135545583626374
5,4,dend[1]_0,dend[0]_2,dend,3.333780527114868,-32.14971160888672,-11.440899848937988,0.32499998807907104,0.6717132983980693,0.1,69.09974241116699
6,5,dend[1]_1,dend[1]_0,dend,0.595535397529602,-48.46800994873047,-14.515199661254883,0.38499999046325684,0.5185017203392361,0.225,88.38771828338933
7,6,dend[1]_2,dend[1]_1,dend,-1.0851496458053589,-63.213111877441406,-17.10770034790039,0.35499998927116394,0.4032442065680881,0.325,107.67569415561165
8,7,dend[1]_3,dend[1]_2,dend,-0.25590357184410095,-81.06721496582031,-17.926000595092773,0.38499999046325684,0.31733981123760313,0.42500000000000004,126.963670027834
9,8,dend[1]_4,dend[1]_3,dend,-2.4451894760131836,-98.67091369628906,-18.851699829101562,0.4399999976158142,0.242130190688351,0.525,146.25164590005636
10,9,dend[1]_5,dend[1]_4,dend,-9.75139045715332,-116.01901245117188,-19.81559944152832,0.26499998569488525,0.19323289382219982,0.675,165.53962177227868
11,10,dend[1]_6,dend[1]_5,dend,-11.01449966430664,-134.07701110839844,-19.970699310302734,0.4699999988079071,0.15851208470574218,0.8250000000000001,184.82759764450103
12,11,dend[1]_7,dend[1]_6,dend,-15.215800285339355,-152.59600830078125,-18.683799743652344,0.23499999940395355,0.13530278290537884,1.0,204.11557351672337
13,12,dend[1]_8,dend[1]_7,dend,-23.720399856567383,-165.74002075195312,-19.61910057067871,0.38499999046325684,0.11632197882395835,1.25,223.40354938894572
14,13,dend[1]_9,dend[1]_8,dend,-31.940099716186523,-183.40701293945312,-26.164600372314453,0.32499998807907104,0.10331677894026761,1.475,242.69152526116804
15,14,dend[1]_10,dend[1]_9,dend,-40.1151008605957,-194.56800842285156,-30.794300079345703,0.23499999940395355,0.08974692710877676,1.975,261.9795011333904
16,15,dend[1]_11,dend[1]_10,dend,-45.009700775146484,-210.75401306152344,-33.90439987182617,0.17499999701976776,0.08492383077040315,2.375,281.2674770056127
17,16,dend[1]_12,dend[1]_11,dend,-48.23929977416992,-228.17701721191406,-36.12919998168945,0.20499999821186066,0.08182330829189587,2.7,300.555452877835
18,17,dend[1]_13,dend[1]_12,dend,-48.58300018310547,-243.95501708984375,-42.612998962402344,0.38499999046325684,0.08022998562394243,2.875,319.8434287500574
19,18,dend[1]_14,dend[1]_13,dend,-55.3031005859375,-251.90101623535156,-49.43600082397461,0.29499998688697815,0.07959890853947317,2.975,339.1314046222797
20,4,dend[2]_0,dend[0]_2,dend,11.643899917602539,-38.30461120605469,-13.741100311279297,0.6200000047683716,0.6004159801180606,0.17500000000000002,78.57817834869624
21,20,dend[3]_0,dend[2]_0,dend,20.83099937438965,-61.74421310424805,-11.666199684143066,0.38499999046325684,0.40015872103248684,0.275,105.31386562724296
22,21,dend[3]_1,dend[3]_0,dend,25.13949966430664,-74.21731567382812,-12.911100387573242,0.38499999046325684,0.29269347791170525,0.35000000000000003,120.54039243705556
23,22,dend[3]_2,dend[3]_1,dend,26.390399932861328,-87.8296127319336,-14.971500396728516,0.4099999964237213,0.2207610295800319,0.42500000000000004,135.76691924686818
24,23,dend[4]_0,dend[3]_2,dend,30.25790023803711,-111.44600677490234,-14.937600135803223,0.38499999046325684,0.15356166490459472,0.65,161.43143454380473
25,24,dend[5]_0,dend[4]_0,dend,22.1299991607666,-129.75601196289062,-18.32029914855957,0.32499998807907104,0.12211337486400105,1.1,189.6499979006064
26,25,dend[5]_1,dend[5]_0,dend,16.291200637817383,-144.416015625,-21.253999710083008,0.20499999821186066,0.11670497762335368,1.3250000000000002,209.98462083014928
27,26,dend[5]_2,dend[5]_1,dend,-3.779609441757202,-146.30601501464844,-22.53730010986328,0.35499998927116394,0.11539496994418255,1.425,230.31924375969217
28,24,dend[6]_0,dend[4]_0,dend,30.85260009765625,-132.46701049804688,-16.596500396728516,0.4099999964237213,0.1153458653369535,1.175,189.98241975183865
29,28,dend[6]_1,dend[6]_0,dend,36.364200592041016,-145.35301208496094,-22.143600463867188,0.29499998688697815,0.10230232553859316,1.6500000000000001,210.98188638384607
30,29,dend[6]_2,dend[6]_1,dend,50.62310028076172,-157.27101135253906,-24.467100143432617,0.20499999821186066,0.09828728956052711,1.9500000000000002,231.98135301585353
31,30,dend[7]_0,dend[6]_2,dend,54.53580093383789,-170.9660186767578,-33.3130989074707,0.14499999582767487,0.09718868516217873,2.0500000000000003,249.74763363274832
32,30,dend[8]_0,dend[6]_2,dend,49.2140007019043,-170.47601318359375,-31.13949966430664,0.4699999988079071,0.09724364427898202,2.0500000000000003,246.05832824854835
33,32,dend[9]_0,dend[8]_0,dend,44.58150100708008,-172.37301635742188,-31.080400466918945,0.11999999731779099,0.09710595054839097,2.0500000000000003,251.50407574824916
34,32,dend[10]_0,dend[8]_0,dend,48.241798400878906,-176.614013671875,-32.82400131225586,0.14499999582767487,0.09687654165548436,2.075,254.8550616220404
35,23,dend[11]_0,dend[3]_2,dend,31.84119987487793,-100.52900695800781,-17.559499740600586,0.4399999976158142,0.17277597908493222,0.55,151.8682482174198
36,35,dend[11]_1,dend[11]_0,dend,38.62580108642578,-110.94801330566406,-21.080299377441406,0.5,0.13432813768935456,0.7250000000000001,168.84437934871033
37,36,dend[11]_2,dend[11]_1,dend,45.375999450683594,-122.2490234375,-29.207500457763672,0.35499998927116394,0.11442299373108483,0.9,185.82051048000088
38,37,dend[11]_3,dend[11]_2,dend,56.27000045776367,-134.0340118408203,-33.10100173950195,0.26499998569488525,0.09918797467964101,1.1500000000000001,202.79664161129145
39,38,dend[11]_4,dend[11]_3,dend,68.75810241699219,-144.67401123046875,-37.45640182495117,0.5899999737739563,0.08543229406605372,1.675,219.772772742582
40,39,dend[12]_0,dend[11]_4,dend,78.40679931640625,-156.25701904296875,-48.09870147705078,0.29499998688697815,0.0792706528811586,2.3000000000000003,241.07541885512015
41,40,dend[12]_1,dend[12]_0,dend,96.11979675292969,-167.29701232910156,-59.6161994934082,0.17499999701976776,0.07545511459346183,2.7750000000000004,266.70457994890586
42,41,dend[12]_2,dend[12]_1,dend,109.11399841308594,-179.3410186767578,-70.99490356445312,0.20499999821186066,0.07391218503935608,3.0,292.3337410426916
43,39,dend[13]_0,dend[11]_4,dend,79.34700012207031,-152.1160125732422,-44.44960021972656,0.20499999821186066,0.08167055632061172,2.025,235.03588315941204
44,43,dend[13]_1,dend[13]_0,dend,94.62349700927734,-152.5010223388672,-44.555301666259766,0.17499999701976776,0.08117587313491638,2.1,248.58597286178156
45,44,dend[13]_2,dend[13]_1,dend,105.23100280761719,-157.8970184326172,-43.566001892089844,0.11999999731779099,0.08076128345258687,2.15,262.1360625641511
46,20,dend[14]_0,dend[2]_0,dend,23.909400939941406,-62.03881072998047,-11.55109977722168,0.29499998688697815,0.38894912952470484,0.30000000000000004,108.20603445072915
47,46,dend[14]_1,dend[14]_0,dend,34.81869888305664,-78.04051208496094,-10.393600463867188,0.17499999701976776,0.26832301254048774,0.47500000000000003,129.21689890751418
48,47,dend[14]_2,dend[14]_1,dend,44.572601318359375,-98.40721893310547,-6.686860084533691,0.20499999821186066,0.22068552932087096,0.625,150.2277633642992
