unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,128,dend[129]_0,dend[127]_4,dend,64.47350311279297,-234.23802185058594,57.01240158081055,0.20499999821186066,33.325452662885255,9.1,310.23504225313013
2,128,dend[128]_0,dend[127]_4,dend,59.242801666259766,-233.32301330566406,55.798500061035156,0.8550000190734863,34.62304268182109,9.200000000000001,310.7899513711281
3,92,dend[125]_0,dend[119]_2,dend,27.533897399902344,-48.754310607910156,2.3307902812957764,0.20499999821186066,5.369359665788608,5.4,103.91710445775573
4,130,dend[127]_0,dend[125]_4,dend,47.17179870605469,-134.5150146484375,14.065899848937988,0.6449999809265137,19.985518486323418,6.9,199.00890772643942
5,131,dend[122]_0,dend[120]_4,dend,17.339597702026367,-138.77301025390625,45.177101135253906,0.14499999582767487,29.78091070405426,7.4,216.51621851846016
6,129,dend[124]_0,dend[122]_4,dend,59.353599548339844,-202.7510223388672,85.53089904785156,0.26499998569488525,49.63314098801608,9.0,323.4343635824543
7,36,dend[119]_0,dend[97]_0,dend,14.188898086547852,1.3262485265731812,-3.070539712905884,0.5299999713897705,1.626899267264154,2.3000000000000003,46.31321612219074
8,92,dend[120]_0,dend[119]_2,dend,34.050201416015625,-48.602012634277344,4.213250160217285,0.675000011920929,6.034231352326293,5.6000000000000005,105.75857774972748
9,129,dend[123]_0,dend[122]_4,dend,57.26729965209961,-202.9490203857422,84.49410247802734,0.11999999731779099,51.06263609902507,9.1,324.00048831756834
10,11,dend[114]_0,dend[112]_0,dend,170.06500244140625,-228.65402221679688,-87.1583023071289,0.4399999976158142,55.51314514310879,11.700000000000001,381.43476007545553
11,19,dend[112]_0,dend[110]_0,dend,143.593994140625,-206.70501708984375,-89.38909912109375,0.23499999940395355,44.14561511473169,10.600000000000001,345.6950419009612
12,130,dend[126]_0,dend[125]_4,dend,40.59510040283203,-136.68101501464844,11.56350040435791,0.20499999821186066,22.368554129205886,7.300000000000001,197.36429691983398
13,11,dend[113]_0,dend[112]_0,dend,156.41400146484375,-219.02801513671875,-86.42459869384766,0.26499998569488525,51.78443950012625,11.4,367.4506299186483
14,95,dend[118]_0,dend[106]_2,dend,148.6060028076172,-157.9840087890625,-69.75170135498047,0.29499998688697815,39.60696438123236,10.4,307.55330797969026
