unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.6438901424407959,-1.282930850982666,-0.19725073873996735,5.872671127319336,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-2.62624192237854,-16.273012161254883,-2.5783097743988037,0.4399999976158142,0.8913196662970232,0.025,23.103621746759124
3,2,dend[0]_1,dend[0]_0,dend,-3.4682118892669678,-24.296010971069336,-6.402560234069824,0.7350000143051147,0.7164422822652938,0.15000000000000002,40.46440729611507
4,3,dend[0]_2,dend[0]_1,dend,-6.94854211807251,-29.467811584472656,-6.84375,1.2949999570846558,0.5840748083564389,0.325,57.82519284547101
5,4,dend[1]_0,dend[0]_2,dend,-19.430601119995117,-36.98161315917969,-5.640130043029785,0.5299999713897705,0.5340905697242216,0.42500000000000004,74.27479095418191
6,5,dend[2]_0,dend[1]_0,dend,-24.02880096435547,-37.56391143798828,-8.280229568481445,1.1749999523162842,0.48248686197709045,0.675,84.3378428928566
7,6,dend[3]_0,dend[2]_0,dend,-26.064102172851562,-36.91271209716797,-13.85219955444336,0.7950000166893005,0.46495065824453213,0.75,91.47646241180857
8,7,dend[4]_0,dend[3]_0,dend,-31.392702102661133,-37.82781219482422,-20.69770050048828,0.7350000143051147,0.44840897089357556,0.8250000000000001,106.79198811677165
9,8,dend[4]_1,dend[4]_0,dend,-34.788299560546875,-38.84611129760742,-28.19580078125,0.7649999856948853,0.4188982924908169,0.9500000000000001,127.73349369807738
10,9,dend[4]_2,dend[4]_1,dend,-45.249000549316406,-46.849212646484375,-35.31129837036133,0.7950000166893005,0.40048499323770415,1.0,148.67499927938312
11,10,dend[4]_3,dend[4]_2,dend,-38.07889938354492,-52.79881286621094,-52.10559844970703,0.4699999988079071,0.3850038597117075,1.05,169.61650486068888
12,11,dend[4]_4,dend[4]_3,dend,-33.06560134887695,-68.87891387939453,-73.23290252685547,0.6200000047683716,0.37821552939773107,1.075,190.5580104419946
13,7,dend[5]_0,dend[3]_0,dend,-35.11130142211914,-42.68381118774414,-11.803799629211426,0.29499998688697815,0.4374772139240582,0.8250000000000001,106.07771119526495
14,13,dend[5]_1,dend[5]_0,dend,-47.83919906616211,-49.58501052856445,-16.057100296020508,0.23499999940395355,0.35461487003825426,0.9750000000000001,125.59066293355734
15,14,dend[5]_2,dend[5]_1,dend,-56.67169952392578,-61.2583122253418,-19.41349983215332,0.6449999809265137,0.3035433331161479,1.1,145.10361467184973
16,15,dend[5]_3,dend[5]_2,dend,-65.03079986572266,-74.13311767578125,-22.573200225830078,0.4099999964237213,0.2698360346874527,1.175,164.6165664101421
17,16,dend[5]_4,dend[5]_3,dend,-67.02960205078125,-91.50891876220703,-20.999300003051758,0.38499999046325684,0.2371923035991615,1.2750000000000001,184.1295181484345
