unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,94,dend[126]_0,dend[125]_2,dend,39.693599700927734,-125.82801818847656,19.284400939941406,0.20499999821186066,21.79678396818493,5.2,191.43716779933243
2,134,dend[129]_0,dend[127]_4,dend,65.61499786376953,-202.6000213623047,61.61009979248047,0.20499999821186066,31.460525638041844,6.2,284.47198481692914
3,203,dend[122]_0,dend[120]_14,dend,-10.28130054473877,-321.08099365234375,16.75670051574707,0.14499999582767487,85.65939896030599,7.9,418.6456199715598
4,133,dend[123]_0,dend[122]_4,dend,7.692918300628662,-396.8890075683594,55.28179931640625,0.11999999731779099,127.16150524172657,9.600000000000001,527.2129780910872
5,134,dend[128]_0,dend[127]_4,dend,61.16239929199219,-203.916015625,63.63349914550781,0.8550000190734863,33.297150466837806,6.300000000000001,287.86988317004176
6,94,dend[127]_0,dend[125]_2,dend,45.86830139160156,-122.73301696777344,19.765199661254883,0.6449999809265137,19.04636810992754,4.9,191.1685407229266
7,99,dend[120]_0,dend[119]_2,dend,39.07270050048828,-51.779510498046875,7.504280090332031,0.26499998569488525,6.304257033004205,4.2,116.70778769891876
8,98,dend[114]_0,dend[112]_2,dend,246.14599609375,-285.2619934082031,-10.787400245666504,0.4399999976158142,85.62588921606948,9.600000000000001,461.9056604928101
9,203,dend[121]_0,dend[120]_14,dend,-11.793201446533203,-313.7449951171875,19.200700759887695,0.20499999821186066,80.27763058566562,7.7,408.5387530727534
10,99,dend[125]_0,dend[119]_2,dend,33.17729949951172,-57.62001037597656,5.796020030975342,0.8849999904632568,6.537552148144307,4.0,119.09045069598511
11,27,dend[115]_0,dend[109]_0,dend,199.06900024414062,-242.18101501464844,-21.075000762939453,0.23499999940395355,51.0003067525166,7.7,381.88862431225726
12,11,dend[116]_0,dend[115]_0,dend,205.5469970703125,-243.07101440429688,-24.467100143432617,0.20499999821186066,60.90039712924409,8.4,392.2707434527096
13,133,dend[124]_0,dend[122]_4,dend,8.220248222351074,-396.4649963378906,56.844200134277344,0.26499998569488525,124.10798238412342,9.5,526.1419630172097
14,16,dend[108]_0,dend[107]_0,dend,178.21299743652344,-229.29901123046875,-18.16699981689453,0.20499999821186066,49.35078073481211,7.7,372.479356574497
15,98,dend[113]_0,dend[112]_2,dend,230.63900756835938,-275.8070068359375,-8.818169593811035,0.26499998569488525,79.969156553852,9.4,447.47679336600976
16,96,dend[107]_0,dend[106]_2,dend,187.56300354003906,-229.74501037597656,-16.756099700927734,1.059999942779541,43.458744799185155,7.1000000000000005,365.1409920243696
17,173,dend[106]_0,dend[102]_8,dend,141.06500244140625,-196.29501342773438,-9.473480224609375,0.7350000143051147,25.14926219312085,5.7,303.19379707553986
18,21,dend[112]_0,dend[110]_0,dend,194.52200317382812,-248.78701782226562,-8.407480239868164,0.26499998569488525,58.97048266393332,8.200000000000001,395.99458806477986
19,11,dend[117]_0,dend[115]_0,dend,211.46099853515625,-249.57301330566406,-27.258399963378906,0.17499999701976776,60.971642126050156,8.5,399.1167527622327
20,21,dend[111]_0,dend[110]_0,dend,190.95899963378906,-250.86502075195312,-6.730279922485352,0.11999999731779099,69.03428707853664,8.9,396.6185001916969
21,27,dend[110]_0,dend[109]_0,dend,191.56399536132812,-239.6850128173828,-15.973199844360352,0.20499999821186066,49.303644140815315,7.5,380.17131307206756
22,40,dend[119]_0,dend[97]_0,dend,15.963897705078125,3.7570385932922363,-2.1330296993255615,0.5299999713897705,1.652574875683609,1.7000000000000002,47.46816359029309
23,104,dend[104]_0,dend[103]_2,dend,150.3679962158203,-251.60401916503906,-13.741399765014648,0.20499999821186066,65.17729601714034,8.3,357.8536333485957
24,25,dend[101]_0,dend[100]_0,dend,43.34429931640625,-41.844512939453125,-9.55657958984375,0.26499998569488525,6.951419852472591,4.4,106.35073707201516
25,32,dend[100]_0,dend[98]_0,dend,36.651798248291016,-24.392810821533203,-7.01200008392334,0.29499998688697815,5.188380416519057,4.0,87.39984790913249
26,96,dend[118]_0,dend[106]_2,dend,192.46099853515625,-218.53302001953125,-18.14109992980957,0.29499998688697815,55.76531012497789,8.200000000000001,376.63137735749484
27,16,dend[109]_0,dend[107]_0,dend,190.3159942626953,-232.92501831054688,-17.855199813842773,0.20499999821186066,44.26080007592195,7.2,369.74818800300176
28,25,dend[102]_0,dend[100]_0,dend,49.6879997253418,-48.71721267700195,-11.180800437927246,0.29499998688697815,7.42518193605801,4.3,115.3135990128126
29,104,dend[105]_0,dend[103]_2,dend,154.8939971923828,-252.9110107421875,-11.645899772644043,0.20499999821186066,65.79958528691435,8.3,360.2644955347292
30,35,dend[96]_0,dend[94]_0,dend,22.148698806762695,56.78928756713867,22.199899673461914,0.7350000143051147,3.1957366498018303,3.2,74.96771885087709
31,190,dend[86]_0,dend[85]_10,dend,80.2750015258789,252.5649871826172,44.51959991455078,0.38499999046325684,18.195334781125748,6.0,296.30230264793323
32,40,dend[98]_0,dend[97]_0,dend,16.965898513793945,-1.9957515001296997,-3.974059820175171,0.23499999940395355,2.0725416114699224,2.3000000000000003,52.718735991543014
33,173,dend[103]_0,dend[102]_8,dend,132.8489990234375,-201.88002014160156,-7.655970096588135,0.11999999731779099,31.4090240893082,6.4,300.9621305511345
34,139,dend[88]_0,dend[87]_4,dend,105.73400115966797,348.4259948730469,59.25749969482422,0.5600000023841858,27.168668320257442,6.6000000000000005,401.7551134013692
35,55,dend[94]_0,dend[68]_0,dend,12.095897674560547,40.02219009399414,12.325300216674805,0.6200000047683716,1.663784117962346,1.8,50.95988242697632
36,190,dend[87]_0,dend[85]_10,dend,86.00779724121094,259.2659912109375,49.45800018310547,0.32499998807907104,17.391233947042128,5.800000000000001,302.52188715723736
37,32,dend[99]_0,dend[98]_0,dend,30.120298385620117,-19.852710723876953,4.144350051879883,0.26499998569488525,3.5943911713795904,3.4000000000000004,79.68994232405169
38,35,dend[95]_0,dend[94]_0,dend,15.595598220825195,59.43128967285156,24.708099365234375,0.32499998807907104,2.7430856252268385,3.0,75.56779587429054
39,42,dend[92]_0,dend[91]_0,dend,140.08200073242188,360.05999755859375,99.80590057373047,0.26499998569488525,39.48633947853847,7.800000000000001,446.2887722817266
40,247,dend[97]_0,dend[39]_0,dend,6.966018199920654,16.907089233398438,-2.5757596492767334,1.0299999713897705,1.1297961097183304,0.4,30.255642873308744
41,111,dend[76]_0,dend[75]_2,dend,80.83260345458984,341.41400146484375,1.1249001026153564,0.14499999582767487,47.433362678731356,7.9,412.9185218297387
42,51,dend[91]_0,dend[89]_0,dend,134.94200134277344,355.4580078125,85.14730072021484,0.4099999964237213,35.391205868766185,7.4,431.08348435695694
