unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,5,apic[146]_0,apic[144]_0,apic,-100.42613220214844,185.20901489257812,41.9208869934082,0.4399999976158142,3.863807125569086,6.1000000000000005,245.14297363596467
2,114,apic[150]_0,apic[148]_4,apic,-173.49131774902344,285.2970275878906,91.29002380371094,0.33000001311302185,13.152906636227724,7.9,383.4177227892532
3,85,apic[147]_0,apic[146]_2,apic,-131.91563415527344,221.67601013183594,60.7061767578125,0.29499998688697815,7.2366814592234,7.300000000000001,301.25383312463003
4,5,apic[145]_0,apic[144]_0,apic,-101.67960357666016,186.00701904296875,40.17445755004883,0.2199999988079071,5.278729448502989,6.7,246.16807225766217
5,19,apic[144]_0,apic[140]_0,apic,-86.21305084228516,165.33901977539062,33.394371032714844,0.5550000071525574,3.193237591744556,5.6000000000000005,220.2529652540547
6,132,apic[130]_0,apic[129]_12,apic,-59.53660583496094,480.3640441894531,-39.41419219970703,0.10999999940395355,54.93779708041731,9.0,587.9774024761216
7,85,apic[148]_0,apic[146]_2,apic,-122.33226013183594,222.77401733398438,53.589942932128906,0.3700000047683716,6.269175433331833,7.0,292.8320510761068
8,10,apic[143]_0,apic[141]_0,apic,-77.77471160888672,165.06201171875,24.808549880981445,0.1850000023841858,4.734011979729888,6.5,215.63024717446268
9,114,apic[149]_0,apic[148]_4,apic,-168.95945739746094,276.7440185546875,95.98029327392578,0.699999988079071,12.166616757966588,7.800000000000001,380.0820358938269
10,19,apic[141]_0,apic[140]_0,apic,-74.16971588134766,157.22801208496094,27.879770278930664,0.25999999046325684,2.8311938986960117,5.2,206.0482838297816
11,10,apic[142]_0,apic[141]_0,apic,-73.08261108398438,163.67800903320312,19.546716690063477,0.1850000023841858,5.542724433176732,6.800000000000001,218.29658590939437
12,24,apic[139]_0,apic[138]_0,apic,-76.51071166992188,136.39501953125,28.69222640991211,0.4050000011920929,3.305967609188832,5.7,186.9932949163989
13,6,apic[132]_0,apic[130]_0,apic,-56.0175895690918,495.53802490234375,-51.94816970825195,0.4050000011920929,83.71229261586524,9.5,611.8306120900754
14,39,apic[125]_0,apic[123]_0,apic,-74.77867889404297,191.7960205078125,-1.1034365892410278,0.6650000214576721,4.355677393479208,6.4,243.81876817009146
15,26,apic[137]_0,apic[135]_0,apic,-75.49983978271484,526.8150024414062,0.4899483919143677,0.4399999976158142,90.4662829494441,9.4,633.5130528943987
16,23,apic[134]_0,apic[133]_0,apic,-79.63703155517578,487.7400207519531,-25.377880096435547,0.3700000047683716,61.29185366436158,9.1,592.2355880280302
17,90,apic[129]_0,apic[125]_2,apic,-70.6224136352539,250.739013671875,-21.69610023498535,0.8849999904632568,8.177415607012204,7.4,316.0983531543168
18,37,apic[127]_0,apic[126]_0,apic,-77.37474822998047,253.4840087890625,-61.076656341552734,0.29499998688697815,15.616635741107352,8.1,347.22734513202334
19,24,apic[140]_0,apic[138]_0,apic,-73.42151641845703,142.18101501464844,24.44643783569336,0.7749999761581421,2.4232157580306684,4.6000000000000005,189.96793849795694
20,26,apic[136]_0,apic[135]_0,apic,-81.4383316040039,522.4739990234375,3.3228321075439453,0.10999999940395355,85.98400153080254,9.4,631.231154552185
21,46,apic[113]_0,apic[112]_0,apic,-66.30809020996094,125.01201629638672,9.55052661895752,0.7749999761581421,1.8105597433224039,3.5,166.09296225161813
22,44,apic[111]_0,apic[110]_0,apic,-64.70791625976562,118.27601623535156,-0.2779821753501892,0.47999998927116394,3.080697445853058,5.4,163.4126438842834
23,132,apic[133]_0,apic[129]_12,apic,-73.26917266845703,479.40704345703125,-19.8684024810791,0.8450000286102295,46.854545324541384,8.8,576.8967765632736
24,46,apic[138]_0,apic[112]_0,apic,-64.10530090332031,122.98101806640625,16.4476261138916,0.6650000214576721,1.8651769165500347,3.6,166.20282804388336
25,102,apic[117]_0,apic[116]_2,apic,-99.23760986328125,183.5860137939453,-14.670222282409668,0.2199999988079071,7.454620756131807,7.300000000000001,245.65139235737092
26,23,apic[135]_0,apic[133]_0,apic,-78.13530731201172,501.5970153808594,-8.071805953979492,0.2199999988079071,60.54750928494309,9.1,604.4045626170795
27,39,apic[124]_0,apic[123]_0,apic,-82.3917465209961,189.17901611328125,3.50933837890625,0.4050000011920929,5.941110669711814,7.0,241.87292745634528
28,30,apic[122]_0,apic[121]_0,apic,-82.91236877441406,184.0950164794922,6.134633541107178,0.2199999988079071,10.46285936619181,7.7,236.7156712308725
29,37,apic[128]_0,apic[126]_0,apic,-81.12731170654297,249.38201904296875,-52.80682373046875,0.2199999988079071,14.290730255042238,8.1,341.6486395865844
30,40,apic[121]_0,apic[119]_0,apic,-70.04244232177734,169.9870147705078,4.581494331359863,0.47999998927116394,3.077838777577702,5.5,214.86542631389756
31,6,apic[131]_0,apic[130]_0,apic,-53.488948822021484,497.06402587890625,-56.076080322265625,0.2199999988079071,89.41280465982733,9.600000000000001,614.6221756820377
32,102,apic[118]_0,apic[116]_2,apic,-99.44121551513672,186.65802001953125,-13.078076362609863,0.29499998688697815,7.836070218943939,7.300000000000001,246.8956700529992
33,21,apic[114]_0,apic[113]_0,apic,-74.4526596069336,139.17701721191406,2.7803454399108887,0.5550000071525574,3.047221626418554,5.4,187.62106090020842
34,54,apic[106]_0,apic[105]_0,apic,-63.43486022949219,100.48301696777344,4.157626628875732,0.5550000071525574,5.4366968357133,6.6000000000000005,155.76073672423797
35,40,apic[120]_0,apic[119]_0,apic,-69.00299072265625,172.51402282714844,-4.713437080383301,0.33000001311302185,7.263712056888014,7.2,223.8255594999494
36,41,apic[102]_0,apic[101]_0,apic,-29.71302604675293,69.86031341552734,11.53319263458252,0.4399999976158142,2.1165389825830845,4.0,110.6408365897976
37,90,apic[126]_0,apic[125]_2,apic,-74.66988372802734,245.27902221679688,-38.8472785949707,0.2199999988079071,10.236064044556755,7.7,321.75181327027684
38,21,apic[115]_0,apic[113]_0,apic,-68.94976806640625,135.18301391601562,10.411184310913086,0.8100000023841858,2.016772988335915,3.9000000000000004,179.59988992331142
39,30,apic[123]_0,apic[121]_0,apic,-71.90298461914062,176.68601989746094,0.03197937831282616,0.47999998927116394,3.4907840004279334,5.9,225.4012544420217
40,38,apic[119]_0,apic[115]_0,apic,-72.51145935058594,155.25302124023438,11.089067459106445,0.625,2.384106392995271,4.7,196.47120633173097
41,49,apic[101]_0,apic[100]_0,apic,-37.20302200317383,69.32601165771484,16.65772819519043,0.625,1.274002004120854,1.5,101.873748288364
42,47,apic[109]_0,apic[108]_0,apic,-50.30779266357422,119.06001281738281,8.997563362121582,0.4050000011920929,2.900304425336845,5.2,151.468180748514
43,133,apic[88]_0,apic[82]_0,apic,-17.91409683227539,48.23001480102539,12.32715129852295,1.215000033378601,1.1227581891331275,0.7000000000000001,68.23027828576886
44,47,apic[110]_0,apic[108]_0,apic,-52.03169631958008,108.4640121459961,11.700944900512695,0.9200000166893005,1.5995613447557016,2.8000000000000003,144.85299747862462
45,38,apic[116]_0,apic[115]_0,apic,-76.50772094726562,145.17701721191406,7.409970760345459,0.5899999737739563,2.4407738518933426,4.800000000000001,191.66741768320003
46,44,apic[112]_0,apic[110]_0,apic,-57.781524658203125,112.45702362060547,10.067790031433105,1.0700000524520874,1.6555345209758285,3.0,152.4583671364228
47,56,apic[108]_0,apic[104]_0,apic,-45.77658462524414,101.4330062866211,15.592577934265137,0.9599999785423279,1.5027450643714575,2.5,134.77711003030214
48,54,apic[107]_0,apic[105]_0,apic,-55.85599136352539,99.98411560058594,1.643568992614746,0.47999998927116394,3.551552073028723,5.800000000000001,151.97396872578702
49,58,apic[100]_0,apic[96]_0,apic,-37.28225326538086,69.2004165649414,17.67537498474121,1.215000033378601,1.261507207197772,1.4000000000000001,99.83875159174941
50,53,apic[98]_0,apic[97]_0,apic,-51.74538803100586,84.73001861572266,37.09380340576172,0.625,4.41834141364424,6.1000000000000005,133.8648367564005
51,149,apic[87]_0,apic[85]_0,apic,-41.296119689941406,49.04301452636719,55.321189880371094,0.1850000023841858,3.2771840240210306,5.4,110.80892486279181
52,53,apic[99]_0,apic[97]_0,apic,-40.01047897338867,82.04231262207031,39.52308654785156,0.5899999737739563,3.186033403147694,5.4,125.73343349617886
53,58,apic[97]_0,apic[96]_0,apic,-34.82867431640625,71.41881561279297,26.66824722290039,0.4399999976158142,1.7002657568977997,3.0,106.83732770926603
54,56,apic[105]_0,apic[104]_0,apic,-47.72636032104492,95.12601470947266,9.961609840393066,0.4050000011920929,1.786992646514298,3.4000000000000004,136.1631672188818
55,41,apic[103]_0,apic[101]_0,apic,-37.17240905761719,78.55621337890625,8.906037330627441,0.29499998688697815,2.632735773153892,4.800000000000001,113.17096698111511
56,49,apic[104]_0,apic[100]_0,apic,-41.48232650756836,81.77661895751953,18.378944396972656,0.9950000047683716,1.3641559024388858,1.8,115.25392935196363
57,43,apic[89]_0,apic[88]_0,apic,-18.95649528503418,31.71761703491211,1.0834797620773315,0.25999999046325684,2.2181587783358014,4.1000000000000005,92.5788046674533
58,64,apic[96]_0,apic[92]_0,apic,-35.1192741394043,64.4856185913086,16.383920669555664,1.1050000190734863,1.2368187875818355,1.3,95.09421749277027
59,64,apic[93]_0,apic[92]_0,apic,-43.794124603271484,73.6693115234375,26.802928924560547,0.33000001311302185,2.19815215347205,4.1000000000000005,110.1735980776359
60,62,apic[91]_0,apic[90]_0,apic,-14.4840669631958,53.113616943359375,26.155567169189453,0.5149999856948853,1.9758726883108533,3.7,94.63274985026409
61,59,apic[95]_0,apic[93]_0,apic,-59.645145416259766,88.64181518554688,39.081809997558594,0.25999999046325684,5.905761110376632,6.5,137.34749051915657
62,43,apic[90]_0,apic[88]_0,apic,-23.87149429321289,53.987815856933594,10.923126220703125,1.2899999618530273,1.1630658054654195,0.9,78.27566147329352
63,59,apic[94]_0,apic[93]_0,apic,-64.81681823730469,95.5409164428711,46.041893005371094,0.2199999988079071,6.91106781801945,6.800000000000001,147.46098896887958
64,62,apic[92]_0,apic[90]_0,apic,-30.0886173248291,58.80281448364258,13.43659496307373,1.2899999618530273,1.1991058307124343,1.1,87.30301035746815
65,1,apic[146]_1,apic[146]_0,apic,-106.96830749511719,199.6160125732422,41.70839309692383,0.6650000214576721,4.161290596740436,6.2,260.7107752477156
66,4,apic[145]_1,apic[145]_0,apic,-105.35790252685547,205.2340087890625,38.40540313720703,0.2199999988079071,7.047198979620459,7.2,263.7860711128082
67,7,apic[148]_1,apic[148]_0,apic,-133.28433227539062,234.4910125732422,62.14741516113281,0.4050000011920929,6.758789264421317,7.1000000000000005,310.3711978976362
68,8,apic[143]_1,apic[143]_0,apic,-81.1293716430664,179.4910125732422,22.272716522216797,0.29499998688697815,6.248685657045781,7.1000000000000005,228.99132156030197
69,11,apic[142]_1,apic[142]_0,apic,-66.12540435791016,176.6590118408203,5.317638397216797,0.14499999582767487,6.818156106002819,7.1000000000000005,236.99033776509702
70,9,apic[149]_1,apic[149]_0,apic,-180.42544555664062,286.43902587890625,104.03826904296875,0.4050000011920929,12.843093697309534,7.9,396.7296841355025
71,14,apic[125]_1,apic[125]_0,apic,-75.42730712890625,212.916015625,-11.192742347717285,0.625,4.8046850473719545,6.6000000000000005,268.68915089737334
72,15,apic[137]_1,apic[137]_0,apic,-65.29337310791016,543.156982421875,-1.7607781887054443,0.2199999988079071,97.15720244388385,9.700000000000001,653.1298998583067
73,12,apic[139]_1,apic[139]_0,apic,-86.84819793701172,150.2250213623047,42.22467041015625,0.4050000011920929,4.522325741525093,6.4,207.4018461134092
74,16,apic[134]_1,apic[134]_0,apic,-83.88751983642578,493.8980407714844,-36.08909225463867,0.10999999940395355,74.3665321157947,9.5,606.4977724406624
75,17,apic[129]_1,apic[129]_0,apic,-66.76377868652344,266.72503662109375,-32.03895950317383,0.8100000023841858,8.80699016973774,7.5,336.30560948635815
76,18,apic[127]_1,apic[127]_0,apic,-84.52424621582031,260.5630187988281,-75.65208435058594,0.29499998688697815,16.846919365021122,8.200000000000001,366.6642322915549
77,20,apic[136]_1,apic[136]_0,apic,-81.06295013427734,532.3629760742188,11.061006546020508,0.4399999976158142,94.8171502841833,9.600000000000001,646.2842048316654
78,27,apic[124]_1,apic[124]_0,apic,-92.78327941894531,204.28501892089844,5.693112373352051,0.25999999046325684,8.299367099477243,7.4,262.8516287561348
79,33,apic[114]_1,apic[114]_0,apic,-82.52281951904297,144.8900146484375,-16.338699340820312,0.25999999046325684,4.129625643020502,6.300000000000001,209.72460723389872
80,36,apic[102]_1,apic[102]_0,apic,-14.905197143554688,68.57681274414062,7.203108310699463,0.2199999988079071,3.392978654536764,5.5,127.14658881113607
81,42,apic[109]_1,apic[109]_0,apic,-49.04163360595703,145.70001220703125,5.446046829223633,0.7350000143051147,3.6184207873521923,5.800000000000001,173.59274733698862
82,45,apic[116]_1,apic[116]_0,apic,-85.1434326171875,160.2250213623047,4.3206400871276855,0.3700000047683716,2.9383343172126453,5.4,209.74126882308087
83,55,apic[103]_1,apic[103]_0,apic,-38.0389518737793,92.25891876220703,-6.24799108505249,0.625,4.703065847119157,6.2,134.73697998508862
84,60,apic[91]_1,apic[91]_0,apic,0.7852767109870911,43.5769157409668,40.306522369384766,0.8849999904632568,3.137401632321109,5.2,118.42714392020238
