unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.45224079489707947,0.36724549531936646,0.1477213054895401,7.958840370178223,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-6.672415256500244,-19.764081954956055,1.2323122024536133,0.675000011920929,0.9362445426184117,0.05,25.28109689714322
3,2,dend[0]_1,dend[0]_0,dend,-20.703704833984375,-31.047983169555664,6.5344624519348145,0.5600000023841858,0.8330249674920542,0.125,47.16351370399288
4,3,dend[0]_2,dend[0]_1,dend,-31.189905166625977,-42.87858200073242,3.6141722202301025,0.6449999809265137,0.7208543555295942,0.225,69.04593051084252
5,4,dend[0]_3,dend[0]_2,dend,-38.21830368041992,-60.312782287597656,7.514022350311279,0.6200000047683716,0.6005705901324822,0.375,90.92834731769217
6,5,dend[0]_4,dend[0]_3,dend,-43.10020446777344,-76.00228118896484,7.4955525398254395,0.5,0.5010064885726773,0.47500000000000003,112.81076412454183
7,6,dend[0]_5,dend[0]_4,dend,-46.929203033447266,-91.38668823242188,8.478772163391113,0.5600000023841858,0.40306021639132805,0.5750000000000001,134.69318093139148
8,7,dend[0]_6,dend[0]_5,dend,-55.77690505981445,-106.95699310302734,10.461602210998535,0.5899999737739563,0.3243125550860998,0.7000000000000001,156.57559773824116
9,8,dend[1]_0,dend[0]_6,dend,-58.8900032043457,-125.01698303222656,6.859792232513428,0.4099999964237213,0.2612348729421377,0.9,179.39911002607047
10,9,dend[1]_1,dend[1]_0,dend,-64.16830444335938,-147.885986328125,2.846642255783081,0.32499998807907104,0.22643517212617623,1.1500000000000001,203.16371779487952
11,10,dend[1]_2,dend[1]_1,dend,-71.82670593261719,-168.9119873046875,-0.9202377796173096,0.38499999046325684,0.2110064537227004,1.4500000000000002,226.92832556368856
12,11,dend[2]_0,dend[1]_2,dend,-75.23001098632812,-183.114990234375,-1.8457179069519043,0.20499999821186066,0.2094401219334995,1.5,241.30176484788936
13,11,dend[3]_0,dend[1]_2,dend,-76.73590850830078,-180.57498168945312,-2.236017942428589,0.4399999976158142,0.2090920285221687,1.5,240.1123623224449
14,13,dend[4]_0,dend[3]_0,dend,-75.7809066772461,-188.76698303222656,-6.856217384338379,0.20499999821186066,0.20807746060904825,1.5250000000000001,249.51646369417128
15,13,dend[5]_0,dend[3]_0,dend,-82.88871002197266,-187.614990234375,-2.5842478275299072,0.23499999940395355,0.20784918344162656,1.55,249.3126973072628
16,15,dend[6]_0,dend[5]_0,dend,-85.40110778808594,-193.82798767089844,-3.7827279567718506,0.35499998927116394,0.2062721935845178,1.5750000000000002,258.1923588252698
17,15,dend[7]_0,dend[5]_0,dend,-86.2008056640625,-200.47898864746094,-8.536067962646484,0.4699999988079071,0.2054761955975476,1.625,265.21944671718524
18,8,dend[8]_0,dend[0]_6,dend,-57.63560485839844,-125.2509765625,8.84149169921875,0.38499999046325684,0.2668271960348064,0.8500000000000001,178.03988546170524
19,18,dend[8]_1,dend[8]_0,dend,-62.342403411865234,-148.22998046875,8.625882148742676,0.4099999964237213,0.23543410735007408,1.0250000000000001,199.08604410178378
20,19,dend[8]_2,dend[8]_1,dend,-69.49591064453125,-165.9919891357422,9.890992164611816,0.38499999046325684,0.21053029888533714,1.2750000000000001,220.13220274186236
21,20,dend[8]_3,dend[8]_2,dend,-79.27000427246094,-183.63198852539062,6.203822612762451,0.32499998807907104,0.20073875086830612,1.475,241.1783613819409
