unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-1.7493788003921509,1.1430913209915161,-0.21442179381847382,7.216344356536865,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-14.980496406555176,-13.119501113891602,-0.6293749809265137,1.0,0.9070332647822367,0.0,24.783743323386744
3,2,dend[1]_0,dend[0]_0,dend,-23.689695358276367,-20.95250129699707,1.8730800151824951,0.8550000190734863,0.7750683456500852,0.1,45.07644795753032
4,3,dend[2]_0,dend[1]_0,dend,-38.06169509887695,-29.929201126098633,4.892759799957275,0.7649999856948853,0.6795895992840723,0.17500000000000002,63.704165376387095
5,4,dend[3]_0,dend[2]_0,dend,-56.98409652709961,-40.291099548339844,9.236709594726562,0.5600000023841858,0.5272698265277271,0.42500000000000004,88.41723882885688
6,5,dend[3]_1,dend[3]_0,dend,-73.90729522705078,-42.25519943237305,17.15169906616211,0.7649999856948853,0.42838646792423857,0.6000000000000001,109.78196587196834
7,6,dend[3]_2,dend[3]_1,dend,-90.00209045410156,-39.14680099487305,27.11680030822754,0.6200000047683716,0.3494606211779219,0.775,131.1466929150798
8,7,dend[3]_3,dend[3]_2,dend,-106.7199935913086,-40.93069839477539,38.65639877319336,0.35499998927116394,0.3107314316662546,0.875,152.51141995819125
9,8,dend[3]_4,dend[3]_3,dend,-125.09200286865234,-46.40480041503906,53.31719970703125,0.23499999940395355,0.2678164974807043,1.0250000000000001,173.87614700130274
10,9,dend[3]_5,dend[3]_4,dend,-142.52699279785156,-45.205501556396484,65.60350036621094,0.675000011920929,0.23513029190855056,1.25,195.24087404441417
11,10,dend[3]_6,dend[3]_5,dend,-161.9550018310547,-39.667598724365234,78.7791976928711,0.29499998688697815,0.2236669660144025,1.4000000000000001,216.60560108752566
12,4,dend[4]_0,dend[2]_0,dend,-57.09519577026367,-46.191001892089844,0.7361680269241333,0.4099999964237213,0.5398054689722459,0.4,88.59717278740983
13,12,dend[4]_1,dend[4]_0,dend,-64.71919250488281,-64.73059844970703,0.675478994846344,0.7950000166893005,0.41709333627092204,0.6000000000000001,110.32176774762718
14,13,dend[4]_2,dend[4]_1,dend,-69.22798919677734,-84.69380187988281,0.9350429773330688,0.35499998927116394,0.3093851016234927,0.75,132.0463627078445
15,14,dend[4]_3,dend[4]_2,dend,-75.29589080810547,-104.69000244140625,0.5323200225830078,0.35499998927116394,0.23340645998116616,0.9,153.77095766806187
16,15,dend[4]_4,dend[4]_3,dend,-80.56359100341797,-125.2770004272461,1.9505300521850586,0.17499999701976776,0.17312730375563726,1.125,175.49555262827923
17,16,dend[5]_0,dend[4]_4,dend,-92.26409149169922,-140.23899841308594,-0.1476760059595108,0.23499999940395355,0.14248383178272786,1.375,196.2816563583221
18,17,dend[5]_1,dend[5]_0,dend,-106.16499328613281,-148.45199584960938,-4.528800010681152,0.6449999809265137,0.1183135258511929,1.7000000000000002,216.1292688581905
19,18,dend[5]_2,dend[5]_1,dend,-126.89998626708984,-151.83799743652344,-7.951749801635742,0.20499999821186066,0.10457370578684898,2.075,235.97688135805893
20,19,dend[5]_3,dend[5]_2,dend,-147.0330047607422,-154.45899963378906,-9.361459732055664,0.14499999582767487,0.09951340796505193,2.3000000000000003,255.82449385792734
21,20,dend[5]_4,dend[5]_3,dend,-165.33099365234375,-155.531005859375,-7.278989791870117,0.09000000357627869,0.09682689133001268,2.45,275.67210635779577
22,16,dend[6]_0,dend[4]_4,dend,-89.87039184570312,-135.36300659179688,0.8248429894447327,0.29499998688697815,0.15558220162145975,1.25,187.4109024594981
23,22,dend[7]_0,dend[6]_0,dend,-96.6032943725586,-133.91200256347656,3.457710027694702,0.29499998688697815,0.15384638600763384,1.3,197.83543837307175
24,22,dend[8]_0,dend[6]_0,dend,-95.37289428710938,-136.2239990234375,2.086819887161255,0.35499998927116394,0.15488324746980797,1.2750000000000001,193.60651391265296
25,3,dend[9]_0,dend[1]_0,dend,-26.41449546813965,-31.126001358032227,1.7963800430297852,0.38499999046325684,0.7217700782182463,0.15000000000000002,58.70444152937293
26,25,dend[9]_1,dend[9]_0,dend,-28.84999656677246,-45.70920181274414,2.4750399589538574,0.29499998688697815,0.6197833243273057,0.30000000000000004,76.76641369717271
27,26,dend[9]_2,dend[9]_1,dend,-30.79179573059082,-65.4198989868164,3.2268900871276855,0.5600000023841858,0.5388273612389595,0.4,94.8283858649725
28,27,dend[9]_3,dend[9]_2,dend,-31.866497039794922,-82.95709991455078,5.791319847106934,0.4399999976158142,0.4038589571498842,0.55,112.89035803277228
29,28,dend[9]_4,dend[9]_3,dend,-34.54269790649414,-99.88899993896484,8.929349899291992,0.32499998807907104,0.3115354178529004,0.675,130.95233020057208
30,29,dend[9]_5,dend[9]_4,dend,-36.71949768066406,-115.53199768066406,11.012200355529785,0.7950000166893005,0.24661957279038846,0.8,149.01430236837186
