unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-1.2801624536514282,-0.563250720500946,0.002720902906730771,9.4617919921875,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-7.4120001792907715,-17.063100814819336,0.16538499295711517,1.0299999713897705,0.9869118115084643,0.025,4.394182980502688
3,2,dend[1]_0,dend[0]_0,dend,-14.461999893188477,-20.693099975585938,-0.28461501002311707,0.8550000190734863,0.95317527596383,0.025,12.797194263883867
4,3,dend[2]_0,dend[1]_0,dend,-20.04199981689453,-28.50309944152832,-0.6846150159835815,0.6200000047683716,0.9063510071218016,0.07500000000000001,24.764089411516217
5,4,dend[2]_1,dend[2]_0,dend,-23.73200035095215,-40.22309875488281,1.6653800010681152,0.20499999821186066,0.817157253712293,0.125,40.68022310102393
6,5,dend[2]_2,dend[2]_1,dend,-31.93199920654297,-46.60309982299805,3.2153799533843994,0.5299999713897705,0.657778432252259,0.275,56.596356790531644
7,6,dend[3]_0,dend[2]_2,dend,-39.13199996948242,-61.16310119628906,5.315380096435547,0.8550000190734863,0.5712537893804461,0.65,73.12185414294686
8,7,dend[3]_1,dend[3]_0,dend,-39.0620002746582,-74.3031005859375,5.815380096435547,0.09000000357627869,0.3943301184640501,1.2750000000000001,90.25671515826954
9,8,dend[3]_2,dend[3]_1,dend,-38.03200149536133,-88.75309753417969,6.165380001068115,0.11999999731779099,0.24485517262641424,1.6500000000000001,107.39157617359223
10,9,dend[3]_3,dend[3]_2,dend,-36.922000885009766,-103.6729965209961,5.4653801918029785,0.4399999976158142,0.1719968777564448,1.925,124.52643718891491
11,10,dend[3]_4,dend[3]_3,dend,-37.37200164794922,-120.69300079345703,2.5153799057006836,0.17499999701976776,0.1232455614752023,2.35,141.66129820423762
12,11,dend[4]_0,dend[3]_4,dend,-36.28200149536133,-143.30299377441406,-2.2346200942993164,0.4699999988079071,0.08869047632014807,3.225,163.23077254454577
13,12,dend[4]_1,dend[4]_0,dend,-33.45199966430664,-163.98300170898438,-9.434619903564453,0.09000000357627869,0.06556197157195502,4.425,189.23486020983947
14,13,dend[4]_2,dend[4]_1,dend,-30.492000579833984,-186.23300170898438,-13.734600067138672,0.05999999865889549,0.05172699901377724,6.4750000000000005,215.2389478751331
