unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,41,dend[74]_0,dend[72]_0,dend,15.988100051879883,270.4989929199219,-105.8270034790039,0.32499998807907104,60.21732542786164,14.600000000000001,458.45603382804813
2,191,dend[21]_0,dend[19]_0,dend,11.658100128173828,-41.81050109863281,-4.077030181884766,0.4699999988079071,2.231756334549564,4.800000000000001,45.238295868271585
3,28,dend[60]_0,dend[58]_0,dend,7.778110027313232,302.6189880371094,3.772969961166382,0.29499998688697815,12.296336211357566,9.5,389.18347862226176
4,49,dend[37]_0,dend[36]_0,dend,26.828100204467773,-16.850500106811523,-1.5770299434661865,0.20499999821186066,3.6877535859384696,6.300000000000001,36.34324649993646
5,21,dend[64]_0,dend[63]_0,dend,19.848100662231445,1.7294600009918213,-8.077030181884766,1.0,1.1970257208717192,1.4000000000000001,15.253359109028022
6,26,dend[43]_0,dend[41]_0,dend,-27.12190055847168,-96.45050048828125,43.77299880981445,0.5299999713897705,18.187170430317824,9.200000000000001,145.12220245206632
7,208,dend[50]_0,soma[0]_0,dend,-0.6218929886817932,17.29949951171875,-11.427000045776367,1.149999976158142,1.0595242527204303,0.5,13.270724001401506
8,179,dend[67]_0,dend[65]_12,dend,8.498109817504883,200.16900634765625,-83.37699890136719,0.35499998927116394,16.2408746829369,9.3,279.30117875671743
9,25,dend[28]_0,dend[26]_0,dend,6.1481099128723145,-126.41100311279297,9.172969818115234,0.23499999940395355,12.879258771121743,9.0,149.53859876108322
10,208,dend[84]_0,soma[0]_0,dend,-6.6018900871276855,2.199460029602051,7.922969818115234,0.3700000047683716,1.8494520136648744,4.1000000000000005,8.765020194969111
11,7,dend[54]_0,dend[50]_0,dend,-1.2318899631500244,32.18949890136719,-6.627029895782471,0.675000011920929,1.993936867154428,4.4,36.87953709111406
12,44,dend[25]_0,dend[23]_0,dend,9.1281099319458,-120.16100311279297,11.52299976348877,0.9399999976158142,7.013151567718469,7.4,139.87273270674868
13,203,dend[39]_0,dend[17]_0,dend,5.218110084533691,-21.33049964904785,13.623000144958496,0.5899999737739563,1.736354843610088,3.8000000000000003,15.995924405349317
14,16,dend[35]_0,dend[33]_0,dend,-8.3718900680542,-145.4409942626953,20.072999954223633,0.675000011920929,15.181504568111492,8.700000000000001,180.9754411205388
15,54,dend[31]_0,dend[30]_0,dend,27.048099517822266,-136.46099853515625,12.42300033569336,0.26499998569488525,25.207580719446348,10.0,194.88824975872956
16,19,dend[33]_0,dend[29]_0,dend,2.6481099128723145,-142.50100708007812,16.67300033569336,0.8550000190734863,12.319495822048008,8.3,168.53190402153152
17,181,dend[71]_0,dend[70]_12,dend,78.11810302734375,220.19900512695312,-108.5770034790039,0.20499999821186066,34.639562341542366,11.5,324.5941083049597
18,16,dend[34]_0,dend[33]_0,dend,-3.4618899822235107,-140.79100036621094,18.273000717163086,0.38499999046325684,15.30006601563505,8.9,177.5000445470583
19,12,dend[29]_0,dend[25]_0,dend,8.838109970092773,-127.07099914550781,12.572999954223633,0.20499999821186066,9.093762278018197,7.800000000000001,152.28648712789493
20,36,dend[80]_0,dend[68]_0,dend,33.16809844970703,3.749459981918335,-24.027000427246094,0.5299999713897705,2.4266492695237405,5.2,43.867354830890754
21,208,dend[63]_0,soma[0]_0,dend,13.77810001373291,3.2894599437713623,3.322969913482666,1.5299999713897705,1.008917845090482,0.1,2.0386893476901484
22,21,dend[81]_0,dend[63]_0,dend,22.868099212646484,12.769499778747559,1.5729700326919556,0.4099999964237213,1.379588671627758,2.4000000000000004,13.546108347126703
