unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,53,dend[61]_0,dend[57]_0,dend,-158.56199645996094,-24.67959976196289,0.16516399383544922,0.6449999809265137,4.7110479634922955,5.300000000000001,178.2572989790626
2,11,dend[67]_0,dend[66]_0,dend,115.25800323486328,2.7704100608825684,-93.23480224609375,0.5299999713897705,5.972284820609796,5.800000000000001,175.28208022155977
3,139,dend[68]_0,dend[67]_4,dend,186.8280029296875,-20.089599609375,-106.58499908447266,0.35499998927116394,11.226214559833823,7.800000000000001,268.93359065868543
4,178,dend[52]_0,dend[51]_6,dend,-138.1820068359375,-31.619600296020508,-8.88484001159668,0.35499998927116394,4.750540375413666,5.5,159.2761889120458
5,212,dend[59]_0,dend[58]_12,dend,-353.35198974609375,-56.739601135253906,-8.084839820861816,0.14499999582767487,49.832205137871036,11.3,430.95445936984487
6,18,dend[46]_0,dend[45]_0,dend,-223.74200439453125,-58.469600677490234,-47.234798431396484,0.26499998569488525,17.275692981593046,9.4,299.3564250199762
7,139,dend[69]_0,dend[67]_4,dend,194.79800415039062,-29.26959991455078,-106.48500061035156,0.5600000023841858,10.587200283395331,7.5,278.1526991060442
8,190,dend[62]_0,dend[61]_8,dend,-270.99200439453125,-47.53960037231445,68.91519927978516,0.14499999582767487,26.853498630609437,9.8,339.66387894425424
9,105,dend[33]_0,dend[32]_2,dend,-342.06201171875,-92.77960205078125,-28.13479995727539,0.17499999701976776,24.446996822912126,10.200000000000001,427.2922793254486
10,142,dend[73]_0,dend[65]_4,dend,88.1677017211914,-6.679590225219727,-87.33480072021484,0.17499999701976776,10.838315264522077,7.4,139.41978057868732
11,142,dend[66]_0,dend[65]_4,dend,96.7477035522461,1.4204200506210327,-87.03479766845703,0.7049999833106995,4.9713649985821995,5.300000000000001,146.36500096313574
12,99,dend[65]_0,dend[64]_2,dend,42.167701721191406,6.110400199890137,-37.0348014831543,0.9700000286102295,1.449209342440938,1.9000000000000001,52.18472311327664
13,46,dend[30]_0,dend[29]_0,dend,-284.3919982910156,-85.4896011352539,-27.534799575805664,0.23499999940395355,16.007342303408695,9.0,358.38707430517195
14,57,dend[39]_0,dend[37]_0,dend,-222.04200744628906,-65.69960021972656,-37.13479995727539,0.6449999809265137,12.63768281333044,8.5,281.90687146188696
15,180,dend[21]_0,dend[19]_6,dend,-102.96199798583984,-100.25,32.415199279785156,1.2649999856948853,6.177121465616842,5.6000000000000005,167.9801825575364
