unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.4537965655326843,0.12193720787763596,0.4550579786300659,6.354814529418945,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,10.117500305175781,-18.316499710083008,-7.040929794311523,1.440000057220459,0.9634755745892525,0.0,16.419980198932105
3,2,dend[1]_0,dend[0]_0,dend,10.657500267028809,-38.26649856567383,-17.590900421142578,0.29499998688697815,0.8797156801568216,0.05,41.96651679807667
4,3,dend[1]_1,dend[1]_0,dend,3.9375100135803223,-46.79650115966797,-26.090900421142578,0.8550000190734863,0.8044759261363061,0.1,60.219629598501584
5,4,dend[1]_2,dend[1]_1,dend,4.267509937286377,-55.80649948120117,-34.24089813232422,0.675000011920929,0.7412813850952151,0.125,78.4727423989265
6,5,dend[1]_3,dend[1]_2,dend,7.47750997543335,-72.30650329589844,-33.84090042114258,0.7350000143051147,0.6831403169799636,0.17500000000000002,96.7258551993514
7,6,dend[1]_4,dend[1]_3,dend,12.6274995803833,-87.7864990234375,-37.99089813232422,0.4699999988079071,0.6226208441383287,0.225,114.97896799977633
8,7,dend[2]_0,dend[1]_4,dend,10.587499618530273,-95.50650024414062,-36.29090118408203,0.26499998569488525,0.5952005252215926,0.25,127.50222964485394
9,7,dend[3]_0,dend[1]_4,dend,12.757499694824219,-100.2760009765625,-39.640899658203125,0.7049999833106995,0.5762353150344929,0.25,131.82917886410127
10,9,dend[4]_0,dend[3]_0,dend,11.457500457763672,-105.40599822998047,-42.74089813232422,0.35499998927116394,0.5620920771155088,0.275,140.34890863037526
11,9,dend[5]_0,dend[3]_0,dend,8.867509841918945,-110.1760025024414,-49.69089889526367,0.5899999737739563,0.5241598845011223,0.30000000000000004,152.3337370693957
12,11,dend[5]_1,dend[5]_0,dend,-7.132490158081055,-120.80599975585938,-60.04090118408203,0.7049999833106995,0.480795931905081,0.35000000000000003,177.89554455175957
13,12,dend[5]_2,dend[5]_1,dend,-18.852500915527344,-138.71600341796875,-60.54090118408203,0.29499998688697815,0.4263584215085062,0.42500000000000004,203.45735203412346
14,13,dend[6]_0,dend[5]_2,dend,-23.112499237060547,-155.53599548339844,-55.140899658203125,0.23499999940395355,0.38228599731332297,0.5,224.7131489941216
15,14,dend[6]_1,dend[6]_0,dend,-20.092500686645508,-166.14599609375,-49.140899658203125,0.17499999701976776,0.36596136787515593,0.55,241.66293543175408
16,15,dend[6]_2,dend[6]_1,dend,-15.642499923706055,-176.3159942626953,-44.94089889526367,0.09000000357627869,0.3492831929682089,0.6000000000000001,258.61272186938646
17,16,dend[7]_0,dend[6]_2,dend,-8.872489929199219,-184.99600219726562,-51.390899658203125,0.26499998569488525,0.3386248903181363,0.625,278.880581888471
18,16,dend[8]_0,dend[6]_2,dend,-15.992500305175781,-179.6959991455078,-52.94089889526367,0.17499999701976776,0.3429064515907414,0.625,270.70322160976275
19,13,dend[9]_0,dend[5]_2,dend,-27.232500076293945,-145.8459930419922,-52.34090042114258,0.38499999046325684,0.379169798132257,0.5,222.9937570665913
20,19,dend[9]_1,dend[9]_0,dend,-37.192501068115234,-149.00599670410156,-47.29090118408203,0.23499999940395355,0.36239480245753913,0.55,236.50475964916308
21,20,dend[9]_2,dend[9]_1,dend,-46.342498779296875,-152.62600708007812,-44.29090118408203,0.29499998688697815,0.3468783345606514,0.6000000000000001,250.0157622317349
22,21,dend[10]_0,dend[9]_2,dend,-51.0525016784668,-156.4759979248047,-42.390899658203125,0.11999999731779099,0.339778933520151,0.625,257.709899624312
23,21,dend[11]_0,dend[9]_2,dend,-58.942501068115234,-156.75599670410156,-44.09090042114258,0.14499999582767487,0.3330265708056095,0.65,264.72549532001
