unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.45224568247795105,0.3672284483909607,0.14771901071071625,7.9588398933410645,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-6.838840007781982,-20.885400772094727,1.2253600358963013,0.675000011920929,0.964915627042976,0.05,9.23735142632798
3,2,dend[0]_1,dend[0]_0,dend,-19.308799743652344,-31.435400009155273,6.475359916687012,0.5600000023841858,0.8985656110034962,0.15000000000000002,27.71205427898394
4,3,dend[0]_2,dend[0]_1,dend,-28.378799438476562,-42.58539962768555,3.775360107421875,0.6449999809265137,0.8232575670257007,0.25,46.1867571316399
5,4,dend[0]_3,dend[0]_2,dend,-35.45880126953125,-58.825401306152344,7.725359916687012,0.6200000047683716,0.7494356750934504,0.30000000000000004,64.66145998429586
6,5,dend[0]_4,dend[0]_3,dend,-39.268798828125,-74.4354019165039,7.125360012054443,0.7350000143051147,0.6573076283996308,0.4,83.13616283695183
7,6,dend[0]_5,dend[0]_4,dend,-43.02880096435547,-88.60540008544922,8.375359535217285,0.5600000023841858,0.5703573881980322,0.5,101.61086568960778
8,7,dend[0]_6,dend[0]_5,dend,-51.11880111694336,-102.57499694824219,10.2253999710083,0.5899999737739563,0.47277513099401136,0.625,120.08556854226374
9,8,dend[1]_0,dend[0]_6,dend,-53.09880065917969,-121.58499908447266,7.175360202789307,0.26499998569488525,0.37331234897295895,0.8,141.76226313862017
10,9,dend[1]_1,dend[1]_0,dend,-57.13880157470703,-144.0749969482422,4.225359916687012,0.32499998807907104,0.30132215043773813,1.0250000000000001,166.64094947867707
11,10,dend[1]_2,dend[1]_1,dend,-64.09880065917969,-164.6649932861328,0.7253620028495789,0.5899999737739563,0.2604135083635151,1.3,191.51963581873397
12,11,dend[2]_0,dend[1]_2,dend,-66.1187973022461,-179.48500061035156,-1.3246400356292725,0.20499999821186066,0.25530446440678284,1.35,208.71406558241517
13,11,dend[3]_0,dend[1]_2,dend,-68.42880249023438,-175.43499755859375,-1.3746399879455566,0.4399999976158142,0.2536819919392123,1.375,206.15579163787504
14,13,dend[4]_0,dend[3]_0,dend,-67.56880187988281,-182.89500427246094,-3.7746400833129883,0.20499999821186066,0.2517294349500281,1.4000000000000001,215.16399036089717
15,13,dend[5]_0,dend[3]_0,dend,-72.518798828125,-181.3350067138672,-1.6746400594711304,0.23499999940395355,0.2500707878656141,1.425,214.6884890056906
16,15,dend[6]_0,dend[5]_0,dend,-75.03880310058594,-184.3249969482422,-1.2746399641036987,0.35499998927116394,0.244754190818348,1.5,223.33179622912462
17,15,dend[7]_0,dend[5]_0,dend,-79.02880096435547,-195.78500366210938,-9.674639701843262,0.4699999988079071,0.23920167854408628,1.6,236.7158853258961
18,8,dend[8]_0,dend[0]_6,dend,-51.04880142211914,-120.16500091552734,8.125359535217285,0.35499998927116394,0.3839205439716638,0.8,140.6391666365684
19,18,dend[8]_1,dend[8]_0,dend,-55.648799896240234,-142.78500366210938,8.475359916687012,0.4099999964237213,0.32556902693971196,0.925,163.27165997252177
20,19,dend[8]_2,dend[8]_1,dend,-62.49879837036133,-160.26499938964844,9.275360107421875,0.38499999046325684,0.2758963059653082,1.125,185.90415330847514
21,20,dend[8]_3,dend[8]_2,dend,-71.3687973022461,-177.22500610351562,5.975359916687012,0.32499998807907104,0.25457722226121576,1.2750000000000001,208.53664664442852
