unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,96,dend[117]_0,dend[116]_2,dend,25.951200485229492,-193.98500061035156,8.575360298156738,0.26499998569488525,18.09081172798133,9.9,225.15651007300116
2,96,dend[120]_0,dend[116]_2,dend,21.421199798583984,-196.35499572753906,8.825360298156738,0.29499998688697815,18.43494831029036,10.0,229.35672571876808
3,2,dend[121]_0,dend[120]_0,dend,15.661199569702148,-201.05499267578125,9.475359916687012,0.32499998807907104,19.5950280277435,10.200000000000001,238.70452097621444
4,196,dend[116]_0,dend[114]_8,dend,25.741199493408203,-159.1649932861328,15.9753999710083,0.35499998927116394,13.24045628386727,9.0,184.27844469284383
5,106,dend[110]_0,dend[102]_2,dend,112.21099853515625,-12.44540023803711,-18.524599075317383,0.17499999701976776,25.82002616405108,13.200000000000001,165.10997286838466
6,114,dend[109]_0,dend[103]_2,dend,88.18119812011719,-28.055400848388672,-37.72460174560547,0.11999999731779099,67.28261538265068,16.0,238.27964006811322
7,2,dend[122]_0,dend[120]_0,dend,15.021200180053711,-208.26499938964844,9.525360107421875,0.824999988079071,20.19365827602257,10.3,245.036619610632
8,277,dend[114]_0,soma[0]_0,dend,7.161159992218018,-20.635400772094727,-2.1246399879455566,0.4399999976158142,1.0874550432934245,0.9,9.82070144020712
9,196,dend[115]_0,dend[114]_8,dend,32.07120132446289,-155.52499389648438,22.32539939880371,0.26499998569488525,14.073347781620177,9.3,186.88574980400236
10,35,dend[97]_0,dend[95]_0,dend,82.27120208740234,-35.48540115356445,-25.87459945678711,0.20499999821186066,37.365371480322395,15.200000000000001,184.24106194815818
11,244,dend[65]_0,dend[64]_16,dend,-104.87899780273438,310.5350036621094,-6.42464017868042,0.29499998688697815,19.654507126255012,11.100000000000001,379.4767212391808
12,36,dend[107]_0,dend[106]_0,dend,84.34120178222656,11.70460033416748,-30.274599075317383,0.14499999582767487,70.6189491714761,16.0,257.71847480338187
13,5,dend[111]_0,dend[110]_0,dend,112.84100341796875,-2.035360097885132,-14.974599838256836,0.17499999701976776,35.760397719177156,14.3,185.43866177736493
14,62,dend[61]_0,dend[60]_0,dend,-7.938839912414551,34.91460037231445,0.37536200881004333,0.7649999856948853,1.5471294503025654,4.1000000000000005,25.848352383230512
15,244,dend[66]_0,dend[64]_16,dend,-102.52899932861328,308.7850036621094,-10.7746000289917,0.35499998927116394,20.78374757921101,11.3,381.1248796787951
16,47,dend[71]_0,dend[70]_0,dend,33.171199798583984,-19.975400924682617,-30.42460060119629,0.35499998927116394,2.5261878832032565,6.800000000000001,37.46474195010532
17,19,dend[99]_0,dend[98]_0,dend,100.56099700927734,-46.18539810180664,-4.374639987945557,0.5600000023841858,4.956024938992606,9.200000000000001,118.73520856840184
18,104,dend[72]_0,dend[71]_2,dend,71.15119934082031,-44.505401611328125,-64.47460174560547,0.5299999713897705,12.390110806482006,9.8,115.16953732521853
19,125,dend[98]_0,dend[76]_2,dend,87.56120300292969,-39.92539978027344,-0.9246379733085632,0.6449999809265137,3.8675336809865786,8.1,98.13522175335285
20,1,dend[118]_0,dend[117]_0,dend,28.331199645996094,-196.63499450683594,4.57535982131958,0.29499998688697815,19.31790047324294,10.200000000000001,231.15983569905103
21,59,dend[86]_0,dend[84]_0,dend,91.12120056152344,-41.345401763916016,2.8753600120544434,0.35499998927116394,8.037429989276777,11.0,121.55812933477733
