unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.007005961146205664,1.4460618495941162,-0.12425520271062851,8.468042373657227,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-15.242300033569336,20.7903995513916,-7.584839820861816,1.2949999570846558,0.972766937355746,0.025,12.879854903068345
3,2,dend[0]_1,dend[0]_0,dend,-30.7322998046875,30.180400848388672,-15.984800338745117,1.090000033378601,0.8469842724803901,0.1,38.63956470920504
4,3,dend[0]_2,dend[0]_1,dend,-46.172298431396484,38.970401763916016,-23.734800338745117,0.9100000262260437,0.687014836605451,0.325,64.39927451534173
5,4,dend[1]_0,dend[0]_2,dend,-64.92230224609375,38.780399322509766,-30.484800338745117,1.2949999570846558,0.6326045656659568,0.45,84.10830384397734
6,5,dend[2]_0,dend[1]_0,dend,-86.54229736328125,30.390399932861328,-34.7848014831543,1.2350000143051147,0.5858313868344125,0.55,107.5971233357806
7,6,dend[3]_0,dend[2]_0,dend,-98.62229919433594,10.710399627685547,-34.2848014831543,0.824999988079071,0.5233305714633982,0.7250000000000001,136.96481915671455
8,7,dend[3]_1,dend[3]_0,dend,-108.33200073242188,-7.779590129852295,-41.13479995727539,0.5299999713897705,0.49967923178736895,0.8250000000000001,162.38092066611046
9,8,dend[3]_2,dend[3]_1,dend,-123.5719985961914,-22.599599838256836,-42.43479919433594,0.32499998807907104,0.46733935365607143,0.9750000000000001,187.79702217550636
10,9,dend[4]_0,dend[3]_2,dend,-134.70199584960938,-29.509599685668945,-42.984798431396484,1.090000033378601,0.4650524607371138,1.0,203.76260257766688
11,9,dend[5]_0,dend[3]_2,dend,-133.51199340820312,-24.589599609375,-40.084800720214844,0.26499998569488525,0.4640608014015952,1.0,204.20622109394895
12,6,dend[6]_0,dend[2]_0,dend,-101.28199768066406,25.210399627685547,-37.18479919433594,0.9399999976158142,0.5142348531213424,0.7000000000000001,136.72876264349838
13,12,dend[6]_1,dend[6]_0,dend,-118.802001953125,29.23040008544922,-44.0348014831543,0.6200000047683716,0.4365796488981568,0.8500000000000001,161.67275112646195
14,13,dend[6]_2,dend[6]_1,dend,-143.3419952392578,38.32040023803711,-42.2848014831543,0.5899999737739563,0.3643161297298638,1.0250000000000001,186.61673960942554
15,14,dend[7]_0,dend[6]_2,dend,-164.69200134277344,46.14039993286133,-40.484798431396484,0.5,0.31602753300072023,1.1500000000000001,209.1566255250995
16,15,dend[7]_1,dend[7]_0,dend,-183.9720001220703,50.120399475097656,-38.334800720214844,0.26499998569488525,0.2732043291897406,1.2750000000000001,229.29240887348385
17,16,dend[7]_2,dend[7]_1,dend,-200.54200744628906,49.160400390625,-36.584800720214844,0.4099999964237213,0.21009846187943138,1.5750000000000002,249.4281922218682
18,17,dend[7]_3,dend[7]_2,dend,-221.3719940185547,51.700401306152344,-39.0348014831543,0.32499998807907104,0.1825327425493152,1.8250000000000002,269.5639755702525
19,18,dend[7]_4,dend[7]_3,dend,-241.6820068359375,51.620399475097656,-40.43479919433594,0.26499998569488525,0.15913056994574076,2.1750000000000003,289.69975891863686
20,19,dend[7]_5,dend[7]_4,dend,-256.7720031738281,55.850399017333984,-48.334800720214844,0.35499998927116394,0.1401172510452948,2.5250000000000004,309.8355422670212
21,20,dend[7]_6,dend[7]_5,dend,-269.1520080566406,58.05039978027344,-49.0348014831543,0.38499999046325684,0.1284181001010215,2.8000000000000003,329.97132561540553
22,21,dend[7]_7,dend[7]_6,dend,-281.8219909667969,58.880401611328125,-49.984798431396484,0.17499999701976776,0.1144982399054611,3.1,350.10710896378987
23,22,dend[7]_8,dend[7]_7,dend,-295.0220031738281,60.55039978027344,-52.63479995727539,0.20499999821186066,0.0985666841243832,3.5,370.24289231217415
24,23,dend[7]_9,dend[7]_8,dend,-305.7120056152344,62.130401611328125,-49.484798431396484,0.17499999701976776,0.08684989261718244,3.7750000000000004,390.37867566055854
25,24,dend[7]_10,dend[7]_9,dend,-317.36199951171875,61.48040008544922,-51.13479995727539,0.11999999731779099,0.0673278421629963,4.425,410.5144590089428
26,25,dend[7]_11,dend[7]_10,dend,-330.56201171875,59.100399017333984,-54.584800720214844,0.17499999701976776,0.058809514794623485,4.875,430.6502423573272
27,26,dend[7]_12,dend[7]_11,dend,-341.6619873046875,59.71039962768555,-56.93479919433594,0.38499999046325684,0.045346357534054985,6.4750000000000005,450.7860257057115
28,27,dend[7]_13,dend[7]_12,dend,-353.0419921875,60.96039962768555,-52.63479995727539,0.5,0.042053447681574326,7.5,470.9218090540959
