unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,139,dend[68]_0,dend[67]_4,dend,186.8280029296875,-20.089599609375,-106.58499908447266,0.35499998927116394,11.21541007657531,10.3,268.93359065868543
2,120,dend[71]_0,dend[69]_2,dend,250.16799926757812,-37.149600982666016,-98.98480224609375,0.4399999976158142,18.457200756352393,12.3,347.8914407120184
3,111,dend[74]_0,dend[64]_2,dend,37.167701721191406,11.3503999710083,-39.63479995727539,0.9700000286102295,1.431132747807145,2.2,53.01032567260864
4,147,dend[53]_0,dend[52]_4,dend,-199.1820068359375,-76.92960357666016,-14.684800148010254,0.23499999940395355,17.5296981593489,11.9,255.8909769083903
5,57,dend[55]_0,dend[54]_0,dend,-212.69200134277344,-85.74960327148438,-15.684800148010254,0.20499999821186066,20.917027381180937,12.5,275.2767880263228
6,237,dend[16]_0,dend[0]_2,dend,-59.332298278808594,34.690399169921875,-36.13479995727539,0.6449999809265137,1.8099624568642556,3.3000000000000003,86.92324663529682
7,57,dend[56]_0,dend[54]_0,dend,-211.95199584960938,-86.13960266113281,-13.534799575805664,0.14499999582767487,19.49488445920284,12.200000000000001,272.02118142612807
8,102,dend[25]_0,dend[24]_2,dend,-256.1419982910156,-80.88960266113281,-30.034799575805664,0.05999999865889549,12.505902955099385,11.4,317.4384838030743
9,32,dend[67]_0,dend[66]_0,dend,115.25800323486328,2.7704100608825684,-93.23480224609375,0.5299999713897705,6.405841245037069,7.300000000000001,175.28208022155977
10,166,dend[57]_0,dend[51]_6,dend,-143.04200744628906,-22.609600067138672,-3.8348400592803955,0.8849999904632568,4.586498278043028,6.1000000000000005,159.05357847724358
11,180,dend[20]_0,dend[19]_6,dend,-96.76229858398438,-91.37960052490234,27.965200424194336,0.17499999701976776,7.710158532493709,7.800000000000001,164.41079062233132
12,27,dend[27]_0,dend[26]_0,dend,-261.3420104980469,-83.84960174560547,-29.484800338745117,0.32499998807907104,11.379447875554348,10.4,321.1279991564695
13,117,dend[33]_0,dend[32]_2,dend,-342.06201171875,-92.77960205078125,-28.13479995727539,0.17499999701976776,21.927329741192093,14.0,427.2922793254486
14,26,dend[40]_0,dend[39]_0,dend,-221.2220001220703,-61.72959899902344,-41.234798431396484,0.23499999940395355,13.40914944518787,12.0,289.8141665727768
15,139,dend[69]_0,dend[67]_4,dend,194.79800415039062,-29.26959991455078,-106.48500061035156,0.5600000023841858,10.717233739935917,9.8,278.1526991060442
16,103,dend[35]_0,dend[34]_2,dend,-385.74200439453125,-76.79959869384766,-53.68479919433594,0.23499999940395355,38.97665721413178,16.7,495.98179270394917
17,14,dend[41]_0,dend[40]_0,dend,-226.802001953125,-65.8595962524414,-36.834800720214844,0.5299999713897705,103.34222406552334,17.3,301.4461926244112
18,166,dend[52]_0,dend[51]_6,dend,-138.1820068359375,-31.619600296020508,-8.88484001159668,0.35499998927116394,5.097522297934204,7.1000000000000005,159.2761889120458
19,38,dend[22]_0,dend[18]_0,dend,-44.772300720214844,-17.069599151611328,-1.3848400115966797,0.9100000262260437,1.5751493689183533,2.7,44.127593393368386
20,195,dend[62]_0,dend[61]_8,dend,-270.99200439453125,-47.53960037231445,68.91519927978516,0.14499999582767487,25.237288784556355,13.5,339.66387894425424
21,213,dend[59]_0,dend[58]_12,dend,-353.35198974609375,-56.739601135253906,-8.084839820861816,0.14499999582767487,43.98912498408756,15.5,430.95445936984487
22,111,dend[65]_0,dend[64]_2,dend,42.167701721191406,6.110400199890137,-37.0348014831543,0.9700000286102295,1.525036461034699,2.6,52.18472311327664
23,38,dend[19]_0,dend[18]_0,dend,-37.762298583984375,-27.04960060119629,-3.6348400115966797,0.5,1.6577704111550438,3.1,40.28853378268104
24,49,dend[29]_0,dend[28]_0,dend,-285.6820068359375,-86.339599609375,-27.13479995727539,0.17499999701976776,13.711944420283377,11.200000000000001,355.1793437345349
25,197,dend[12]_0,dend[11]_8,dend,-152.27200317382812,159.88999938964844,-78.83480072021484,0.4099999964237213,15.008427801114866,9.600000000000001,271.9809457083367
26,45,dend[39]_0,dend[37]_0,dend,-222.04200744628906,-65.69960021972656,-37.13479995727539,0.6449999809265137,12.338416651796674,11.5,281.90687146188696
27,102,dend[26]_0,dend[24]_2,dend,-258.9419860839844,-85.62960052490234,-29.584800720214844,0.4399999976158142,10.816064094715387,10.100000000000001,316.12083179591633
28,51,dend[46]_0,dend[45]_0,dend,-223.74200439453125,-58.469600677490234,-47.234798431396484,0.26499998569488525,16.39158747775869,13.0,299.3564250199762
29,104,dend[23]_0,dend[22]_2,dend,-105.02200317382812,-39.59960174560547,-16.334800720214844,0.7649999856948853,3.6597933717640156,6.1000000000000005,119.54243288071181
30,222,dend[11]_0,dend[1]_0,dend,-77.67230224609375,48.86040115356445,-32.734798431396484,0.5600000023841858,1.902007134776319,3.6,100.39323530594974
31,159,dend[73]_0,dend[65]_4,dend,88.1677017211914,-6.679590225219727,-87.33480072021484,0.17499999701976776,11.240598064369053,9.9,139.41978057868732
32,159,dend[66]_0,dend[65]_4,dend,96.7477035522461,1.4204200506210327,-87.03479766845703,0.7049999833106995,5.3888003261768365,6.7,146.36500096313574
33,61,dend[50]_0,dend[48]_0,dend,-124.18199920654297,-22.489599227905273,-2.484839916229248,0.17499999701976776,5.703243758183309,8.3,148.1421836498987
34,117,dend[34]_0,dend[32]_2,dend,-336.36199951171875,-87.91960144042969,-31.034799575805664,0.7649999856948853,18.864486914292417,12.8,422.7457056638335
35,45,dend[38]_0,dend[37]_0,dend,-223.66200256347656,-68.27960205078125,-34.13479995727539,0.23499999940395355,11.117850572095175,11.100000000000001,278.8204137737119
36,224,dend[64]_0,soma[0]_0,dend,14.127699851989746,1.790410041809082,-7.434840202331543,1.059999942779541,1.0398199674482589,0.30000000000000004,7.3028332425354705
37,39,dend[44]_0,dend[43]_0,dend,-217.2519989013672,-61.399600982666016,-42.63479995727539,0.26499998569488525,14.35088310776504,12.3,294.5890661222169
38,60,dend[18]_0,dend[17]_0,dend,-24.342300415039062,-14.459600448608398,-2.984839916229248,1.1749999523162842,1.1199273071955715,0.7000000000000001,18.90186489642277
39,26,dend[43]_0,dend[39]_0,dend,-219.9320068359375,-61.8296012878418,-42.38479995727539,0.20499999821186066,12.91535864022299,11.8,289.5862668045851
40,51,dend[47]_0,dend[45]_0,dend,-225.76199340820312,-55.88959884643555,-45.93479919433594,0.26499998569488525,17.008083826241023,13.100000000000001,303.18015723272606
41,197,dend[15]_0,dend[11]_8,dend,-145.49200439453125,164.27999877929688,-81.13480377197266,0.17499999701976776,16.716039535069267,10.100000000000001,270.72546783860935
42,24,dend[30]_0,dend[29]_0,dend,-284.3919982910156,-85.4896011352539,-27.534799575805664,0.23499999940395355,15.111464222935737,12.100000000000001,358.38707430517195
43,213,dend[60]_0,dend[58]_12,dend,-359.7720031738281,-56.709598541259766,-9.63484001159668,0.14499999582767487,51.597244485422785,16.1,437.5373386368289
44,103,dend[36]_0,dend[34]_2,dend,-384.75201416015625,-68.4395980834961,-53.88479995727539,0.029999999329447746,42.24178032812559,17.2,493.79826163785697
45,169,dend[37]_0,dend[23]_6,dend,-217.73199462890625,-74.41960144042969,-33.93479919433594,0.20499999821186066,8.666910569221033,9.4,269.05651905146584
46,120,dend[70]_0,dend[69]_2,dend,243.1280059814453,-36.68960189819336,-100.08499908447266,0.4699999988079071,17.644410059308665,12.100000000000001,341.9206201588487
47,32,dend[72]_0,dend[66]_0,dend,109.81800079345703,9.680410385131836,-97.43479919433594,0.824999988079071,6.4160071991161445,7.300000000000001,175.12341342993062
48,49,dend[32]_0,dend[28]_0,dend,-293.4119873046875,-90.17960357666016,-25.234800338745117,0.38499999046325684,13.71156684484607,11.100000000000001,363.66449591391495
49,27,dend[28]_0,dend[26]_0,dend,-273.2120056152344,-90.8196029663086,-24.13479995727539,0.4099999964237213,12.17600490001113,10.600000000000001,336.78776813879233
50,195,dend[63]_0,dend[61]_8,dend,-283.8919982910156,-45.549598693847656,68.96520233154297,0.4099999964237213,21.68700716379219,12.8,343.23255616941645
51,39,dend[45]_0,dend[43]_0,dend,-221.3719940185547,-58.94960021972656,-43.584800720214844,0.4099999964237213,13.639355885345186,12.100000000000001,293.483051313181
52,10,dend[58]_0,dend[57]_0,dend,-163.1719970703125,-29.149599075317383,-6.184840202331543,1.059999942779541,5.310100299732752,6.9,179.1457007424808
53,60,dend[51]_0,dend[17]_0,dend,-21.832300186157227,-4.439579963684082,-4.334839820861816,0.5,1.2174749400634528,1.3,16.738812270483038
54,180,dend[21]_0,dend[19]_6,dend,-102.96199798583984,-100.25,32.415199279785156,1.2649999856948853,6.72429487611403,7.1000000000000005,167.9801825575364
55,169,dend[24]_0,dend[23]_6,dend,-224.71200561523438,-85.01959991455078,-30.084800720214844,0.6449999809265137,7.936911748447734,8.700000000000001,270.3428639653932
56,14,dend[42]_0,dend[40]_0,dend,-214.89199829101562,-53.59960174560547,-43.484798431396484,0.14499999582767487,19.926016289670372,13.700000000000001,302.8332252436975
