unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,0.21321861445903778,-0.24725845456123352,0.07620793581008911,6.714284420013428,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-6.536149978637695,-12.503299713134766,0.9245190024375916,1.7949999570846558,0.9948894445739807,0.0,3.5229424380070244
3,2,dend[1]_0,dend[0]_0,dend,-2.506150007247925,-26.593299865722656,2.274519920349121,0.675000011920929,0.9325975961509007,0.025,16.86447854061059
4,3,dend[1]_1,dend[1]_0,dend,2.983839988708496,-41.44329833984375,5.274519920349121,0.5,0.829789200723983,0.125,36.501665869803674
5,4,dend[1]_2,dend[1]_1,dend,4.9538397789001465,-60.72330093383789,8.874520301818848,0.6200000047683716,0.7263319693093871,0.25,56.13885319899676
6,5,dend[1]_3,dend[1]_2,dend,5.313849925994873,-77.7833023071289,9.424519538879395,0.4399999976158142,0.6623233777815055,0.30000000000000004,75.77604052818984
7,6,dend[1]_4,dend[1]_3,dend,9.193860054016113,-92.72329711914062,10.774499893188477,0.4399999976158142,0.5529453680755243,0.4,95.41322785738294
8,7,dend[1]_5,dend[1]_4,dend,12.513799667358398,-106.73300170898438,13.724499702453613,0.5600000023841858,0.42494432974691443,0.525,115.050415186576
9,8,dend[1]_6,dend[1]_5,dend,16.693899154663086,-120.2030029296875,17.024499893188477,0.4399999976158142,0.30071294995319275,0.675,134.6876025157691
10,9,dend[2]_0,dend[1]_6,dend,17.403799057006836,-134.5030059814453,19.274499893188477,0.5899999737739563,0.2379080453500916,0.875,153.41710857738255
11,10,dend[2]_1,dend[2]_0,dend,14.573800086975098,-150.64300537109375,18.42449951171875,0.38499999046325684,0.21239775543064493,1.0250000000000001,171.23893337141635
12,11,dend[2]_2,dend[2]_1,dend,7.603859901428223,-168.42300415039062,18.92449951171875,0.7049999833106995,0.19531338693983127,1.175,189.06075816545018
13,12,dend[2]_3,dend[2]_2,dend,7.3938398361206055,-181.85299682617188,17.22450065612793,0.32499998807907104,0.18503714003081084,1.2750000000000001,206.882582959484
