unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,-0.40365996956825256,-0.23802852630615234,0.45601245760917664,6.352611064910889,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,-14.773599624633789,14.813400268554688,-7.040929794311523,1.440000057220459,0.9364873257796732,0.0,16.419951506657362
3,2,dend[1]_0,dend[0]_0,dend,-20.79360008239746,33.84339904785156,-17.590900421142578,0.29499998688697815,0.8153341205945007,0.07500000000000001,41.96465116878145
4,3,dend[1]_1,dend[1]_0,dend,-16.6835994720459,43.89339828491211,-26.090900421142578,0.8550000190734863,0.7117581612662438,0.17500000000000002,60.214147479714896
5,4,dend[1]_2,dend[1]_1,dend,-19.483600616455078,52.4734001159668,-34.24089813232422,0.675000011920929,0.6294672252006935,0.25,78.46364379064835
6,5,dend[1]_3,dend[1]_2,dend,-27.11359977722168,67.44339752197266,-33.84090042114258,0.7350000143051147,0.5543961333598858,0.325,96.71314010158179
7,6,dend[1]_4,dend[1]_3,dend,-36.33359909057617,80.90339660644531,-37.99089813232422,0.4699999988079071,0.4763279526612713,0.42500000000000004,114.96263641251525
8,7,dend[2]_0,dend[1]_4,dend,-36.50360107421875,88.8833999633789,-36.29090118408203,0.26499998569488525,0.4422248179366014,0.47500000000000003,127.48687737105634
9,7,dend[3]_0,dend[1]_4,dend,-39.90359878540039,92.87339782714844,-39.640899658203125,0.7049999833106995,0.4189176399588616,0.525,131.80966689222242
10,9,dend[4]_0,dend[3]_0,dend,-40.0635986328125,98.16339874267578,-42.74089813232422,0.35499998927116394,0.4018894436560447,0.55,140.3275188553808
11,9,dend[5]_0,dend[3]_0,dend,-38.89360046386719,103.46299743652344,-49.69089889526367,0.5899999737739563,0.3576434294349477,0.625,152.30857151334516
12,11,dend[5]_1,dend[5]_0,dend,-26.443599700927734,118.09300231933594,-60.04090118408203,0.7049999833106995,0.31201931683955647,0.7000000000000001,177.86181610710958
13,12,dend[5]_2,dend[5]_1,dend,-20.11359977722168,138.54299926757812,-60.54090118408203,0.29499998688697815,0.25939758730442236,0.8500000000000001,203.41506070087405
14,13,dend[6]_0,dend[5]_2,dend,-20.653600692749023,155.88299560546875,-55.140899658203125,0.23499999940395355,0.21932573912208828,1.075,224.66247983136873
15,14,dend[6]_1,dend[6]_0,dend,-26.483600616455078,165.2429962158203,-49.140899658203125,0.17499999701976776,0.2068633637234301,1.225,241.6040734985936
16,15,dend[6]_2,dend[6]_1,dend,-33.5635986328125,173.79299926757812,-44.94089889526367,0.09000000357627869,0.19664585133475804,1.4000000000000001,258.5456671658185
17,16,dend[7]_0,dend[6]_2,dend,-42.463600158691406,180.2729949951172,-51.390899658203125,0.26499998569488525,0.19174529256118297,1.5250000000000001,278.81470579138187
18,16,dend[8]_0,dend[6]_2,dend,-34.15359878540039,177.14300537109375,-52.94089889526367,0.17499999701976776,0.19353598902557098,1.475,270.62866550387275
19,13,dend[9]_0,dend[5]_2,dend,-14.023599624633789,147.7030029296875,-52.34090042114258,0.38499999046325684,0.2166435505099941,1.075,222.94583357946698
20,19,dend[9]_1,dend[9]_0,dend,-5.323629856109619,153.48300170898438,-47.29090118408203,0.23499999940395355,0.2031743358631646,1.2000000000000002,236.45413474288836
21,20,dend[9]_2,dend[9]_1,dend,2.476370096206665,159.48300170898438,-44.29090118408203,0.29499998688697815,0.19188629412092903,1.35,249.96243590630974
22,21,dend[10]_0,dend[9]_2,dend,5.9463701248168945,164.48300170898438,-42.390899658203125,0.11999999731779099,0.18707412583826374,1.4500000000000002,257.65376332115653
23,21,dend[11]_0,dend[9]_2,dend,13.446399688720703,166.93299865722656,-44.09090042114258,0.14499999582767487,0.18303159198958097,1.5250000000000001,264.6712831774212
24,23,dend[11]_1,dend[11]_0,dend,22.436399459838867,175.17300415039062,-45.19089889526367,0.17499999701976776,0.1757487203836914,1.725,280.58067655622256
25,24,dend[11]_2,dend[11]_1,dend,34.98640060424805,181.47300720214844,-47.99089813232422,0.32499998807907104,0.17371452696845138,1.8,296.49006993502394
26,2,dend[12]_0,dend[0]_0,dend,-31.813600540161133,35.213401794433594,-10.140899658203125,1.0299999713897705,0.7698918143653252,0.1,43.62367015275293
27,26,dend[13]_0,dend[12]_0,dend,-40.443599700927734,51.74340057373047,-11.340900421142578,0.675000011920929,0.6677703285196268,0.17500000000000002,66.62887060846975
28,27,dend[14]_0,dend[13]_0,dend,-40.63359832763672,57.793399810791016,-14.540900230407715,0.7649999856948853,0.6061007918211799,0.275,88.08308394756428
29,27,dend[15]_0,dend[13]_0,dend,-44.09360122680664,62.10340118408203,-17.890899658203125,0.7350000143051147,0.5592534734080221,0.275,82.7529826077933
30,29,dend[16]_0,dend[15]_0,dend,-52.47359848022461,62.453399658203125,-28.2908992767334,0.7350000143051147,0.43243179233654405,0.42500000000000004,98.2459763619637
31,30,dend[17]_0,dend[16]_0,dend,-65.03359985351562,59.60340118408203,-38.44089889526367,0.5299999713897705,0.3601806389309013,0.5750000000000001,120.91156032243761
32,31,dend[17]_1,dend[17]_0,dend,-80.12359619140625,56.1234016418457,-39.84090042114258,0.4699999988079071,0.3125998946803958,0.65,143.06209810113444
33,32,dend[17]_2,dend[17]_1,dend,-97.6635971069336,49.90340042114258,-40.44089889526367,0.5,0.254551658630772,0.75,165.21263587983128
34,33,dend[17]_3,dend[17]_2,dend,-117.24400329589844,47.89339828491211,-36.390899658203125,0.5,0.21056408713174568,0.875,187.36317365852813
35,34,dend[17]_4,dend[17]_3,dend,-138.4340057373047,42.713401794433594,-35.29090118408203,0.5299999713897705,0.16840632407695205,1.0,209.51371143722497
36,35,dend[18]_0,dend[17]_4,dend,-147.46400451660156,43.15340042114258,-30.890899658203125,0.32499998807907104,0.14319344726708463,1.125,225.2972533162134
37,36,dend[19]_0,dend[18]_0,dend,-150.4739990234375,46.24340057373047,-28.0408992767334,0.20499999821186066,0.1380490391832762,1.175,232.33019016606175
38,36,dend[20]_0,dend[18]_0,dend,-155.9040069580078,41.42340087890625,-30.690900802612305,0.26499998569488525,0.12587223588935648,1.25,238.5451576309328
39,38,dend[21]_0,dend[20]_0,dend,-167.9340057373047,42.3734016418457,-27.24090003967285,0.23499999940395355,0.11582630417419881,1.3250000000000002,253.04115630198396
40,38,dend[22]_0,dend[20]_0,dend,-170.95399475097656,35.2333984375,-31.140899658203125,0.29499998688697815,0.09683977715303899,1.55,258.3059897050182
41,40,dend[23]_0,dend[22]_0,dend,-184.29400634765625,34.113399505615234,-30.840900421142578,0.20499999821186066,0.0820068989334112,2.0,273.29362941495674
42,41,dend[24]_0,dend[23]_0,dend,-184.0240020751953,29.933399200439453,-33.94089889526367,0.26499998569488525,0.07812013806804365,2.225,279.9275796727839
43,41,dend[25]_0,dend[23]_0,dend,-185.83399963378906,31.28339958190918,-33.390899658203125,0.32499998807907104,0.07780618446281223,2.25,277.9672824348865
44,43,dend[26]_0,dend[25]_0,dend,-185.74400329589844,29.003400802612305,-34.29090118408203,0.11999999731779099,0.0775537663204858,2.275,280.82985030490534
45,43,dend[27]_0,dend[25]_0,dend,-192.70399475097656,24.69339942932129,-36.49089813232422,0.26499998569488525,0.07412629523048338,2.5500000000000003,290.013653551003
46,45,dend[28]_0,dend[27]_0,dend,-194.91400146484375,18.733400344848633,-42.54090118408203,0.38499999046325684,0.07206626356284618,2.75,301.53346883024585
47,46,dend[29]_0,dend[28]_0,dend,-193.56399536132812,18.12339973449707,-42.99089813232422,0.20499999821186066,0.07204684226811763,2.75,303.4385131692692
48,46,dend[30]_0,dend[28]_0,dend,-196.48399353027344,17.343399047851562,-43.59090042114258,0.4099999964237213,0.07173746668392364,2.8000000000000003,304.64529462304716
49,48,dend[31]_0,dend[30]_0,dend,-195.74400329589844,15.37339973449707,-45.54090118408203,0.29499998688697815,0.07166487425393883,2.8000000000000003,308.33671311827555
50,48,dend[32]_0,dend[30]_0,dend,-199.69400024414062,8.903369903564453,-51.79090118408203,0.20499999821186066,0.07112630454932514,2.875,319.21513459029933
51,50,dend[33]_0,dend[32]_0,dend,-207.843994140625,7.363369941711426,-53.890899658203125,0.20499999821186066,0.07077824335509121,2.9250000000000003,336.2872494313544
52,50,dend[34]_0,dend[32]_0,dend,-210.8939971923828,-1.156630039215088,-59.99089813232422,0.26499998569488525,0.0707222384716886,2.95,339.578106356432
53,45,dend[35]_0,dend[27]_0,dend,-205.07400512695312,20.37339973449707,-36.640899658203125,0.29499998688697815,0.06987666617392227,2.975,314.1138551369377
54,53,dend[36]_0,dend[35]_0,dend,-211.49400329589844,24.53339958190918,-28.840900421142578,0.35499998927116394,0.06793532271499718,3.225,333.5924952075278
55,54,dend[37]_0,dend[36]_0,dend,-223.4239959716797,24.223400115966797,-21.7908992767334,0.4099999964237213,0.06716782534577287,3.35,350.8975385024276
56,55,dend[38]_0,dend[37]_0,dend,-233.37399291992188,21.843399047851562,-15.190899848937988,0.4099999964237213,0.06691703224694628,3.4000000000000004,368.3425932877229
57,55,dend[39]_0,dend[37]_0,dend,-228.76400756835938,25.94339942932129,-14.740900039672852,0.20499999821186066,0.06700259963803881,3.375,364.87922546949693
58,54,dend[40]_0,dend[36]_0,dend,-214.70399475097656,24.933399200439453,-25.24090003967285,0.26499998569488525,0.06774156486380592,3.2750000000000004,342.5272279446615
59,53,dend[41]_0,dend[35]_0,dend,-213.093994140625,24.063400268554688,-29.690900802612305,0.11999999731779099,0.06826388371416386,3.2,332.4282454621865
60,40,dend[42]_0,dend[22]_0,dend,-181.36399841308594,38.74340057373047,-27.890899658203125,0.20499999821186066,0.08433623777428376,1.975,276.632554460212
61,60,dend[43]_0,dend[42]_0,dend,-185.31399536132812,47.56340026855469,-16.590900421142578,0.17499999701976776,0.0824852751034084,2.1750000000000003,296.85741340083234
62,61,dend[44]_0,dend[43]_0,dend,-188.98399353027344,55.043399810791016,-6.540929794311523,0.09000000357627869,0.08225427612627241,2.225,312.5339378753485
63,61,dend[45]_0,dend[43]_0,dend,-192.86399841308594,55.043399810791016,-5.040929794311523,0.38499999046325684,0.08221721649953967,2.225,315.7482271338648
64,60,dend[46]_0,dend[42]_0,dend,-180.2740020751953,42.00339889526367,-23.690900802612305,0.23499999940395355,0.0835390075727008,2.0500000000000003,285.28958641571205
65,35,dend[47]_0,dend[17]_4,dend,-145.75399780273438,48.74340057373047,-29.99090003967285,0.17499999701976776,0.1328768078904589,1.2750000000000001,227.93278481929752
66,65,dend[47]_1,dend[47]_0,dend,-150.5540008544922,58.28340148925781,-25.5408992767334,0.23499999940395355,0.12377341299149064,1.475,242.62039380474585
67,66,dend[47]_2,dend[47]_1,dend,-157.00399780273438,66.41339874267578,-17.440900802612305,0.5899999737739563,0.11877445459427076,1.675,257.30800279019417
68,67,dend[48]_0,dend[47]_2,dend,-166.6540069580078,66.97339630126953,-14.390899658203125,0.11999999731779099,0.11759662012732477,1.75,270.71963166596913
69,67,dend[49]_0,dend[47]_2,dend,-166.20399475097656,78.16339874267578,-6.590929985046387,0.4099999964237213,0.11618985002021737,1.8250000000000002,283.9997443034432
70,30,dend[50]_0,dend[16]_0,dend,-59.76359939575195,67.80339813232422,-36.19089889526367,0.675000011920929,0.3783264352332553,0.525,112.6747079189562
71,70,dend[51]_0,dend[50]_0,dend,-60.5536003112793,71.00340270996094,-37.49089813232422,0.35499998927116394,0.37223038259680374,0.525,118.30239187522797
72,70,dend[52]_0,dend[50]_0,dend,-63.99359893798828,71.42340087890625,-43.44089889526367,0.7950000166893005,0.35324430091338993,0.5750000000000001,124.92759270400175
73,72,dend[52]_1,dend[52]_0,dend,-67.7136001586914,85.0833969116211,-48.29090118408203,0.5299999713897705,0.30988563695429594,0.65,143.75652930235884
74,73,dend[52]_2,dend[52]_1,dend,-71.67359924316406,100.71299743652344,-51.890899658203125,0.4399999976158142,0.26607154722585513,0.7250000000000001,162.58546590071592
75,74,dend[53]_0,dend[52]_2,dend,-86.38359832763672,102.822998046875,-54.84090042114258,0.5299999713897705,0.2111103688808745,0.9,181.27308953333204
76,75,dend[53]_1,dend[53]_0,dend,-101.65399932861328,100.9729995727539,-60.140899658203125,0.29499998688697815,0.18228132583948767,1.0,199.8194002002072
77,76,dend[53]_2,dend[53]_1,dend,-117.02400207519531,99.20339965820312,-58.59090042114258,0.4099999964237213,0.15325972536814747,1.175,218.36571086708238
78,77,dend[54]_0,dend[53]_2,dend,-120.9739990234375,111.59300231933594,-54.390899658203125,0.20499999821186066,0.13565251834487466,1.375,245.8066232444727
79,77,dend[55]_0,dend[53]_2,dend,-128.33399963378906,99.8333969116211,-56.29090118408203,0.35499998927116394,0.12826582517537405,1.375,235.92504487494102
80,79,dend[56]_0,dend[55]_0,dend,-134.50399780273438,105.48300170898438,-50.24089813232422,0.23499999940395355,0.12040402716617418,1.475,248.61658401388672
81,79,dend[57]_0,dend[55]_0,dend,-134.53399658203125,101.69300079345703,-50.44089889526367,0.4699999988079071,0.11917631021759544,1.475,246.86063090408032
82,81,dend[58]_0,dend[57]_0,dend,-137.13400268554688,98.24340057373047,-48.99089813232422,0.17499999701976776,0.1176759954062779,1.5,252.0607877264456
83,81,dend[59]_0,dend[57]_0,dend,-143.4040069580078,102.64299774169922,-46.29090118408203,0.26499998569488525,0.10234982939936844,1.7750000000000001,259.71118632075377
84,83,dend[60]_0,dend[59]_0,dend,-149.31399536132812,100.6729965209961,-45.74089813232422,0.20499999821186066,0.09643450711554791,1.975,271.3649519413777
85,84,dend[61]_0,dend[60]_0,dend,-147.12399291992188,99.70339965820312,-46.09090042114258,0.14499999582767487,0.09636928936143835,1.975,275.0659403034445
86,84,dend[62]_0,dend[60]_0,dend,-151.26400756835938,95.85340118408203,-51.54090118408203,0.20499999821186066,0.09623914266792567,2.0,280.2879236748057
87,83,dend[63]_0,dend[59]_0,dend,-153.54400634765625,101.34300231933594,-43.74089813232422,0.23499999940395355,0.09408335193180624,2.0500000000000003,275.15657478904586
88,87,dend[64]_0,dend[63]_0,dend,-156.9040069580078,103.4530029296875,-41.09090042114258,0.17499999701976776,0.09039784960260303,2.25,281.5996032694158
89,87,dend[65]_0,dend[63]_0,dend,-156.20399475097656,104.65299987792969,-41.390899658203125,0.5299999713897705,0.09018600154279892,2.275,281.2210010746269
90,89,dend[66]_0,dend[65]_0,dend,-150.45399475097656,107.93299865722656,-40.94089889526367,0.14499999582767487,0.08977731487941912,2.3000000000000003,291.4546509889817
91,89,dend[67]_0,dend[65]_0,dend,-162.6540069580078,104.322998046875,-39.74089813232422,0.26499998569488525,0.08790503609869275,2.4250000000000003,290.9751163137756
92,91,dend[68]_0,dend[67]_0,dend,-170.9239959716797,103.64299774169922,-37.640899658203125,0.23499999940395355,0.08605936161998479,2.5500000000000003,302.67838453391244
93,92,dend[69]_0,dend[68]_0,dend,-177.4739990234375,106.9729995727539,-27.640899658203125,0.4099999964237213,0.08562352200746338,2.625,316.4046170129743
94,92,dend[70]_0,dend[68]_0,dend,-173.6840057373047,103.12300109863281,-34.34090042114258,0.17499999701976776,0.08593451764656392,2.575,308.6326061904812
95,91,dend[71]_0,dend[67]_0,dend,-179.85400390625,102.322998046875,-41.44089889526367,0.23499999940395355,0.08337976310460056,2.8000000000000003,313.5589952294027
96,95,dend[72]_0,dend[71]_0,dend,-192.35400390625,105.64299774169922,-40.34090042114258,0.17499999701976776,0.08246133363264657,2.9000000000000004,331.8797075438534
97,95,dend[73]_0,dend[71]_0,dend,-197.1540069580078,102.21299743652344,-39.640899658203125,0.23499999940395355,0.0820034220871657,2.95,334.0164107808732
98,97,dend[74]_0,dend[73]_0,dend,-200.86399841308594,98.85340118408203,-41.99089813232422,0.35499998927116394,0.08175260672455216,2.975,342.06166654387516
