unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,255,apic[187]_0,apic[106]_0,apic,1622.9100341796875,682.2000122070312,-1361.3299560546875,0.4050000011920929,2.281441134926141,2.7,79.0733764900027
2,7,apic[186]_0,apic[182]_0,apic,1595.449951171875,715.739990234375,-1349.6400146484375,0.1850000023841858,4.459428143892375,3.9000000000000004,118.35658753100576
3,276,apic[176]_0,apic[117]_0,apic,1614.52001953125,728.8400268554688,-1349.8299560546875,0.29499998688697815,7.773870637982113,4.6000000000000005,133.27752435660142
4,294,apic[179]_0,apic[116]_0,apic,1613.030029296875,720.3099975585938,-1355.93994140625,0.29499998688697815,2.670055383119593,3.2,119.27468018291847
5,257,apic[165]_0,apic[122]_0,apic,1615.4100341796875,777.9400024414062,-1356.760009765625,0.3700000047683716,3.8476366921447065,4.1000000000000005,182.74198990617282
6,29,apic[171]_0,apic[169]_0,apic,1595.2900390625,792.4099731445312,-1334.75,0.2199999988079071,10.78795350443063,5.2,205.6947318344428
7,286,apic[182]_0,apic[115]_0,apic,1605.8800048828125,709.719970703125,-1356.2900390625,0.5899999737739563,1.7736219496933203,2.1,102.95895673087871
8,252,apic[173]_0,apic[118]_0,apic,1609.8299560546875,756.5,-1348.3399658203125,0.33000001311302185,3.9282351724096136,4.0,156.19458594328074
9,104,apic[175]_0,apic[173]_2,apic,1609.8199462890625,786.9299926757812,-1333.77001953125,0.4399999976158142,14.10175849806636,5.300000000000001,208.37423291475721
10,224,apic[138]_0,apic[137]_6,apic,1696.25,966.489990234375,-1399.6300048828125,0.14499999582767487,94.69966014011456,6.800000000000001,478.26713782738625
11,115,apic[167]_0,apic[165]_2,apic,1638.5999755859375,825.0599975585938,-1373.780029296875,0.5149999856948853,25.409017450892776,5.6000000000000005,246.5073375882073
12,122,apic[146]_0,apic[145]_2,apic,1609.6300048828125,899.239990234375,-1318.3399658203125,0.25999999046325684,10.959667942255876,5.7,336.7311666569003
13,3,apic[178]_0,apic[176]_0,apic,1621.9300537109375,733.0900268554688,-1335.4000244140625,0.14499999582767487,14.218117824065992,5.0,167.7486971510532
14,37,apic[184]_0,apic[183]_0,apic,1579.72998046875,738.9600219726562,-1354.300048828125,0.2199999988079071,7.894233227251734,4.5,153.90407158578088
15,221,apic[144]_0,apic[142]_6,apic,1685.800048828125,977.9199829101562,-1360.050048828125,0.2199999988079071,60.81452489717006,6.6000000000000005,452.8949597893352
16,272,apic[168]_0,apic[121]_0,apic,1608.3800048828125,767.9600219726562,-1349.9100341796875,0.33000001311302185,2.3046667656311794,3.1,168.42239158089797
17,107,apic[180]_0,apic[179]_2,apic,1641.760009765625,733.530029296875,-1353.4100341796875,0.07500000298023224,10.815150259058317,4.9,160.86831737232953
18,12,apic[148]_0,apic[146]_0,apic,1608.699951171875,907.260009765625,-1316.3199462890625,0.14499999582767487,17.434421907999212,6.1000000000000005,350.3448662205203
19,53,apic[155]_0,apic[154]_0,apic,1615.199951171875,850.0399780273438,-1365.7900390625,0.5899999737739563,6.749194145642868,5.0,274.948824263465
20,49,apic[145]_0,apic[133]_0,apic,1618.3599853515625,872.8699951171875,-1340.010009765625,0.4399999976158142,5.751877843404272,5.0,293.89085674339594
21,47,apic[132]_0,apic[128]_0,apic,1605.3900146484375,868.4500122070312,-1342.18994140625,0.2199999988079071,8.374756106380554,5.4,288.1527596916927
22,257,apic[164]_0,apic[122]_0,apic,1614.1800537109375,779.1900024414062,-1355.969970703125,0.14499999582767487,8.733003183892489,5.0,181.76834862725235
23,37,apic[185]_0,apic[183]_0,apic,1581.8399658203125,742.27001953125,-1356.949951171875,0.29499998688697815,7.278870902489481,4.4,152.99414627248348
24,47,apic[129]_0,apic[128]_0,apic,1610.72998046875,864.1099853515625,-1339.0,0.3700000047683716,5.63902313352769,4.9,281.7986843612848
25,52,apic[163]_0,apic[161]_0,apic,1619.030029296875,796.510009765625,-1366.18994140625,0.1850000023841858,11.180469405936417,5.300000000000001,217.65363129000082
26,64,apic[127]_0,apic[125]_0,apic,1610.3599853515625,846.6300048828125,-1343.3599853515625,0.5550000071525574,3.8703269294538614,4.3,261.559514917138
27,195,apic[159]_0,apic[158]_4,apic,1677.8900146484375,861.469970703125,-1381.77001953125,0.25999999046325684,37.62789073919087,6.1000000000000005,325.17716243330267
28,115,apic[166]_0,apic[165]_2,apic,1642.0899658203125,823.8800048828125,-1371.8800048828125,0.2199999988079071,22.687924383286443,5.6000000000000005,246.80908907712023
29,16,apic[169]_0,apic[168]_0,apic,1602.239990234375,777.5800170898438,-1342.7099609375,0.4050000011920929,6.215334583698536,4.7,184.16790554814258
30,45,apic[152]_0,apic[151]_0,apic,1613.550048828125,805.1900024414062,-1356.0799560546875,0.625,3.198976313245159,3.8000000000000003,214.6749214886152
31,29,apic[170]_0,apic[169]_0,apic,1598.3499755859375,792.5599975585938,-1336.9300537109375,0.33000001311302185,15.705209082300096,5.4,206.68840775583982
32,49,apic[134]_0,apic[133]_0,apic,1625.4300537109375,877.7100219726562,-1344.0799560546875,0.5149999856948853,6.156594638630187,5.1000000000000005,303.0068368249398
33,58,apic[157]_0,apic[153]_0,apic,1598.550048828125,833.75,-1355.449951171875,0.29499998688697815,17.568293903215544,5.800000000000001,262.0285512571862
34,107,apic[181]_0,apic[179]_2,apic,1643.4599609375,728.0900268554688,-1353.93994140625,0.10999999940395355,10.082360589950264,4.800000000000001,160.8806868376818
35,39,apic[136]_0,apic[135]_0,apic,1623.239990234375,918.9400024414062,-1355.3800048828125,0.47999998927116394,18.73415528502967,6.1000000000000005,354.5232785326011
36,52,apic[162]_0,apic[161]_0,apic,1610.93994140625,801.510009765625,-1361.68994140625,0.25999999046325684,6.167280122538514,4.800000000000001,215.1282267023301
37,7,apic[183]_0,apic[182]_0,apic,1593.8199462890625,723.4400024414062,-1356.6700439453125,0.3700000047683716,3.7038568199845456,3.6,126.48577454581181
38,230,apic[140]_0,apic[138]_8,apic,1761.3499755859375,1085.9000244140625,-1391.77001953125,0.07500000298023224,891.8088247749538,7.800000000000001,644.9907607733641
39,32,apic[135]_0,apic[134]_0,apic,1628.8399658203125,897.8300170898438,-1348.739990234375,0.3700000047683716,9.900064973103065,5.7,332.20235762546156
40,64,apic[126]_0,apic[125]_0,apic,1606.9000244140625,847.8499755859375,-1348.699951171875,0.25999999046325684,5.521097355510494,4.9,260.99544047073283
41,24,apic[131]_0,apic[129]_0,apic,1601.699951171875,872.4500122070312,-1336.8199462890625,0.5149999856948853,10.314200734264398,5.6000000000000005,294.99946866599237
42,221,apic[143]_0,apic[142]_6,apic,1682.800048828125,978.3099975585938,-1359.8599853515625,0.29499998688697815,57.40983112040243,6.6000000000000005,453.16588588338266
43,230,apic[139]_0,apic[138]_8,apic,1765.3199462890625,1091.93994140625,-1390.97998046875,0.29499998688697815,905.3832173131284,7.800000000000001,651.9091100494629
44,304,apic[188]_0,apic[105]_0,apic,1625.27001953125,657.4099731445312,-1369.9599609375,0.2199999988079071,3.3562737491330648,3.2,46.93849847296718
45,281,apic[151]_0,apic[123]_0,apic,1607.6199951171875,794.469970703125,-1355.8599853515625,0.5899999737739563,2.4187033208208164,3.3000000000000003,199.61433637948022
46,16,apic[172]_0,apic[168]_0,apic,1601.739990234375,769.260009765625,-1343.8599853515625,0.29499998688697815,6.526140255227914,4.800000000000001,180.20183874719453
47,26,apic[128]_0,apic[127]_0,apic,1611.0999755859375,859.3099975585938,-1340.260009765625,0.4050000011920929,4.658519199147167,4.7,275.9791364342335
48,30,apic[158]_0,apic[152]_0,apic,1619.4599609375,819.0999755859375,-1361.5899658203125,0.5550000071525574,6.271564196194049,4.9,235.75687075544135
49,26,apic[133]_0,apic[127]_0,apic,1614.8800048828125,860.5999755859375,-1341.780029296875,0.47999998927116394,4.517039443938964,4.6000000000000005,279.263971449793
50,104,apic[174]_0,apic[173]_2,apic,1620.3900146484375,792.1199951171875,-1342.0999755859375,0.2199999988079071,11.081861908423505,5.1000000000000005,207.96437285078065
51,195,apic[160]_0,apic[158]_4,apic,1678.22998046875,858.0499877929688,-1383.6400146484375,0.10999999940395355,41.25436764369421,6.2,325.29929994990096
52,45,apic[161]_0,apic[151]_0,apic,1608.760009765625,796.5499877929688,-1358.760009765625,0.25999999046325684,2.789352926910278,3.6,204.0987128847986
53,58,apic[154]_0,apic[153]_0,apic,1612.199951171875,834.5700073242188,-1364.260009765625,0.5149999856948853,5.47383517058699,4.7,254.18591247926986
54,24,apic[130]_0,apic[129]_0,apic,1606.6300048828125,874.8800048828125,-1337.469970703125,0.2199999988079071,10.107168862136243,5.6000000000000005,294.35683063989006
55,53,apic[156]_0,apic[154]_0,apic,1611.5899658203125,850.3499755859375,-1360.949951171875,0.4050000011920929,10.531485327904852,5.5,272.84709534817154
