unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,psp_amplitude_ratio,delay,distance_to_soma
1,119,apic[65]_0,apic[61]_2,apic,2762.030029296875,-1728.050048828125,-1031.239990234375,0.1850000023841858,19.929065948730532,8.0,524.9426937484491
2,82,apic[70]_0,apic[66]_2,apic,2724.070068359375,-1765.68994140625,-969.5599975585938,0.10999999940395355,16.155432379213565,7.800000000000001,444.5118746579517
3,150,apic[55]_0,apic[54]_4,apic,2714.929931640625,-1795.6700439453125,-932.8499755859375,0.1850000023841858,6.873451160637466,6.7,372.35920668623214
4,47,apic[66]_0,apic[56]_0,apic,2737.06005859375,-1780.6199951171875,-961.3499755859375,0.3700000047683716,7.978291070308057,6.9,402.05481298277465
5,85,apic[60]_0,apic[58]_2,apic,2723.47998046875,-1726.8399658203125,-984.1599731445312,0.14499999582767487,20.143208279335465,8.0,504.57604760764724
6,10,apic[51]_0,apic[50]_0,apic,2717.5400390625,-1863.8699951171875,-912.510009765625,0.1850000023841858,4.136375059853317,5.800000000000001,272.2860001373014
7,17,apic[68]_0,apic[67]_0,apic,2730.570068359375,-1751.31005859375,-974.4500122070312,0.4050000011920929,17.835400728492086,7.9,458.40311258110773
8,52,apic[40]_0,apic[39]_0,apic,2796.949951171875,-1740.8399658203125,-906.1099853515625,0.25999999046325684,8.998743721461858,7.1000000000000005,420.4065655353238
9,28,apic[47]_0,apic[46]_0,apic,2726.239990234375,-1903.43994140625,-896.02001953125,0.1850000023841858,2.992920930821051,4.9,202.7060962271944
10,94,apic[50]_0,apic[48]_2,apic,2720.050048828125,-1879.6199951171875,-918.5800170898438,0.9200000166893005,2.640092321737641,4.6000000000000005,249.22579728954844
11,16,apic[63]_0,apic[62]_0,apic,2768.909912109375,-1724.72998046875,-1036.27001953125,0.14499999582767487,21.021116747419143,8.0,528.3247869981682
12,97,apic[58]_0,apic[57]_2,apic,2738.719970703125,-1757.27001953125,-992.5499877929688,0.29499998688697815,11.42894438437447,7.300000000000001,461.9053247133547
13,17,apic[69]_0,apic[67]_0,apic,2721.18994140625,-1748.9100341796875,-968.02001953125,0.3700000047683716,13.958673470190169,7.6000000000000005,457.9222132023737
14,23,apic[37]_0,apic[35]_0,apic,2751.93994140625,-1857.3800048828125,-893.8699951171875,0.5550000071525574,2.857643017370317,5.0,255.3568143385126
15,61,apic[29]_0,apic[27]_0,apic,2745.800048828125,-1908.4000244140625,-911.9099731445312,0.2199999988079071,3.6144800021054206,5.300000000000001,192.74933909443985
16,119,apic[62]_0,apic[61]_2,apic,2766.4599609375,-1726.3199462890625,-1033.8199462890625,0.5149999856948853,18.0866876937469,7.9,523.2950349605459
17,82,apic[67]_0,apic[66]_2,apic,2725.35009765625,-1758.4100341796875,-969.3800048828125,0.4399999976158142,12.665808185813857,7.5,445.40915676356775
18,47,apic[57]_0,apic[56]_0,apic,2742.340087890625,-1781.6600341796875,-964.5800170898438,0.4050000011920929,7.994505778108463,6.9,404.39258072526894
19,130,apic[44]_0,apic[42]_2,apic,2838.889892578125,-1704.4000244140625,-975.3599853515625,0.25999999046325684,19.763890763824172,8.1,519.6716404922955
20,58,apic[20]_0,apic[18]_0,apic,2749.580078125,-1970.719970703125,-911.47998046875,0.8450000286102295,1.349436695212468,1.7000000000000002,108.33338783960897
21,94,apic[49]_0,apic[48]_2,apic,2713.919921875,-1893.0999755859375,-917.1500244140625,1.0700000524520874,3.369159029261018,5.2,246.7940267925979
22,16,apic[64]_0,apic[62]_0,apic,2769.60009765625,-1723.510009765625,-1035.4100341796875,0.14499999582767487,20.671693698270314,8.0,527.9676336953429
23,131,apic[35]_0,apic[33]_2,apic,2747.280029296875,-1866.9300537109375,-896.6799926757812,0.9599999785423279,2.533010405874997,4.6000000000000005,238.21306438413706
24,63,apic[31]_0,apic[30]_0,apic,2738.550048828125,-1911.5,-904.97998046875,0.625,1.7153609291607097,3.0,186.18180026326473
