unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,1205.366943359375,-142.92262268066406,-553.005126953125,6.040887832641602,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,1220.510009765625,-131.97000122070312,-565.469970703125,0.4050000011920929,0.9692133671362217,0.0,7.060911635916337
3,2,dend[1]_0,dend[0]_0,dend,1226.1099853515625,-131.47000122070312,-579.260009765625,0.3700000047683716,0.8411368094089324,0.0,27.249057644358878
4,3,dend[2]_0,dend[1]_0,dend,1229.77001953125,-126.62000274658203,-589.1699829101562,0.14499999582767487,0.6700674111169153,0.2,53.50977628928225
5,4,dend[2]_1,dend[2]_0,dend,1235.0999755859375,-130.47999572753906,-607.4099731445312,0.2199999988079071,0.6618360121960026,0.45,79.77674483407657
6,5,dend[2]_2,dend[2]_1,dend,1236.030029296875,-117.19000244140625,-633.739990234375,0.33000001311302185,0.6607007233858235,0.525,106.0437133788709
7,3,dend[3]_0,dend[1]_0,dend,1237.219970703125,-119.19000244140625,-587.0399780273438,0.2199999988079071,0.6436092865501145,0.1,51.18684681428291
8,7,dend[3]_1,dend[3]_0,dend,1245.1600341796875,-96.76000213623047,-591.8099975585938,0.5550000071525574,0.6222437318138698,1.1500000000000001,72.80795640907854
9,8,dend[3]_2,dend[3]_1,dend,1255.8499755859375,-82.9000015258789,-599.1300048828125,0.5149999856948853,0.615165188610714,1.3,94.42906600387417
10,9,dend[3]_3,dend[3]_2,dend,1267.8599853515625,-70.58999633789062,-603.8900146484375,0.8450000286102295,0.6096935936100546,1.4500000000000002,116.0501755986698
11,10,dend[3]_4,dend[3]_3,dend,1279.3599853515625,-54.63999938964844,-607.2999877929688,0.14499999582767487,0.6078482217782525,1.5,137.67128519346545
12,2,dend[4]_0,dend[0]_0,dend,1233.530029296875,-129.85000610351562,-573.6400146484375,0.625,0.8488124115661264,0.0,32.1189717426668
