unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,1324.1707763671875,-38.89788055419922,-684.6227416992188,4.822922229766846,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,1314.43994140625,-49.369998931884766,-687.2999877929688,0.7749999761581421,0.9167278491955722,0.17500000000000002,10.294635641210514
3,2,dend[1]_0,dend[0]_0,dend,1310.1199951171875,-61.52000045776367,-694.4199829101562,0.6650000214576721,0.8748132224056785,0.35000000000000003,31.211006166373203
4,3,dend[1]_1,dend[1]_0,dend,1302.7099609375,-70.88999938964844,-707.0599975585938,0.1850000023841858,0.8647767236542799,0.47500000000000003,52.45447593427755
5,4,dend[1]_2,dend[1]_1,dend,1299.510009765625,-83.01000213623047,-720.2100219726562,1.1399999856948853,0.8601121772220218,0.675,73.6979457021819
6,5,dend[1]_3,dend[1]_2,dend,1298.780029296875,-97.69999694824219,-734.6400146484375,0.5899999737739563,0.8516981030547971,0.75,94.94141547008626
7,6,dend[1]_4,dend[1]_3,dend,1297.760009765625,-109.73999786376953,-743.719970703125,0.25999999046325684,0.8272664720294381,0.925,116.18488523799061
8,7,dend[1]_5,dend[1]_4,dend,1292.6500244140625,-122.70999908447266,-749.0900268554688,0.1850000023841858,0.8066002584583531,1.0250000000000001,137.42835500589496
9,8,dend[1]_6,dend[1]_5,dend,1288.8800048828125,-137.19000244140625,-757.9000244140625,0.47999998927116394,0.77792142063946,1.1,158.67182477379933
10,9,dend[1]_7,dend[1]_6,dend,1280.0799560546875,-152.27000427246094,-766.5800170898438,0.6650000214576721,0.7375588118731451,1.175,179.91529454170367
11,10,dend[1]_8,dend[1]_7,dend,1274.4300537109375,-164.77999877929688,-772.3900146484375,0.33000001311302185,0.7057934808784204,1.375,201.15876430960802
12,11,dend[1]_9,dend[1]_8,dend,1266.47998046875,-177.4199981689453,-782.8400268554688,0.14499999582767487,0.6978948488526306,1.4000000000000001,222.4022340775124
13,12,dend[1]_10,dend[1]_9,dend,1259.800048828125,-190.0,-786.7999877929688,0.14499999582767487,0.6859736391122373,1.425,243.64570384541673
14,2,dend[2]_0,dend[0]_0,dend,1309.260009765625,-63.29999923706055,-685.9400024414062,0.4050000011920929,0.845810448666418,0.375,30.54543903149974
15,14,dend[3]_0,dend[2]_0,dend,1302.1300048828125,-75.3499984741211,-684.8900146484375,0.47999998927116394,0.8459258960476921,0.47500000000000003,48.8550578857061
16,15,dend[3]_1,dend[3]_0,dend,1303.06005859375,-86.51000213623047,-681.52001953125,0.2199999988079071,0.8845764807264987,0.47500000000000003,65.5619600959614
17,16,dend[3]_2,dend[3]_1,dend,1295.3900146484375,-99.0999984741211,-675.8200073242188,0.5149999856948853,0.9114638619008324,0.47500000000000003,82.2688623062167
