unique_int_id,parent_unique_int_id,uniq_seg_id,parent_uniq_id,neurite_type,x,y,z,radius,voltage_attenuation,peak_delays,distance_to_soma
1,-1,soma[0]_0,root,soma,1111.559326171875,109.4284896850586,-711.8998413085938,4.86168098449707,1.0,0.0,0.0
2,1,dend[0]_0,soma[0]_0,dend,1112.8699951171875,98.45999908447266,-723.9000244140625,1.399999976158142,0.9975937440544754,0.0,2.881177723290423
3,2,dend[1]_0,dend[0]_0,dend,1108.52001953125,92.19000244140625,-730.3099975585938,0.5149999856948853,0.9448886546817249,0.05,14.323197436543692
4,3,dend[1]_1,dend[1]_0,dend,1103.68994140625,90.55000305175781,-747.3200073242188,0.4050000011920929,0.8933702036364716,0.375,31.444881416469386
5,4,dend[1]_2,dend[1]_1,dend,1110.510009765625,80.88999938964844,-752.25,0.3700000047683716,0.9304436867044212,0.5,48.56656539639508
6,5,dend[2]_0,dend[1]_2,dend,1116.719970703125,75.36000061035156,-764.5599975585938,0.3700000047683716,0.9642017068326032,0.55,75.40325760565409
7,6,dend[3]_0,dend[2]_0,dend,1120.1700439453125,67.55000305175781,-777.2999877929688,0.3700000047683716,0.9671836594840463,0.5750000000000001,95.47800504733253
8,7,dend[4]_0,dend[3]_0,dend,1117.5,59.439998626708984,-777.7899780273438,0.25999999046325684,0.9747490891354258,0.5750000000000001,105.95743309269264
9,8,dend[4]_1,dend[4]_0,dend,1116.9000244140625,48.060001373291016,-784.2899780273438,0.4050000011920929,0.97941833652999,0.5750000000000001,123.31849473864834
10,9,dend[4]_2,dend[4]_1,dend,1116.3499755859375,38.77000045776367,-792.5399780273438,0.4050000011920929,0.9786353135708694,0.5750000000000001,140.67955638460404
11,10,dend[4]_3,dend[4]_2,dend,1113.8699951171875,28.139999389648438,-804.2100219726562,0.25999999046325684,0.9731711824473219,0.5750000000000001,158.04061803055976
12,11,dend[4]_4,dend[4]_3,dend,1112.0400390625,19.25,-818.010009765625,0.14499999582767487,0.9659368426474121,0.5750000000000001,175.4016796765154
13,7,dend[5]_0,dend[3]_0,dend,1120.81005859375,62.0099983215332,-781.760009765625,0.14499999582767487,0.9678568438251448,0.5750000000000001,106.04456284309582
14,13,dend[5]_1,dend[5]_0,dend,1116.219970703125,53.959999084472656,-797.030029296875,0.3700000047683716,0.9641962684175466,0.6000000000000001,123.57988398985786
15,14,dend[5]_2,dend[5]_1,dend,1113.93994140625,47.2400016784668,-807.030029296875,0.2199999988079071,0.9535962532542402,0.625,141.11520513661992
16,15,dend[5]_3,dend[5]_2,dend,1115.010009765625,39.380001068115234,-819.75,0.5899999737739563,0.9450317783147386,0.625,158.65052628338196
17,16,dend[5]_4,dend[5]_3,dend,1108.8800048828125,32.65999984741211,-829.5599975585938,0.14499999582767487,0.9310477556253031,0.65,176.185847430144
18,17,dend[5]_5,dend[5]_4,dend,1107.9100341796875,28.149999618530273,-843.8400268554688,0.1850000023841858,0.9183162750934681,0.65,193.72116857690605
19,18,dend[5]_6,dend[5]_5,dend,1104.449951171875,24.020000457763672,-863.2899780273438,0.2199999988079071,0.910477926191532,0.65,211.2564897236681
20,6,dend[6]_0,dend[2]_0,dend,1123.4599609375,69.19000244140625,-781.97998046875,0.47999998927116394,0.9659372486901491,0.5750000000000001,104.80629666961752
21,20,dend[6]_1,dend[6]_0,dend,1121.5899658203125,57.310001373291016,-795.72998046875,0.47999998927116394,0.9539775798825803,0.6000000000000001,127.06067435895203
22,21,dend[6]_2,dend[6]_1,dend,1123.5999755859375,53.06999969482422,-814.6699829101562,0.2199999988079071,0.934792078134955,0.625,149.31505204828653
23,22,dend[6]_3,dend[6]_2,dend,1131.5899658203125,49.18000030517578,-830.2999877929688,0.5899999737739563,0.9108312430528692,0.675,171.56942973762108
24,23,dend[6]_4,dend[6]_3,dend,1139.8299560546875,44.189998626708984,-843.9400024414062,0.29499998688697815,0.8887761248833789,0.7000000000000001,193.82380742695557
25,24,dend[6]_5,dend[6]_4,dend,1148.97998046875,36.70000076293945,-858.1699829101562,0.14499999582767487,0.8708116149920269,0.7000000000000001,216.07818511629006
26,25,dend[6]_6,dend[6]_5,dend,1158.8699951171875,34.439998626708984,-875.5999755859375,0.2199999988079071,0.8514430898524569,0.7250000000000001,238.3325628056246
27,5,dend[7]_0,dend[1]_2,dend,1110.5799560546875,87.08999633789062,-756.3300170898438,0.4399999976158142,0.9540871151275854,0.525,64.85326264517781
28,27,dend[7]_1,dend[7]_0,dend,1113.050048828125,94.11000061035156,-765.6500244140625,0.25999999046325684,0.9714062801896559,0.55,80.30497316281757
29,28,dend[7]_2,dend[7]_1,dend,1103.68994140625,96.43000030517578,-775.1599731445312,0.3700000047683716,0.983558436855582,0.55,95.75668368045734
30,29,dend[8]_0,dend[7]_2,dend,1102.4000244140625,105.2699966430664,-791.25,0.7350000143051147,1.0015747928321943,0.5750000000000001,112.30779079426966
31,30,dend[8]_1,dend[8]_0,dend,1103.0799560546875,110.5999984741211,-806.9400024414062,0.4050000011920929,1.0019155467588008,0.5750000000000001,129.95829450425455
32,31,dend[8]_2,dend[8]_1,dend,1103.5899658203125,116.88999938964844,-815.9600219726562,0.2199999988079071,0.9983032294302573,0.5750000000000001,147.6087982142394
33,29,dend[9]_0,dend[7]_2,dend,1097.699951171875,104.44999694824219,-782.2000122070312,0.4399999976158142,0.990458641934778,0.525,114.04236287510923
34,33,dend[9]_1,dend[9]_0,dend,1088.9599609375,113.63999938964844,-789.7000122070312,0.4399999976158142,0.9887725097701476,0.525,135.16201074677323
35,34,dend[9]_2,dend[9]_1,dend,1077.68994140625,115.88999938964844,-813.4600219726562,0.4050000011920929,0.9839383712755412,0.525,156.28165861843723
36,2,dend[10]_0,dend[0]_0,dend,1113.3299560546875,86.98999786376953,-727.9600219726562,0.9599999785423279,0.9589274491702124,0.05,14.318279798561061
37,36,dend[11]_0,dend[10]_0,dend,1109.550048828125,80.06999969482422,-740.52001953125,0.4399999976158142,0.8676441346559756,0.42500000000000004,32.802532438670944
38,37,dend[12]_0,dend[11]_0,dend,1106.469970703125,78.68000030517578,-744.0800170898438,0.29499998688697815,0.9095110530610334,0.5750000000000001,50.24982213678485
39,38,dend[13]_0,dend[12]_0,dend,1101.4000244140625,76.37000274658203,-743.2999877929688,0.4399999976158142,0.9477170500348758,0.6000000000000001,60.13467768075956
40,39,dend[14]_0,dend[13]_0,dend,1096.6600341796875,80.33999633789062,-753.8499755859375,0.1850000023841858,0.9566144212038098,0.6000000000000001,71.57525386365853
41,40,dend[14]_1,dend[14]_0,dend,1095.56005859375,84.54000091552734,-764.4400024414062,0.4399999976158142,0.959394927109157,0.675,89.72461796147554
42,41,dend[14]_2,dend[14]_1,dend,1095.8399658203125,88.36000061035156,-774.3400268554688,0.2199999988079071,0.9584080083684818,0.7000000000000001,107.87398205929256
43,42,dend[14]_3,dend[14]_2,dend,1096.8699951171875,83.79000091552734,-782.3900146484375,0.25999999046325684,0.9571394536282917,0.7250000000000001,126.02334615710957
44,43,dend[14]_4,dend[14]_3,dend,1094.68994140625,85.69999694824219,-800.489990234375,0.25999999046325684,0.9521495985755554,0.7250000000000001,144.17271025492656
45,44,dend[14]_5,dend[14]_4,dend,1089.300048828125,91.83999633789062,-810.1300048828125,0.4399999976158142,0.9413123923544952,0.75,162.32207435274356
